name,redshift,observable_type,value,error,rs_fiducial_Mpc,pred_lcdm,chi2_contrib_lcdm,pred_LambdaCDM,chi2_contrib_LambdaCDM
6dFGS z=0.106,0.106,DV_over_rs,2.976,0.133,,2.8014,1.72344,2.8014,1.72344
SDSS MGS z=0.15,0.15,DV_over_rs,4.48,0.168,,3.89577,12.0934,3.89577,12.0934
BOSS DR12 Consensus z=0.38,0.38,DV_over_rs,9.1758,0.1453,,8.97419,1.92533,8.97419,1.92533
BOSS DR12 Consensus z=0.51,0.51,DV_over_rs,12.3631,0.1341,,11.3983,51.7616,11.3983,51.7616
BOSS DR12 Consensus z=0.61,0.61,DV_over_rs,14.3097,0.1345,,13.0674,85.314,13.0674,85.314
WiggleZ z=0.44,0.44,DV_over_rs,11.54,0.56,,10.1305,6.33516,10.1305,6.33516
WiggleZ z=0.60,0.6,DV_over_rs,14.94,0.68,,12.9076,8.93275,12.9076,8.93275
WiggleZ z=0.73,0.73,DV_over_rs,16.92,0.58,,14.8689,12.5066,14.8689,12.5066
eBOSS DR14 Quasar z=1.52,1.52,DV_over_rs,25.94,1.14,,22.8192,7.49398,22.8192,7.49398
eBOSS DR16 Quasar z=1.48 (DM/rs),1.48,DM_over_rs,30.35,0.84,,26.5044,20.9586,26.5044,20.9586
eBOSS DR16 Quasar z=1.48 (DH/rs),1.48,DH_over_rs,13.26,0.53,,11.0067,18.0751,11.0067,18.0751
eBOSS DR16 Lyman-alpha Combined z=2.334 (DM/rs),2.334,DM_over_rs,37.5,1.1,,34.1421,9.31869,34.1421,9.31869
eBOSS DR16 Lyman-alpha Combined z=2.334 (DH/rs),2.334,DH_over_rs,8.88,0.19,,7.28115,70.8121,7.28115,70.8121
SDSS DR7 LRG z=0.35,0.35,DV_over_rs,8.88,0.17,,8.37093,8.96711,8.37093,8.96711
SDSS DR7 LRG z=0.2,0.2,DV_over_rs,5.249,0.168,,5.0906,0.888939,5.0906,0.888939
BOSS DR11 LOWZ z=0.32,0.32,DV_over_rs,8.473,0.167,149.28,7.75048,18.7185,7.75048,18.7185
BOSS DR11 CMASS z=0.57,0.57,DV_over_rs,13.778,0.134,149.28,12.419,102.851,12.419,102.851
BOSS DR11 Quasar-Lyα Cross z=2.36 (DM/rs),2.36,DM_over_rs,10.8,0.4,,34.3303,3460.48,34.3303,3460.48
BOSS DR11 Quasar-Lyα Cross z=2.36 (DH/rs),2.36,DH_over_rs,9,0.3,,7.20047,35.9812,7.20047,35.9812
eBOSS DR14 Quasar-Lyα Cross z=2.35 (DM/rs),2.35,DM_over_rs,36.3,1.8,,34.2582,1.28674,34.2582,1.28674
eBOSS DR14 Quasar-Lyα Cross z=2.35 (DH/rs),2.35,DH_over_rs,9.2,0.36,,7.23133,29.9048,7.23133,29.9048
eBOSS DR14 Lyα Auto z=2.34 (DM/rs),2.34,DM_over_rs,37.41,1.86,,34.1857,3.00498,34.1857,3.00498
eBOSS DR14 Lyα Auto z=2.34 (DH/rs),2.34,DH_over_rs,8.86,0.29,,7.2624,30.3485,7.2624,30.3485
eBOSS DR16 ELG z=0.845,0.845,DV_over_rs,18.23,0.58,,16.4113,9.83258,16.4113,9.83258
DES Y1 Angular BAO z=0.81,0.81,DM_over_rs,10.65,0.49,,17.4942,195.096,17.4942,195.096
