name,redshift,observable_type,value,error,rs_fiducial_Mpc,pred_lcdm,chi2_contrib_lcdm,pred_LambdaCDM,chi2_contrib_LambdaCDM
6dFGS z=0.106,0.106,DV_over_rs,2.976,0.133,,2.92639,0.139151,2.92639,0.139151
SDSS MGS z=0.15,0.15,DV_over_rs,4.48,0.168,,4.06747,6.02971,4.06747,6.02971
BOSS DR12 Consensus z=0.38,0.38,DV_over_rs,9.1758,0.1453,,9.34685,1.38591,9.34685,1.38591
BOSS DR12 Consensus z=0.51,0.51,DV_over_rs,12.3631,0.1341,,11.858,14.1881,11.858,14.1881
BOSS DR12 Consensus z=0.61,0.61,DV_over_rs,14.3097,0.1345,,13.5838,29.1262,13.5838,29.1262
WiggleZ z=0.44,0.44,DV_over_rs,11.54,0.56,,10.5454,3.1547,10.5454,3.1547
WiggleZ z=0.60,0.6,DV_over_rs,14.94,0.68,,13.4187,5.00478,13.4187,5.00478
WiggleZ z=0.73,0.73,DV_over_rs,16.92,0.58,,15.4439,6.47729,15.4439,6.47729
eBOSS DR14 Quasar z=1.52,1.52,DV_over_rs,25.94,1.14,,23.6254,4.12244,23.6254,4.12244
eBOSS DR16 Quasar z=1.48 (DM/rs),1.48,DM_over_rs,30.35,0.84,,27.4988,11.5215,27.4988,11.5215
eBOSS DR16 Quasar z=1.48 (DH/rs),1.48,DH_over_rs,13.26,0.53,,11.351,12.9731,11.351,12.9731
eBOSS DR16 Lyman-alpha Combined z=2.334 (DM/rs),2.334,DM_over_rs,37.5,1.1,,35.3688,3.75366,35.3688,3.75366
eBOSS DR16 Lyman-alpha Combined z=2.334 (DH/rs),2.334,DH_over_rs,8.88,0.19,,7.49772,52.9276,7.49772,52.9276
SDSS DR7 LRG z=0.35,0.35,DV_over_rs,8.88,0.17,,8.72107,0.873978,8.72107,0.873978
SDSS DR7 LRG z=0.2,0.2,DV_over_rs,5.249,0.168,,5.31192,0.140257,5.31192,0.140257
BOSS DR11 LOWZ z=0.32,0.32,DV_over_rs,8.473,0.167,149.28,8.07707,5.62078,8.07707,5.62078
BOSS DR11 CMASS z=0.57,0.57,DV_over_rs,13.778,0.134,149.28,12.9137,41.6014,12.9137,41.6014
BOSS DR11 Quasar-Lyα Cross z=2.36 (DM/rs),2.36,DM_over_rs,10.8,0.4,,35.5627,3832.44,35.5627,3832.44
BOSS DR11 Quasar-Lyα Cross z=2.36 (DH/rs),2.36,DH_over_rs,9,0.3,,7.41445,27.9329,7.41445,27.9329
eBOSS DR14 Quasar-Lyα Cross z=2.35 (DM/rs),2.35,DM_over_rs,36.3,1.8,,35.4884,0.203316,35.4884,0.203316
eBOSS DR14 Quasar-Lyα Cross z=2.35 (DH/rs),2.35,DH_over_rs,9.2,0.36,,7.4463,23.7303,7.4463,23.7303
eBOSS DR14 Lyα Auto z=2.34 (DM/rs),2.34,DM_over_rs,37.41,1.86,,35.4137,1.15187,35.4137,1.15187
eBOSS DR14 Lyα Auto z=2.34 (DH/rs),2.34,DH_over_rs,8.86,0.29,,7.47837,22.6979,7.47837,22.6979
eBOSS DR16 ELG z=0.845,0.845,DV_over_rs,18.23,0.58,,17.0344,4.24919,17.0344,4.24919
DES Y1 Angular BAO z=0.81,0.81,DM_over_rs,10.65,0.49,,18.1929,236.967,18.1929,236.967
