name,redshift,observable_type,value,error,rs_fiducial_Mpc,pred_lcdm,chi2_contrib_lcdm,pred_USMFv2,chi2_contrib_USMFv2
6dFGS z=0.106,0.106,DV_over_rs,2.976,0.133,,3.04959,0.306118,1.61292,105.037
SDSS MGS z=0.15,0.15,DV_over_rs,4.48,0.168,,4.25821,1.74291,2.22325,180.446
BOSS DR12 Consensus z=0.38,0.38,DV_over_rs,9.1758,0.1453,,10.0048,32.5538,4.97598,835.467
BOSS DR12 Consensus z=0.51,0.51,DV_over_rs,12.3631,0.1341,,12.8315,12.1981,6.27776,2059.26
BOSS DR12 Consensus z=0.61,0.61,DV_over_rs,14.3097,0.1345,,14.8093,13.7988,7.18313,2807.48
WiggleZ z=0.44,0.44,DV_over_rs,11.54,0.56,,11.3463,0.11964,5.59595,112.665
WiggleZ z=0.60,0.6,DV_over_rs,14.94,0.68,,14.6189,0.222954,7.09594,133.065
WiggleZ z=0.73,0.73,DV_over_rs,16.92,0.58,,16.9724,0.00817227,8.17728,227.215
eBOSS DR14 Quasar z=1.52,1.52,DV_over_rs,25.94,1.14,,26.8314,0.611404,13.0499,127.85
eBOSS DR16 Quasar z=1.48 (DM/rs),1.48,DM_over_rs,30.35,0.84,,30.5809,0.0755775,14.7845,343.372
eBOSS DR16 Quasar z=1.48 (DH/rs),1.48,DH_over_rs,13.26,0.53,,13.4014,0.0712269,6.56367,159.633
eBOSS DR16 Lyman-alpha Combined z=2.334 (DM/rs),2.334,DM_over_rs,37.5,1.1,,39.9576,4.99176,19.6014,264.76
eBOSS DR16 Lyman-alpha Combined z=2.334 (DH/rs),2.334,DH_over_rs,8.88,0.19,,8.99947,0.395408,4.8824,442.683
SDSS DR7 LRG z=0.35,0.35,DV_over_rs,8.88,0.17,,9.3099,6.39491,4.65256,618.383
SDSS DR7 LRG z=0.2,0.2,DV_over_rs,5.249,0.168,,5.58948,4.10737,2.88032,198.791
BOSS DR11 LOWZ z=0.32,0.32,DV_over_rs,8.473,0.167,149.28,8.59867,0.566312,4.31953,618.57
BOSS DR11 CMASS z=0.57,0.57,DV_over_rs,13.778,0.134,149.28,14.038,3.76417,6.83004,2688.47
BOSS DR11 Quasar-Lyα Cross z=2.36 (DM/rs),2.36,DM_over_rs,10.8,0.4,,40.1904,5398.71,19.7279,498.167
BOSS DR11 Quasar-Lyα Cross z=2.36 (DH/rs),2.36,DH_over_rs,9,0.3,,8.90208,0.106534,4.84461,191.858
eBOSS DR14 Quasar-Lyα Cross z=2.35 (DM/rs),2.35,DM_over_rs,36.3,1.8,,40.1012,4.45951,19.6793,85.2612
eBOSS DR14 Quasar-Lyα Cross z=2.35 (DH/rs),2.35,DH_over_rs,9.2,0.36,,8.93934,0.524243,4.85908,145.398
eBOSS DR14 Lyα Auto z=2.34 (DM/rs),2.34,DM_over_rs,37.41,1.86,,40.0116,1.95635,19.6307,91.3702
eBOSS DR14 Lyα Auto z=2.34 (DH/rs),2.34,DH_over_rs,8.86,0.29,,8.97685,0.162357,4.87362,188.956
eBOSS DR16 ELG z=0.845,0.845,DV_over_rs,18.23,0.58,,18.8471,1.13193,9.04926,250.553
DES Y1 Angular BAO z=0.81,0.81,DM_over_rs,10.65,0.49,,19.7652,346.05,9.65812,4.09758
