name,redshift,observable_type,value,error,rs_fiducial_Mpc,pred_lcdm,chi2_contrib_lcdm,pred_USMFv2,chi2_contrib_USMFv2
6dFGS z=0.106,0.106,DV_over_rs,2.976,0.133,,2.79,1.95574,2.17611,36.171
SDSS MGS z=0.15,0.15,DV_over_rs,4.48,0.168,,3.88627,12.4898,2.99956,77.6541
BOSS DR12 Consensus z=0.38,0.38,DV_over_rs,9.1758,0.1453,,9.02233,1.11557,6.71347,287.184
BOSS DR12 Consensus z=0.51,0.51,DV_over_rs,12.3631,0.1341,,11.5025,41.1895,8.4698,842.905
BOSS DR12 Consensus z=0.61,0.61,DV_over_rs,14.3097,0.1345,,13.2205,65.5851,9.6913,1179.07
WiggleZ z=0.44,0.44,DV_over_rs,11.54,0.56,,10.2031,5.6994,7.54992,50.7677
WiggleZ z=0.60,0.6,DV_over_rs,14.94,0.68,,13.0557,7.67884,9.57366,62.2785
WiggleZ z=0.73,0.73,DV_over_rs,16.92,0.58,,15.0838,10.0229,11.0326,103.037
eBOSS DR14 Quasar z=1.52,1.52,DV_over_rs,25.94,1.14,,23.4025,4.95458,17.6067,53.4353
eBOSS DR16 Quasar z=1.48 (DM/rs),1.48,DM_over_rs,30.35,0.84,,26.9911,15.9892,19.9469,153.378
eBOSS DR16 Quasar z=1.48 (DH/rs),1.48,DH_over_rs,13.26,0.53,,11.4361,11.8428,8.85554,69.061
eBOSS DR16 Lyman-alpha Combined z=2.334 (DM/rs),2.334,DM_over_rs,37.5,1.1,,34.9497,5.37511,26.4457,100.989
eBOSS DR16 Lyman-alpha Combined z=2.334 (DH/rs),2.334,DH_over_rs,8.88,0.19,,7.60491,45.0376,6.58721,145.621
SDSS DR7 LRG z=0.35,0.35,DV_over_rs,8.88,0.17,,8.40798,7.70933,6.27711,234.43
SDSS DR7 LRG z=0.2,0.2,DV_over_rs,5.249,0.168,,5.08739,0.92539,3.88605,65.8174
BOSS DR11 LOWZ z=0.32,0.32,DV_over_rs,8.473,0.167,149.28,7.77731,17.354,5.8278,250.89
BOSS DR11 CMASS z=0.57,0.57,DV_over_rs,13.778,0.134,149.28,12.5521,83.6927,9.21492,1159.6
BOSS DR11 Quasar-Lyα Cross z=2.36 (DM/rs),2.36,DM_over_rs,10.8,0.4,,35.1464,3704.66,26.6163,1563.48
BOSS DR11 Quasar-Lyα Cross z=2.36 (DH/rs),2.36,DH_over_rs,9,0.3,,7.52132,24.2944,6.53623,67.4461
eBOSS DR14 Quasar-Lyα Cross z=2.35 (DM/rs),2.35,DM_over_rs,36.3,1.8,,35.071,0.46619,26.5509,29.335
eBOSS DR14 Quasar-Lyα Cross z=2.35 (DH/rs),2.35,DH_over_rs,9.2,0.36,,7.55329,20.9231,6.55574,53.9513
eBOSS DR14 Lyα Auto z=2.34 (DM/rs),2.34,DM_over_rs,37.41,1.86,,34.9953,1.68539,26.4852,34.4984
eBOSS DR14 Lyα Auto z=2.34 (DH/rs),2.34,DH_over_rs,8.86,0.29,,7.58549,19.3149,6.57537,62.0633
eBOSS DR16 ELG z=0.845,0.845,DV_over_rs,18.23,0.58,,16.6862,7.08458,12.209,107.765
DES Y1 Angular BAO z=0.81,0.81,DM_over_rs,10.65,0.49,,17.6768,205.648,13.0305,23.6016
