name,redshift,observable_type,value,error,rs_fiducial_Mpc,pred_lcdm,chi2_contrib_lcdm,pred_USMFv2,chi2_contrib_USMFv2
6dFGS z=0.106,0.106,DV_over_rs,2.976,0.133,,3.02819,0.153994,2.0552,47.9318
SDSS MGS z=0.15,0.15,DV_over_rs,4.48,0.168,,4.22833,2.24403,2.8329,96.1211
BOSS DR12 Consensus z=0.38,0.38,DV_over_rs,9.1758,0.1453,,9.93463,27.2748,6.34048,380.779
BOSS DR12 Consensus z=0.51,0.51,DV_over_rs,12.3631,0.1341,,12.7414,7.95964,7.99922,1058.98
BOSS DR12 Consensus z=0.61,0.61,DV_over_rs,14.3097,0.1345,,14.7054,8.65657,9.15285,1470.02
WiggleZ z=0.44,0.44,DV_over_rs,11.54,0.56,,11.2667,0.238178,7.13045,62.003
WiggleZ z=0.60,0.6,DV_over_rs,14.94,0.68,,14.5164,0.388137,9.04176,75.2363
WiggleZ z=0.73,0.73,DV_over_rs,16.92,0.58,,16.8534,0.0132019,10.4196,125.609
eBOSS DR14 Quasar z=1.52,1.52,DV_over_rs,25.94,1.14,,26.6431,0.380434,16.6284,66.7167
eBOSS DR16 Quasar z=1.48 (DM/rs),1.48,DM_over_rs,30.35,0.84,,30.3664,0.000380133,18.8387,187.797
eBOSS DR16 Quasar z=1.48 (DH/rs),1.48,DH_over_rs,13.26,0.53,,13.3074,0.00800559,8.36353,85.352
eBOSS DR16 Lyman-alpha Combined z=2.334 (DM/rs),2.334,DM_over_rs,37.5,1.1,,39.6773,3.91791,24.9764,129.62
eBOSS DR16 Lyman-alpha Combined z=2.334 (DH/rs),2.334,DH_over_rs,8.88,0.19,,8.93633,0.0879019,6.22123,195.819
SDSS DR7 LRG z=0.35,0.35,DV_over_rs,8.88,0.17,,9.24458,4.59937,5.92836,301.459
SDSS DR7 LRG z=0.2,0.2,DV_over_rs,5.249,0.168,,5.55027,3.21576,3.67014,88.3215
BOSS DR11 LOWZ z=0.32,0.32,DV_over_rs,8.473,0.167,149.28,8.53835,0.153126,5.50402,316.07
BOSS DR11 CMASS z=0.57,0.57,DV_over_rs,13.778,0.134,149.28,13.9395,1.45245,8.70294,1434.41
BOSS DR11 Quasar-Lyα Cross z=2.36 (DM/rs),2.36,DM_over_rs,10.8,0.4,,39.9084,5295.62,25.1376,1284.78
BOSS DR11 Quasar-Lyα Cross z=2.36 (DH/rs),2.36,DH_over_rs,9,0.3,,8.83962,0.285791,6.17309,88.7939
eBOSS DR14 Quasar-Lyα Cross z=2.35 (DM/rs),2.35,DM_over_rs,36.3,1.8,,39.8198,3.82379,25.0757,38.884
eBOSS DR14 Quasar-Lyα Cross z=2.35 (DH/rs),2.35,DH_over_rs,9.2,0.36,,8.87662,0.806892,6.19151,69.8379
eBOSS DR14 Lyα Auto z=2.34 (DM/rs),2.34,DM_over_rs,37.41,1.86,,39.7309,1.55694,25.0137,44.4178
eBOSS DR14 Lyα Auto z=2.34 (DH/rs),2.34,DH_over_rs,8.86,0.29,,8.91387,0.0345023,6.21005,83.4986
eBOSS DR16 ELG z=0.845,0.845,DV_over_rs,18.23,0.58,,18.7148,0.698802,11.5307,133.414
DES Y1 Angular BAO z=0.81,0.81,DM_over_rs,10.65,0.49,,19.6265,335.601,12.3065,11.4289
