ell,Dl_obs,Dl_te_obs,Dl_ee_obs,Dl_lcdm_tt,residual_lcdm_tt,Dl_lcdm_te,residual_lcdm_te,Dl_lcdm_ee,residual_lcdm_ee,Dl_LambdaCDM_tt,residual_LambdaCDM_tt,Dl_LambdaCDM_te,residual_LambdaCDM_te,Dl_LambdaCDM_ee,residual_LambdaCDM_ee
32,1097.01,1.51224,0.0643557,1174.87,-77.8627,1.78057,-0.268329,0.0267965,0.0375592,1199.07,-102.054,1.74162,-0.229385,0.0261439,0.0382118
37,1180.26,3.11711,0.0649424,1281.6,-101.332,1.65606,1.46105,0.044079,0.0208634,1314.21,-133.944,1.62476,1.49234,0.043073,0.0218694
42,1426.97,0.820244,0.0699042,1396.51,30.4645,1.26966,-0.449418,0.0674328,0.00247135,1438.45,-11.4743,1.22658,-0.406338,0.0660752,0.00382897
47,1364.66,1.07013,0.141281,1517.45,-152.79,0.580035,0.490093,0.0977119,0.0435687,1569.56,-204.9,0.527718,0.54241,0.0959345,0.045346
52,1329.06,1.08312,0.146964,1644.88,-315.818,-0.451467,1.53459,0.135195,0.0117694,1708.11,-379.045,-0.521635,1.60475,0.133048,0.0139159
57,1607.2,-3.82399,0.193005,1778.29,-171.093,-1.82591,-1.99809,0.180174,0.0128308,1853.48,-246.28,-1.91382,-1.91017,0.177764,0.0152402
62,1663.41,-4.29778,0.296409,1918.58,-255.165,-3.562,-0.735777,0.23255,0.0638582,2006.47,-343.054,-3.68582,-0.611956,0.230072,0.0663372
67,1838.4,-2.04066,0.331388,2065.29,-226.884,-5.65593,3.61527,0.291997,0.0393915,2166.66,-328.258,-5.82497,3.7843,0.289741,0.0416466
72,1974.24,-8.54866,0.356963,2218.2,-243.956,-8.07881,-0.469854,0.357817,-0.00085322,2333.75,-359.508,-8.31468,-0.23398,0.356223,0.000740726
77,1765.67,-7.23417,0.448396,2378.81,-613.14,-10.827,3.59286,0.429209,0.0191863,2509.2,-743.535,-11.148,3.91383,0.428809,0.0195864
82,2168.04,-9.89267,0.522364,2546.36,-378.32,-13.8575,3.96481,0.504929,0.0174349,2692.28,-524.239,-14.2874,4.39475,0.506386,0.0159781
87,2330.99,-12.7208,0.489592,2720.67,-389.673,-17.1243,4.40343,0.583609,-0.0940169,2882.74,-551.749,-17.6932,4.97234,0.58771,-0.098118
92,2446.65,-19.2047,0.789127,2900.65,-453.998,-20.5735,1.36879,0.663758,0.125369,3079.43,-632.784,-21.3122,2.10748,0.6714,0.117726
97,2484.46,-19.0476,0.57472,3086.45,-601.989,-24.1515,5.10392,0.743656,-0.168936,3282.55,-798.092,-25.0939,6.04633,0.755835,-0.181115
104,2951.15,-28.1287,0.830793,3356.44,-405.282,-29.2677,1.13897,0.851691,-0.020898,3577.75,-626.593,-30.5581,2.4294,0.871974,-0.041181
113,3221.96,-31.7919,0.924375,3717.97,-496.004,-35.7553,3.96335,0.976918,-0.0525437,3973.2,-751.239,-37.6128,5.82084,1.01078,-0.0864027
122,3382.73,-35.701,1.11192,4090.83,-708.106,-41.7436,6.0426,1.0777,0.0342216,4381.6,-998.87,-44.3122,8.61129,1.12849,-0.0165761
131,3592.1,-41.5613,1.10666,4468.76,-876.664,-46.7976,5.23635,1.14564,-0.038979,4796.68,-1204.58,-50.2224,8.66113,1.21595,-0.109293
140,4229.84,-43.6625,1.09668,4844.91,-615.073,-50.5055,6.84301,1.1751,-0.0784135,5211.58,-981.748,-54.9263,11.2638,1.26635,-0.169663
149,4251.39,-45.0365,1.00578,5212.71,-961.322,-52.5045,7.46793,1.1641,-0.158319,5619.53,-1368.15,-58.0421,13.0056,1.27563,-0.269846
158,4778.71,-49.241,1.07943,5563.71,-784.997,-52.478,3.23701,1.11504,-0.0356098,6011.83,-1233.12,-59.2291,9.9881,1.24382,-0.164394
167,4844.8,-45.9645,0.855441,5890.87,-1046.08,-50.1911,4.22662,1.0351,-0.179657,6381.17,-1536.38,-58.212,12.2475,1.17508,-0.319639
176,5120.63,-43.3901,0.96559,6186.09,-1065.47,-45.4914,2.10126,0.936301,0.0292889,6719.15,-1598.52,-54.7926,11.4025,1.07815,-0.112558
185,5373.97,-30.3906,0.835251,6442.28,-1068.31,-38.3254,7.93474,0.835302,-5.05133e-05,7018.33,-1644.36,-48.8664,18.4758,0.966151,-0.1309
