ell,Dl_obs,Dl_te_obs,Dl_ee_obs,Dl_lcdm_tt,residual_lcdm_tt,Dl_lcdm_te,residual_lcdm_te,Dl_lcdm_ee,residual_lcdm_ee,Dl_USMFv2_tt,residual_USMFv2_tt,Dl_USMFv2_te,residual_USMFv2_te,Dl_USMFv2_ee,residual_USMFv2_ee
32,1097.01,1.51224,0.0643557,1089.62,7.39151,1.92173,-0.409496,0.0267228,0.0376329,1677.65,-580.638,1.04624,0.465999,0.0249657,0.03939
37,1180.26,3.11711,0.0649424,1175.44,4.81955,1.88607,1.23103,0.0439239,0.0210185,1914.66,-734.399,0.602308,2.5148,0.0410335,0.0239089
42,1426.97,0.820244,0.0699042,1266.49,160.48,1.60257,-0.782321,0.0672766,0.00262757,2170.92,-743.946,-0.172158,0.992402,0.062952,0.00695219
47,1364.66,1.07013,0.141281,1361.39,3.26754,1.03612,0.0340097,0.0972426,0.044038,2441.5,-1076.84,-1.31479,2.38492,0.0915107,0.0497699
52,1329.06,1.08312,0.146964,1460.82,-131.755,0.156478,0.92664,0.134428,0.0125364,2726.23,-1397.17,-2.86659,3.94971,0.127234,0.0197302
57,1607.2,-3.82399,0.193005,1564.44,42.7546,-1.04572,-2.77828,0.178864,0.0141404,3022.87,-1415.68,-4.83773,1.01374,0.170608,0.022397
62,1663.41,-4.29778,0.296409,1673.36,-9.94657,-2.58186,-1.71592,0.230518,0.0658902,3331.51,-1668.1,-7.25437,2.95659,0.221813,0.0745961
67,1838.4,-2.04066,0.331388,1787.32,51.0809,-4.44279,2.40212,0.28887,0.042518,3651.27,-1812.87,-10.1104,8.06971,0.280869,0.0505192
72,1974.24,-8.54866,0.356963,1906.19,68.0482,-6.61255,-1.93611,0.353189,0.00377416,3981.04,-2006.8,-13.3952,4.84656,0.347495,0.00946797
77,1765.67,-7.23417,0.448396,2031.72,-266.049,-9.07807,1.8439,0.422644,0.025752,4322.47,-2556.8,-17.1041,9.86993,0.421292,0.0271035
82,2168.04,-9.89267,0.522364,2163.06,4.97485,-11.7972,1.90455,0.495848,0.0265152,4674.14,-2506.1,-21.1968,11.3041,0.501462,0.0209018
