ell,Dl_obs,Dl_te_obs,Dl_lcdm_tt,residual_lcdm_tt,Dl_lcdm_te,residual_lcdm_te,Dl_LambdaCDM_tt,residual_LambdaCDM_tt,Dl_LambdaCDM_te,residual_LambdaCDM_te
32,1097.01,116.488,25777.5,-24680.5,40.1266,76.3618,25777.5,-24680.5,40.1266,76.3618
37,1180.26,116.077,37340.6,-36160.3,51.6456,64.4317,37340.6,-36160.3,51.6456,64.4317
42,1426.97,117.361,52106.8,-50679.8,54.367,62.9938,52106.8,-50679.8,54.367,62.9938
47,1364.66,119.261,70516.5,-69151.8,40.4152,78.8454,70516.5,-69151.8,40.4152,78.8454
52,1329.06,121.332,93107.1,-91778.1,-2.69718,124.03,93107.1,-91778.1,-2.69718,124.03
57,1607.2,123.908,120389,-118781,-87.8168,211.725,120389,-118781,-87.8168,211.725
62,1663.41,126.648,153011,-151348,-231.679,358.327,153011,-151348,-231.679,358.327
67,1838.4,129.805,191589,-189751,-450.809,580.614,191589,-189751,-450.809,580.614
72,1974.24,133.711,236743,-234768,-763.827,897.539,236743,-234768,-763.827,897.539
77,1765.67,137.551,289386,-287620,-1190.56,1328.11,289386,-287620,-1190.56,1328.11
82,2168.04,142.193,350173,-348005,-1747.96,1890.15,350173,-348005,-1747.96,1890.15
87,2330.99,146.965,419886,-417555,-2452.54,2599.5,419886,-417555,-2452.54,2599.5
92,2446.65,151.665,499235,-496788,-3318.05,3469.71,499235,-496788,-3318.05,3469.71
97,2484.46,156.448,589038,-586554,-4355.26,4511.71,589038,-586554,-4355.26,4511.71
104,2951.15,118.869,734085,-731134,-6109.83,6228.7,734085,-731134,-6109.83,6228.7
113,3221.96,125.807,957001,-953779,-8882.89,9008.7,957001,-953779,-8882.89,9008.7
122,3382.73,132.931,1.22471e+06,-1.22132e+06,-12179.8,12312.7,1.22471e+06,-1.22132e+06,-12179.8,12312.7
131,3592.1,140.035,1.54029e+06,-1.5367e+06,-15861.4,16001.5,1.54029e+06,-1.5367e+06,-15861.4,16001.5
140,4229.84,146.431,1.90577e+06,-1.90154e+06,-19705.7,19852.1,1.90577e+06,-1.90154e+06,-19705.7,19852.1
149,4251.39,152.574,2.32245e+06,-2.3182e+06,-23408.8,23561.4,2.32245e+06,-2.3182e+06,-23408.8,23561.4
158,4778.71,158.191,2.78946e+06,-2.78468e+06,-26584.7,26742.9,2.78946e+06,-2.78468e+06,-26584.7,26742.9
167,4844.8,162.857,3.30444e+06,-3.2996e+06,-28774.4,28937.3,3.30444e+06,-3.2996e+06,-28774.4,28937.3
176,5120.63,166.536,3.86219e+06,-3.85707e+06,-29466.2,29632.8,3.86219e+06,-3.85707e+06,-29466.2,29632.8
185,5373.97,168.598,4.45576e+06,-4.45038e+06,-28126.7,28295.3,4.45576e+06,-4.45038e+06,-28126.7,28295.3
194,5542.7,169.826,5.07635e+06,-5.07081e+06,-24218.6,24388.4,5.07635e+06,-5.07081e+06,-24218.6,24388.4
203,5446.22,169.012,5.71367e+06,-5.70823e+06,-17244.5,17413.6,5.71367e+06,-5.70823e+06,-17244.5,17413.6
212,5636.34,167.953,6.35482e+06,-6.34918e+06,-6787.33,6955.28,6.35482e+06,-6.34918e+06,-6787.33,6955.28
221,5816.48,165.418,6.98715e+06,-6.98134e+06,7442.86,-7277.44,6.98715e+06,-6.98134e+06,7442.86,-7277.44
230,5684.66,160.755,7.5965e+06,-7.59082e+06,25593.8,-25433.1,7.5965e+06,-7.59082e+06,25593.8,-25433.1
239,5776.16,155.688,8.16855e+06,-8.16278e+06,47651.4,-47495.7,8.16855e+06,-8.16278e+06,47651.4,-47495.7
248,5435.47,149.464,8.68945e+06,-8.68402e+06,73420.9,-73271.4,8.68945e+06,-8.68402e+06,73420.9,-73271.4
257,5228,142.788,9.14642e+06,-9.14119e+06,102513,-102370,9.14642e+06,-9.14119e+06,102513,-102370
266,5090.29,134.576,9.52817e+06,-9.52308e+06,134227,-134093,9.52817e+06,-9.52308e+06,134227,-134093
275,5096.49,126.49,9.82694e+06,-9.82185e+06,167635,-167509,9.82694e+06,-9.82185e+06,167635,-167509
284,4546.18,117.806,1.00363e+07,-1.00317e+07,201624,-201506,1.00363e+07,-1.00317e+07,201624,-201506
293,4371.25,108.654,1.0153e+07,-1.01487e+07,234961,-234852,1.0153e+07,-1.01487e+07,234961,-234852
302,3935.72,100.144,1.01759e+07,-1.0172e+07,266309,-266209,1.01759e+07,-1.0172e+07,266309,-266209
311,3649.99,91.4018,1.01081e+07,-1.01045e+07,294281,-294190,1.01081e+07,-1.01045e+07,294281,-294190
320,3411.94,82.9697,9.95818e+06,-9.95477e+06,317356,-317273,9.95818e+06,-9.95477e+06,317356,-317273
329,3173.93,75.1715,9.73792e+06,-9.73475e+06,334048,-333973,9.73792e+06,-9.73475e+06,334048,-333973
338,2842.13,67.9998,9.46156e+06,-9.45872e+06,342990,-342922,9.46156e+06,-9.45872e+06,342990,-342922
347,2498.24,61.2915,9.14523e+06,-9.14273e+06,343020,-342959,9.14523e+06,-9.14273e+06,343020,-342959
356,2358.31,55.5922,8.8054e+06,-8.80304e+06,333125,-333070,8.8054e+06,-8.80304e+06,333125,-333070
365,2186.33,50.5043,8.46357e+06,-8.46138e+06,312849,-312798,8.46357e+06,-8.46138e+06,312849,-312798
374,2038.68,46.4264,8.14207e+06,-8.14003e+06,282048,-282002,8.14207e+06,-8.14003e+06,282048,-282002
383,1891.76,43.1684,7.86313e+06,-7.86124e+06,240964,-240921,7.86313e+06,-7.86124e+06,240964,-240921
392,1787.59,40.6809,7.64829e+06,-7.6465e+06,190103,-190063,7.64829e+06,-7.6465e+06,190103,-190063
401,1734.58,39.0986,7.51679e+06,-7.51505e+06,130303,-130264,7.51679e+06,-7.51505e+06,130303,-130264
410,1738.05,38.1472,7.4863e+06,-7.48456e+06,62808.1,-62770,7.4863e+06,-7.48456e+06,62808.1,-62770
419,1731.61,37.992,7.56902e+06,-7.56729e+06,-10289,10327,7.56902e+06,-7.56729e+06,-10289,10327
428,1770.01,38.2387,7.77511e+06,-7.77334e+06,-86582.8,86621.1,7.77511e+06,-7.77334e+06,-86582.8,86621.1
437,1770.68,38.942,8.11031e+06,-8.10854e+06,-163593,163632,8.11031e+06,-8.10854e+06,-163593,163632
446,1856.79,40.1097,8.57873e+06,-8.57687e+06,-238784,238824,8.57873e+06,-8.57687e+06,-238784,238824
455,2045.9,41.3193,9.17982e+06,-9.17778e+06,-309684,309725,9.17982e+06,-9.17778e+06,-309684,309725
464,2224.7,42.6811,9.90562e+06,-9.90339e+06,-373615,373658,9.90562e+06,-9.90339e+06,-373615,373658
473,2178.24,44.2083,1.07419e+07,-1.07397e+07,-427971,428015,1.07419e+07,-1.07397e+07,-427971,428015
482,2323.36,45.5664,1.16697e+07,-1.16674e+07,-470283,470328,1.16697e+07,-1.16674e+07,-470283,470328
491,2418.7,46.6662,1.26699e+07,-1.26675e+07,-498463,498510,1.26699e+07,-1.26675e+07,-498463,498510
500,2447.25,47.6298,1.37225e+07,-1.372e+07,-510810,510858,1.37225e+07,-1.372e+07,-510810,510858
509,2577.77,48.3824,1.48045e+07,-1.48019e+07,-506180,506228,1.48045e+07,-1.48019e+07,-506180,506228
518,2558.51,48.8517,1.58902e+07,-1.58876e+07,-484591,484640,1.58902e+07,-1.58876e+07,-484591,484640
527,2579.22,49.0304,1.69497e+07,-1.69471e+07,-446639,446688,1.69497e+07,-1.69471e+07,-446639,446688
536,2523.98,48.6775,1.79559e+07,-1.79534e+07,-393320,393369,1.79559e+07,-1.79534e+07,-393320,393369
545,2519.15,48.2047,1.88848e+07,-1.88823e+07,-326071,326119,1.88848e+07,-1.88823e+07,-326071,326119
554,2566.59,47.3184,1.97145e+07,-1.9712e+07,-246497,246544,1.97145e+07,-1.9712e+07,-246497,246544
563,2545.99,46.2542,2.04289e+07,-2.04263e+07,-157440,157486,2.04289e+07,-2.04263e+07,-157440,157486
572,2409.8,44.8554,2.10159e+07,-2.10135e+07,-63151.7,63196.6,2.10159e+07,-2.10135e+07,-63151.7,63196.6
581,2410.13,43.4209,2.14671e+07,-2.14647e+07,32103.1,-32059.7,2.14671e+07,-2.14647e+07,32103.1,-32059.7
590,2373.46,41.8475,2.17804e+07,-2.1778e+07,124132,-124090,2.17804e+07,-2.1778e+07,124132,-124090
599,2206.46,40.2004,2.19543e+07,-2.1952e+07,208882,-208842,2.19543e+07,-2.1952e+07,208882,-208842
608,2119.7,38.5251,2.19904e+07,-2.19883e+07,282570,-282532,2.19904e+07,-2.19883e+07,282570,-282532
617,2135.45,36.9238,2.19058e+07,-2.19037e+07,341000,-340964,2.19058e+07,-2.19037e+07,341000,-340964
626,1951.2,35.384,2.17251e+07,-2.17232e+07,380243,-380207,2.17251e+07,-2.17232e+07,380243,-380207
