ell,Dl_obs,Dl_lcdm,residual_lcdm,Dl_LambdaCDM,residual_LambdaCDM
32,1097.01,1139.33,-42.3162,1139.33,-42.3162
37,1180.26,1239.56,-59.2974,1239.56,-59.2974
42,1426.97,1346.63,80.3399,1346.63,80.3399
47,1364.66,1458.89,-94.2356,1458.89,-94.2356
52,1329.06,1576.8,-247.736,1576.8,-247.736
57,1607.2,1699.63,-92.4344,1699.63,-92.4344
62,1663.41,1828.37,-164.952,1828.37,-164.952
67,1838.4,1962.73,-124.324,1962.73,-124.324
72,1974.24,2102.29,-128.052,2102.29,-128.052
77,1765.67,2248.87,-483.2,2248.87,-483.2
82,2168.04,2401.39,-233.356,2401.39,-233.356
87,2330.99,2559.78,-228.783,2559.78,-228.783
92,2446.65,2723.37,-276.72,2723.37,-276.72
97,2484.46,2892.13,-407.674,2892.13,-407.674
104,2951.15,3137.59,-186.436,3137.59,-186.436
113,3221.96,3467.38,-245.417,3467.38,-245.417
122,3382.73,3809.25,-426.52,3809.25,-426.52
131,3592.1,4157.48,-565.385,4157.48,-565.385
140,4229.84,4506.05,-276.211,4506.05,-276.211
149,4251.39,4850,-598.611,4850,-598.611
158,4778.71,5182.49,-403.782,5182.49,-403.782
167,4844.8,5497.24,-652.442,5497.24,-652.442
176,5120.63,5786.56,-665.93,5786.56,-665.93
185,5373.97,6043.78,-669.811,6043.78,-669.811
194,5542.7,6263.08,-720.376,6263.08,-720.376
203,5446.22,6439.64,-993.42,6439.64,-993.42
212,5636.34,6568.4,-932.064,6568.4,-932.064
221,5816.48,6647.02,-830.544,6647.02,-830.544
230,5684.66,6673.38,-988.727,6673.38,-988.727
239,5776.16,6646.73,-870.579,6646.73,-870.579
248,5435.47,6567.7,-1132.24,6567.7,-1132.24
257,5228,6438.29,-1210.29,6438.29,-1210.29
266,5090.29,6261.65,-1171.36,6261.65,-1171.36
275,5096.49,6042.95,-946.463,6042.95,-946.463
284,4546.18,5787.38,-1241.2,5787.38,-1241.2
293,4371.25,5501.14,-1129.9,5501.14,-1129.9
302,3935.72,5190.36,-1254.64,5190.36,-1254.64
311,3649.99,4862.14,-1212.15,4862.14,-1212.15
320,3411.94,4524.78,-1112.83,4524.78,-1112.83
329,3173.93,4186.28,-1012.35,4186.28,-1012.35
338,2842.13,3854.06,-1011.93,3854.06,-1011.93
347,2498.24,3534.74,-1036.51,3534.74,-1036.51
356,2358.31,3233.72,-875.415,3233.72,-875.415
365,2186.33,2957,-770.676,2957,-770.676
374,2038.68,2709.59,-670.915,2709.59,-670.915
383,1891.76,2495.39,-603.63,2495.39,-603.63
392,1787.59,2317.17,-529.58,2317.17,-529.58
401,1734.58,2176.38,-441.797,2176.38,-441.797
410,1738.05,2073.55,-335.492,2073.55,-335.492
419,1731.61,2007.47,-275.862,2007.47,-275.862
428,1770.01,1976.41,-206.4,1976.41,-206.4
437,1770.68,1977.67,-206.995,1977.67,-206.995
446,1856.79,2008.41,-151.622,2008.41,-151.622
455,2045.9,2065.05,-19.1476,2065.05,-19.1476
464,2224.7,2142.81,81.8934,2142.81,81.8934
473,2178.24,2236.22,-57.9759,2236.22,-57.9759
482,2323.36,2339.58,-16.2251,2339.58,-16.2251
491,2418.7,2447.94,-29.2394,2447.94,-29.2394
500,2447.25,2556.8,-109.545,2556.8,-109.545
509,2577.77,2661.81,-84.0365,2661.81,-84.0365
518,2558.51,2758.7,-200.186,2758.7,-200.186
527,2579.22,2843.08,-263.863,2843.08,-263.863
536,2523.98,2911.66,-387.685,2911.66,-387.685
545,2519.15,2962.08,-442.929,2962.08,-442.929
554,2566.59,2992.65,-426.063,2992.65,-426.063
563,2545.99,3002.82,-456.822,3002.82,-456.822
572,2409.8,2992.74,-582.94,2992.74,-582.94
581,2410.13,2963.11,-552.98,2963.11,-552.98
590,2373.46,2915.4,-541.944,2915.4,-541.944
599,2206.46,2851.1,-644.639,2851.1,-644.639
608,2119.7,2771.95,-652.248,2771.95,-652.248
617,2135.45,2681.38,-545.926,2681.38,-545.926
626,1951.2,2583.4,-632.206,2583.4,-632.206
635,1938.19,2481.68,-543.492,2481.68,-543.492
644,1859.9,2379.43,-519.527,2379.43,-519.527
653,1847.08,2279.37,-432.281,2279.37,-432.281
662,1848.18,2184.46,-336.279,2184.46,-336.279
671,1814.96,2098.16,-283.203,2098.16,-283.203
680,1760.56,2023.38,-262.817,2023.38,-262.817
689,1822.41,1962.36,-139.952,1962.36,-139.952
698,1884.92,1916.82,-31.9031,1916.82,-31.9031
707,1891,1887.76,3.23317,1887.76,3.23317
716,1908.77,1875.37,33.393,1875.37,33.393
725,1994.29,1879.23,115.058,1879.23,115.058
734,2050.06,1898.93,151.131,1898.93,151.131
743,2184.75,1933.53,251.223,1933.53,251.223
752,2260,1981.77,278.233,1981.77,278.233
761,2344.61,2041.9,302.708,2041.9,302.708
770,2348.38,2111,237.378,2111,237.378
779,2350.93,2185.49,165.445,2185.49,165.445
788,2481.01,2262.94,218.068,2262.94,218.068
797,2466.93,2340.4,126.533,2340.4,126.533
806,2493.81,2416.04,77.7614,2416.04,77.7614
815,2552.73,2486.62,66.1124,2486.62,66.1124
824,2521.81,2549.47,-27.6621,2549.47,-27.6621
833,2495.02,2601.64,-106.624,2601.64,-106.624
842,2505.47,2641.25,-135.785,2641.25,-135.785
851,2383.14,2666.85,-283.709,2666.85,-283.709
860,2355.55,2677.05,-321.502,2677.05,-321.502
869,2237.42,2671.98,-434.568,2671.98,-434.568
878,2168.28,2651.03,-482.744,2651.03,-482.744
887,2073.72,2614.67,-540.953,2614.67,-540.953
896,1948.82,2562.89,-614.071,2562.89,-614.071
905,1843.37,2496.19,-652.822,2496.19,-652.822
914,1745.6,2416.41,-670.802,2416.41,-670.802
923,1619.45,2325.91,-706.459,2325.91,-706.459
932,1562.39,2226.96,-664.562,2226.96,-664.562
941,1437.55,2121.71,-684.164,2121.71,-684.164
950,1342.39,2011.93,-669.543,2011.93,-669.543
959,1285.75,1899.42,-613.67,1899.42,-613.67
968,1232.84,1787,-554.159,1787,-554.159
977,1129.03,1677.37,-548.336,1677.37,-548.336
986,1103.57,1572.79,-469.218,1572.79,-469.218
995,1087.32,1475.19,-387.873,1475.19,-387.873
1004,1024.83,1386.16,-361.333,1386.16,-361.333
1013,1079.48,1306.73,-227.247,1306.73,-227.247
1022,1032.41,1237.99,-205.58,1237.99,-205.58
1031,1040.79,1180.58,-139.791,1180.58,-139.791
1040,1055.91,1135.09,-79.1866,1135.09,-79.1866
1049,1081.98,1101.73,-19.7479,1101.73,-19.7479
1058,1129.81,1080.63,49.1828,1080.63,49.1828
1067,1122.39,1070.71,51.6804,1070.71,51.6804
1076,1153.29,1070.64,82.6469,1070.64,82.6469
1085,1217.71,1079.11,138.6,1079.11,138.6
1094,1216.98,1094.95,122.03,1094.95,122.03
1103,1211.44,1117.2,94.2347,1117.2,94.2347
1112,1213.36,1144.51,68.8524,1144.51,68.8524
1121,1246.29,1174.76,71.536,1174.76,71.536
1130,1237.54,1205.95,31.588,1205.95,31.588
1139,1215.83,1236.48,-20.649,1236.48,-20.649
1148,1212.52,1264.9,-52.3801,1264.9,-52.3801
1157,1220.58,1290.04,-69.4552,1290.04,-69.4552
1166,1159.29,1310.85,-151.554,1310.85,-151.554
1175,1143.31,1326.34,-183.031,1326.34,-183.031
1184,1136.56,1335.72,-199.158,1335.72,-199.158
1193,1086.25,1338.26,-252.01,1338.26,-252.01
1202,1005.41,1333.44,-328.033,1333.44,-328.033
1211,975.189,1321.11,-345.92,1321.11,-345.92
1220,970.73,1301.9,-331.168,1301.9,-331.168
1229,906.514,1276.48,-369.963,1276.48,-369.963
1238,895.506,1245.48,-349.976,1245.48,-349.976
1247,860.053,1209.39,-349.335,1209.39,-349.335
1256,805.618,1168.61,-362.993,1168.61,-362.993
1265,777.489,1124.3,-346.807,1124.3,-346.807
1274,770.016,1077.93,-307.91,1077.93,-307.91
1283,736.545,1030.81,-294.269,1030.81,-294.269
1292,758.18,984.042,-225.861,984.042,-225.861
1301,733.856,938.512,-204.655,938.512,-204.655
