ell,Dl_obs,Dl_te_obs,Dl_ee_obs,Dl_lcdm_tt,residual_lcdm_tt,Dl_lcdm_te,residual_lcdm_te,Dl_lcdm_ee,residual_lcdm_ee,Dl_LambdaCDM_tt,residual_LambdaCDM_tt,Dl_LambdaCDM_te,residual_LambdaCDM_te,Dl_LambdaCDM_ee,residual_LambdaCDM_ee
32,1097.01,1.51224,0.0643557,1139.33,-42.3162,1.77354,-0.261303,0.0239732,0.0403825,1139.33,-42.3162,1.77354,-0.261303,0.0239732,0.0403825
37,1180.26,3.11711,0.0649424,1239.56,-59.2974,1.71443,1.40267,0.0395467,0.0253957,1239.56,-59.2974,1.71443,1.40267,0.0395467,0.0253957
42,1426.97,0.820244,0.0699042,1346.63,80.3399,1.40505,-0.584801,0.0604882,0.00941597,1346.63,80.3399,1.40505,-0.584801,0.0604882,0.00941597
47,1364.66,1.07013,0.141281,1458.89,-94.2356,0.836138,0.233991,0.0877852,0.0534954,1458.89,-94.2356,0.836138,0.233991,0.0877852,0.0534954
52,1329.06,1.08312,0.146964,1576.8,-247.736,-0.0456775,1.1288,0.121658,0.0253064,1576.8,-247.736,-0.0456775,1.1288,0.121658,0.0253064
57,1607.2,-3.82399,0.193005,1699.63,-92.4344,-1.23979,-2.58421,0.162435,0.0305696,1699.63,-92.4344,-1.23979,-2.58421,0.162435,0.0305696
62,1663.41,-4.29778,0.296409,1828.37,-164.952,-2.76839,-1.52939,0.210029,0.0863799,1828.37,-164.952,-2.76839,-1.52939,0.210029,0.0863799
67,1838.4,-2.04066,0.331388,1962.73,-124.324,-4.61829,2.57763,0.264234,0.0671537,1962.73,-124.324,-4.61829,2.57763,0.264234,0.0671537
72,1974.24,-8.54866,0.356963,2102.29,-128.052,-6.78285,-1.76581,0.324483,0.0324807,2102.29,-128.052,-6.78285,-1.76581,0.324483,0.0324807
77,1765.67,-7.23417,0.448396,2248.87,-483.2,-9.25204,2.01788,0.390095,0.0583006,2248.87,-483.2,-9.25204,2.01788,0.390095,0.0583006
82,2168.04,-9.89267,0.522364,2401.39,-233.356,-11.987,2.09437,0.459981,0.0623825,2401.39,-233.356,-11.987,2.09437,0.459981,0.0623825
87,2330.99,-12.7208,0.489592,2559.78,-228.783,-14.9515,2.23071,0.532983,-0.0433914,2559.78,-228.783,-14.9515,2.23071,0.532983,-0.0433914
92,2446.65,-19.2047,0.789127,2723.37,-276.72,-18.1002,-1.10446,0.607793,0.181334,2723.37,-276.72,-18.1002,-1.10446,0.607793,0.181334
97,2484.46,-19.0476,0.57472,2892.13,-407.674,-21.384,2.33642,0.682886,-0.108166,2892.13,-407.674,-21.384,2.33642,0.682886,-0.108166
104,2951.15,-28.1287,0.830793,3137.59,-186.436,-26.1143,-2.01439,0.785419,0.0453743,3137.59,-186.436,-26.1143,-2.01439,0.785419,0.0453743
113,3221.96,-31.7919,0.924375,3467.38,-245.417,-32.1842,0.392304,0.906363,0.0180113,3467.38,-245.417,-32.1842,0.392304,0.906363,0.0180113
122,3382.73,-35.701,1.11192,3809.25,-426.52,-37.8832,2.18227,1.00668,0.105239,3809.25,-426.52,-37.8832,2.18227,1.00668,0.105239
131,3592.1,-41.5613,1.10666,4157.48,-565.385,-42.8124,1.25118,1.07835,0.0283044,4157.48,-565.385,-42.8124,1.25118,1.07835,0.0283044
140,4229.84,-43.6625,1.09668,4506.05,-276.211,-46.5925,2.92995,1.11581,-0.0191263,4506.05,-276.211,-46.5925,2.92995,1.11581,-0.0191263
149,4251.39,-45.0365,1.00578,4850,-598.611,-48.8848,3.84829,1.11634,-0.110557,4850,-598.611,-48.8848,3.84829,1.11634,-0.110557
158,4778.71,-49.241,1.07943,5182.49,-403.782,-49.3912,0.150294,1.08134,-0.00191392,5182.49,-403.782,-49.3912,0.150294,1.08134,-0.00191392
167,4844.8,-45.9645,0.855441,5497.24,-652.442,-47.8689,1.90436,1.01639,-0.160945,5497.24,-652.442,-47.8689,1.90436,1.01639,-0.160945
176,5120.63,-43.3901,0.96559,5786.56,-665.93,-44.148,0.75787,0.931648,0.0339414,5786.56,-665.93,-44.148,0.75787,0.931648,0.0339414
185,5373.97,-30.3906,0.835251,6043.78,-669.811,-38.151,7.76037,0.841695,-0.00644371,6043.78,-669.811,-38.151,7.76037,0.841695,-0.00644371
194,5542.7,-18.1436,0.793541,6263.08,-720.376,-29.8803,11.7367,0.764288,0.0292529,6263.08,-720.376,-29.8803,11.7367,0.764288,0.0292529
203,5446.22,-7.21464,0.694054,6439.64,-993.42,-19.4356,12.221,0.720058,-0.0260043,6439.64,-993.42,-19.4356,12.221,0.720058,-0.0260043
212,5636.34,2.53847,0.877642,6568.4,-932.064,-7.01545,9.55392,0.733757,0.143886,6568.4,-932.064,-7.01545,9.55392,0.733757,0.143886
221,5816.48,17.9047,0.874199,6647.02,-830.544,7.08055,10.8241,0.834082,0.0401165,6647.02,-830.544,7.08055,10.8241,0.834082,0.0401165
230,5684.66,26.6053,1.23818,6673.38,-988.727,22.4837,4.12155,1.04874,0.189438,6673.38,-988.727,22.4837,4.12155,1.04874,0.189438
239,5776.16,46.2991,1.78071,6646.73,-870.579,38.7738,7.5253,1.40243,0.378283,6646.73,-870.579,38.7738,7.5253,1.40243,0.378283
248,5435.47,50.6637,2.10983,6567.7,-1132.24,55.4933,-4.82961,1.91535,0.19448,6567.7,-1132.24,55.4933,-4.82961,1.91535,0.19448
257,5228,71.5358,3.13386,6438.29,-1210.29,72.16,-0.624259,2.60246,0.531402,6438.29,-1210.29,72.16,-0.624259,2.60246,0.531402
266,5090.29,86.4306,3.86066,6261.65,-1171.36,88.2104,-1.77985,3.47742,0.383239,6261.65,-1171.36,88.2104,-1.77985,3.47742,0.383239
275,5096.49,106.963,5.31265,6042.95,-946.463,103.085,3.87751,4.54891,0.763739,6042.95,-946.463,103.085,3.87751,4.54891,0.763739
284,4546.18,102.707,5.82483,5787.38,-1241.2,116.265,-13.5588,5.81687,0.00795307,5787.38,-1241.2,116.265,-13.5588,5.81687,0.00795307
293,4371.25,117.073,8.21385,5501.14,-1129.9,127.307,-10.2346,7.27259,0.941268,5501.14,-1129.9,127.307,-10.2346,7.27259,0.941268
302,3935.72,117.089,9.31107,5190.36,-1254.64,135.834,-18.7447,8.89807,0.412991,5190.36,-1254.64,135.834,-18.7447,8.89807,0.412991
311,3649.99,119.046,10.9594,4862.14,-1212.15,141.553,-22.5067,10.6671,0.292339,4862.14,-1212.15,141.553,-22.5067,10.6671,0.292339
320,3411.94,112.762,12.6384,4524.78,-1112.83,144.2,-31.4374,12.5431,0.0953251,4524.78,-1112.83,144.2,-31.4374,12.5431,0.0953251
329,3173.93,117.149,15.1816,4186.28,-1012.35,143.606,-26.4567,14.4837,0.697806,4186.28,-1012.35,143.606,-26.4567,14.4837,0.697806
338,2842.13,105.901,16.0657,3854.06,-1011.93,139.713,-33.8125,16.4433,-0.37763,3854.06,-1011.93,139.713,-33.8125,16.4433,-0.37763
347,2498.24,86.2064,16.2208,3534.74,-1036.51,132.582,-46.3753,18.3757,-2.15494,3534.74,-1036.51,132.582,-46.3753,18.3757,-2.15494
356,2358.31,79.8487,18.6902,3233.72,-875.415,122.338,-42.4894,20.233,-1.54278,3233.72,-875.415,122.338,-42.4894,20.233,-1.54278
365,2186.33,61.0311,18.5056,2957,-770.676,109.303,-48.272,21.9618,-3.45619,2957,-770.676,109.303,-48.272,21.9618,-3.45619
374,2038.68,46.4875,21.0827,2709.59,-670.915,93.8625,-47.3751,23.5007,-2.41799,2709.59,-670.915,93.8625,-47.3751,23.5007,-2.41799
383,1891.76,31.557,21.4257,2495.39,-603.63,76.4707,-44.9137,24.7985,-3.37288,2495.39,-603.63,76.4707,-44.9137,24.7985,-3.37288
392,1787.59,19.7448,22.3593,2317.17,-529.58,57.5948,-37.85,25.8129,-3.45364,2317.17,-529.58,57.5948,-37.85,25.8129,-3.45364
401,1734.58,-0.544681,21.1747,2176.38,-441.797,37.7274,-38.2721,26.517,-5.34234,2176.38,-441.797,37.7274,-38.2721,26.517,-5.34234
410,1738.05,-21.8916,21.0336,2073.55,-335.492,17.3965,-39.2881,26.8887,-5.85511,2073.55,-335.492,17.3965,-39.2881,26.8887,-5.85511
419,1731.61,-35.0666,19.2941,2007.47,-275.862,-2.72888,-32.3377,26.9129,-7.61884,2007.47,-275.862,-2.72888,-32.3377,26.9129,-7.61884
428,1770.01,-48.4463,19.1288,1976.41,-206.4,-22.0091,-26.4372,26.583,-7.45417,1976.41,-206.4,-22.0091,-26.4372,26.583,-7.45417
437,1770.68,-61.9365,19.3346,1977.67,-206.995,-39.8916,-22.0448,25.9084,-6.57382,1977.67,-206.995,-39.8916,-22.0448,25.9084,-6.57382
446,1856.79,-62.1436,17.3252,2008.41,-151.622,-55.903,-6.24062,24.9075,-7.58235,2008.41,-151.622,-55.903,-6.24062,24.9075,-7.58235
455,2045.9,-74.4981,15.4382,2065.05,-19.1476,-69.665,-4.83309,23.6086,-8.17044,2065.05,-19.1476,-69.665,-4.83309,23.6086,-8.17044
464,2224.7,-80.0589,14.5813,2142.81,81.8934,-80.8213,0.762405,22.0587,-7.4774,2142.81,81.8934,-80.8213,0.762405,22.0587,-7.4774
473,2178.24,-75.3658,11.5893,2236.22,-57.9759,-89.0937,13.7278,20.3237,-8.73439,2236.22,-57.9759,-89.0937,13.7278,20.3237,-8.73439
482,2323.36,-71.9894,11.4556,2339.58,-16.2251,-94.2838,22.2944,18.4697,-7.01413,2339.58,-16.2251,-94.2838,22.2944,18.4697,-7.01413
491,2418.7,-71.1199,10.3049,2447.94,-29.2394,-96.3072,25.1874,16.5632,-6.2583,2447.94,-29.2394,-96.3072,25.1874,16.5632,-6.2583
500,2447.25,-59.624,8.30294,2556.8,-109.545,-95.1752,35.5512,14.6658,-6.36289,2556.8,-109.545,-95.1752,35.5512,14.6658,-6.36289
509,2577.77,-47.175,8.22746,2661.81,-84.0365,-91.0099,43.8349,12.8413,-4.61386,2661.81,-84.0365,-91.0099,43.8349,12.8413,-4.61386
518,2558.51,-42.4169,7.35097,2758.7,-200.186,-84.1299,41.713,11.1756,-3.8246,2758.7,-200.186,-84.1299,41.713,11.1756,-3.8246
527,2579.22,-23.0411,6.50428,2843.08,-263.863,-74.9177,51.8766,9.74953,-3.24524,2843.08,-263.863,-74.9177,51.8766,9.74953,-3.24524
536,2523.98,-18.6287,6.71246,2911.66,-387.685,-63.7793,45.1506,8.63026,-1.9178,2911.66,-387.685,-63.7793,45.1506,8.63026,-1.9178
545,2519.15,-1.43395,8.58876,2962.08,-442.929,-51.1441,49.7101,7.87027,0.718488,2962.08,-442.929,-51.1441,49.7101,7.87027,0.718488
554,2566.59,3.55431,8.51755,2992.65,-426.063,-37.418,40.9723,7.50649,1.01106,2992.65,-426.063,-37.418,40.9723,7.50649,1.01106
563,2545.99,11.5793,10.6431,3002.82,-456.822,-23.142,34.7213,7.56604,3.07708,3002.82,-456.822,-23.142,34.7213,7.56604,3.07708
572,2409.8,18.6254,11.8913,2992.74,-582.94,-8.99304,27.6184,8.06882,3.82248,2992.74,-582.94,-8.99304,27.6184,8.06882,3.82248
581,2410.13,26.5374,15.4975,2963.11,-552.98,4.43119,22.1062,9.01971,6.47774,2963.11,-552.98,4.43119,22.1062,9.01971,6.47774
590,2373.46,26.8724,15.2827,2915.4,-541.944,16.6156,10.2568,10.4105,4.87218,2915.4,-541.944,16.6156,10.2568,10.4105,4.87218
599,2206.46,28.2947,18.225,2851.1,-644.639,27.1266,1.16809,12.2215,6.00351,2851.1,-644.639,27.1266,1.16809,12.2215,6.00351
608,2119.7,32.2515,22.1034,2771.95,-652.248,35.6187,-3.36718,14.419,7.68441,2771.95,-652.248,35.6187,-3.36718,14.419,7.68441
617,2135.45,23.9273,25.8934,2681.38,-545.926,41.7401,-17.8128,16.9348,8.95856,2681.38,-545.926,41.7401,-17.8128,16.9348,8.95856
626,1951.2,10.8452,25.9867,2583.4,-632.206,45.2159,-34.3707,19.6918,6.29489,2583.4,-632.206,45.2159,-34.3707,19.6918,6.29489
635,1938.19,7.54114,30.1719,2481.68,-543.492,45.8609,-38.3198,22.6114,7.56045,2481.68,-543.492,45.8609,-38.3198,22.6114,7.56045
644,1859.9,-5.033,32.9222,2379.43,-519.527,43.5783,-48.6113,25.6185,7.3037,2379.43,-519.527,43.5783,-48.6113,25.6185,7.3037
653,1847.08,-15.3753,32.8238,2279.37,-432.281,38.3586,-53.7339,28.6425,4.18125,2279.37,-432.281,38.3586,-53.7339,28.6425,4.18125
662,1848.18,-29.9359,34.7378,2184.46,-336.279,30.3443,-60.2802,31.6066,3.13121,2184.46,-336.279,30.3443,-60.2802,31.6066,3.13121
671,1814.96,-56.9826,36.3808,2098.16,-283.203,19.8542,-76.8369,34.4052,1.97564,2098.16,-283.203,19.8542,-76.8369,34.4052,1.97564
680,1760.56,-66.7884,36.6042,2023.38,-262.817,7.24486,-74.0332,36.9437,-0.339532,2023.38,-262.817,7.24486,-74.0332,36.9437,-0.339532
689,1822.41,-80.806,38.1163,1962.36,-139.952,-7.10702,-73.6989,39.1396,-1.02326,1962.36,-139.952,-7.10702,-73.6989,39.1396,-1.02326
698,1884.92,-94.2074,38.9399,1916.82,-31.9031,-22.8518,-71.3556,40.939,-1.99908,1916.82,-31.9031,-22.8518,-71.3556,40.939,-1.99908
707,1891,-99.954,36.5131,1887.76,3.23317,-39.6204,-60.3336,42.2978,-5.78479,1887.76,3.23317,-39.6204,-60.3336,42.2978,-5.78479
716,1908.77,-113.946,36.4293,1875.37,33.393,-56.8275,-57.1184,43.1799,-6.75064,1875.37,33.393,-56.8275,-57.1184,43.1799,-6.75064
725,1994.29,-122.488,33.4393,1879.23,115.058,-73.8094,-48.679,43.5554,-10.1161,1879.23,115.058,-73.8094,-48.679,43.5554,-10.1161
734,2050.06,-127.683,32.2593,1898.93,151.131,-90.0191,-37.6642,43.4171,-11.1578,1898.93,151.131,-90.0191,-37.6642,43.4171,-11.1578
743,2184.75,-130.614,27.6853,1933.53,251.223,-104.959,-25.6546,42.7648,-15.0795,1933.53,251.223,-104.959,-25.6546,42.7648,-15.0795
752,2260,-131.217,27.3087,1981.77,278.233,-118.234,-12.983,41.6123,-14.3036,1981.77,278.233,-118.234,-12.983,41.6123,-14.3036
761,2344.61,-126.704,24.6929,2041.9,302.708,-129.503,2.79943,39.9941,-15.3012,2041.9,302.708,-129.503,2.79943,39.9941,-15.3012
770,2348.38,-117.03,21.1035,2111,237.378,-138.378,21.3476,37.9858,-16.8823,2111,237.378,-138.378,21.3476,37.9858,-16.8823
779,2350.93,-109.053,19.3843,2185.49,165.445,-144.531,35.4775,35.6666,-16.2823,2185.49,165.445,-144.531,35.4775,35.6666,-16.2823
788,2481.01,-104.286,19.3659,2262.94,218.068,-147.787,43.5012,33.1126,-13.7467,2262.94,218.068,-147.787,43.5012,33.1126,-13.7467
797,2466.93,-89.1184,17.3212,2340.4,126.533,-147.964,58.8452,30.3924,-13.0713,2340.4,126.533,-147.964,58.8452,30.3924,-13.0713
806,2493.81,-77.0153,16.1542,2416.04,77.7614,-145.065,68.0502,27.5731,-11.4189,2416.04,77.7614,-145.065,68.0502,27.5731,-11.4189
815,2552.73,-64.7342,14.1638,2486.62,66.1124,-139.183,74.4486,24.7528,-10.5891,2486.62,66.1124,-139.183,74.4486,24.7528,-10.5891
824,2521.81,-49.9835,12.1229,2549.47,-27.6621,-130.606,80.6222,22.0443,-9.92146,2549.47,-27.6621,-130.606,80.6222,22.0443,-9.92146
833,2495.02,-27.9085,11.6282,2601.64,-106.624,-119.585,91.6761,19.5471,-7.91886,2601.64,-106.624,-119.585,91.6761,19.5471,-7.91886
842,2505.47,-17.8662,13.3085,2641.25,-135.785,-106.422,88.5557,17.3429,-4.03442,2641.25,-135.785,-106.422,88.5557,17.3429,-4.03442
851,2383.14,3.01617,13.0309,2666.85,-283.709,-91.3935,94.4097,15.4909,-2.46001,2666.85,-283.709,-91.3935,94.4097,15.4909,-2.46001
860,2355.55,13.7369,15.4091,2677.05,-321.502,-74.825,88.5619,14.0456,1.36347,2677.05,-321.502,-74.825,88.5619,14.0456,1.36347
