ell,Dl_obs,Dl_te_obs,Dl_ee_obs,Dl_lcdm_tt,residual_lcdm_tt,Dl_lcdm_te,residual_lcdm_te,Dl_lcdm_ee,residual_lcdm_ee,Dl_LambdaCDM_tt,residual_LambdaCDM_tt,Dl_LambdaCDM_te,residual_LambdaCDM_te,Dl_LambdaCDM_ee,residual_LambdaCDM_ee
32,1097.01,1.51224,0.0643557,1309.46,-212.452,4.25022,-2.73798,0.0583853,0.00597038,1309.46,-212.452,4.25022,-2.73798,0.0583853,0.00597038
37,1180.26,3.11711,0.0649424,1354.95,-174.691,4.54113,-1.42403,0.0966395,-0.0316971,1354.95,-174.691,4.54113,-1.42403,0.0966395,-0.0316971
42,1426.97,0.820244,0.0699042,1396.53,30.4418,4.51469,-3.69445,0.148177,-0.0782733,1396.53,30.4418,4.51469,-3.69445,0.148177,-0.0782733
47,1364.66,1.07013,0.141281,1435.34,-70.68,4.07906,-3.00893,0.213972,-0.0726919,1435.34,-70.68,4.07906,-3.00893,0.213972,-0.0726919
52,1329.06,1.08312,0.146964,1472.5,-143.436,3.15145,-2.06833,0.294121,-0.147157,1472.5,-143.436,3.15145,-2.06833,0.294121,-0.147157
57,1607.2,-3.82399,0.193005,1509.12,98.0723,1.78116,-5.60515,0.388772,-0.195768,1509.12,98.0723,1.78116,-5.60515,0.388772,-0.195768
62,1663.41,-4.29778,0.296409,1547.27,116.14,-0.0544768,-4.2433,0.496765,-0.200356,1547.27,116.14,-0.0544768,-4.2433,0.496765,-0.200356
67,1838.4,-2.04066,0.331388,1587.96,250.442,-2.37518,0.334518,0.616778,-0.28539,1587.96,250.442,-2.37518,0.334518,0.616778,-0.28539
72,1974.24,-8.54866,0.356963,1631.86,342.378,-5.1324,-3.41626,0.746476,-0.389512,1631.86,342.378,-5.1324,-3.41626,0.746476,-0.389512
77,1765.67,-7.23417,0.448396,1681.14,84.5293,-8.28234,1.04817,0.88271,-0.434314,1681.14,84.5293,-8.28234,1.04817,0.88271,-0.434314
82,2168.04,-9.89267,0.522364,1735.27,432.769,-11.7605,1.86782,1.02283,-0.500464,1735.27,432.769,-11.7605,1.86782,1.02283,-0.500464
87,2330.99,-12.7208,0.489592,1796.09,534.909,-15.5096,2.78878,1.16289,-0.673298,1796.09,534.909,-15.5096,2.78878,1.16289,-0.673298
92,2446.65,-19.2047,0.789127,1862.57,584.076,-19.4336,0.228951,1.29872,-0.509589,1862.57,584.076,-19.4336,0.228951,1.29872,-0.509589
97,2484.46,-19.0476,0.57472,1935.1,549.355,-23.4412,4.39358,1.42649,-0.851766,1935.1,549.355,-23.4412,4.39358,1.42649,-0.851766
104,2951.15,-28.1287,0.830793,2046.47,904.68,-29.0144,0.885739,1.58486,-0.754062,2046.47,904.68,-29.0144,0.885739,1.58486,-0.754062
113,3221.96,-31.7919,0.924375,2203.02,1018.94,-35.6997,3.9078,1.73874,-0.814367,2203.02,1018.94,-35.6997,3.9078,1.73874,-0.814367
