ell,Dl_obs,Dl_te_obs,Dl_ee_obs,Dl_lcdm_tt,residual_lcdm_tt,Dl_lcdm_te,residual_lcdm_te,Dl_lcdm_ee,residual_lcdm_ee,Dl_USMFv2_tt,residual_USMFv2_tt,Dl_USMFv2_te,residual_USMFv2_te,Dl_USMFv2_ee,residual_USMFv2_ee
32,1097.01,1.51224,0.0643557,1070.08,26.9336,2.06693,-0.554695,0.029117,0.0352387,1709.71,-612.694,0.936617,0.57562,0.0149043,0.0494514
37,1180.26,3.11711,0.0649424,1151.35,28.9121,2.06107,1.05604,0.0478957,0.0170467,1947.03,-766.768,0.688615,2.42849,0.0245266,0.0404158
42,1426.97,0.820244,0.0699042,1237.13,189.845,1.78951,-0.969267,0.0734461,-0.00354189,2197.93,-770.954,0.221751,0.598493,0.0376994,0.0322047
47,1364.66,1.07013,0.141281,1326.42,38.2433,1.23108,-0.160953,0.106399,0.0348817,2458.41,-1093.75,-0.483929,1.55406,0.0550339,0.0862467
52,1329.06,1.08312,0.146964,1419.98,-90.9224,0.330585,0.752533,0.147251,-0.000287104,2727.19,-1398.13,-1.47457,2.55768,0.0768713,0.0700927
57,1607.2,-3.82399,0.193005,1517.54,89.6536,-0.899982,-2.92401,0.196228,-0.00322311,3001.99,-1394.8,-2.74901,-1.07498,0.103649,0.0893556
62,1663.41,-4.29778,0.296409,1620.52,42.8974,-2.49545,-1.80233,0.253188,0.0432206,3283.11,-1619.7,-4.33503,0.0372498,0.135619,0.16079
67,1838.4,-2.04066,0.331388,1728.63,109.778,-4.43721,2.39654,0.317745,0.0136434,3569.63,-1731.23,-6.23392,4.19326,0.17294,0.158448
72,1974.24,-8.54866,0.356963,1842.05,132.191,-6.7111,-1.83757,0.389103,-0.0321398,3860.43,-1886.19,-8.44702,-0.101644,0.215598,0.141365
77,1765.67,-7.23417,0.448396,1962.28,-196.607,-9.31405,2.07988,0.466298,-0.0179027,4156.97,-2391.3,-10.9798,3.74559,0.263548,0.184847
82,2168.04,-9.89267,0.522364,2088.45,79.5905,-12.1968,2.30409,0.54798,-0.0256166,4456.42,-2288.38,-13.7982,3.90551,0.31649,0.205873
87,2330.99,-12.7208,0.489592,2221.48,109.515,-15.3222,2.60138,0.632623,-0.143031,4759.27,-2428.28,-16.9035,4.18272,0.374131,0.115461
92,2446.65,-19.2047,0.789127,2359.84,86.8067,-18.631,-0.573704,0.71852,0.0706065,5065.76,-2619.11,-20.272,1.0673,0.436005,0.353121
97,2484.46,-19.0476,0.57472,2503.98,-19.5266,-22.0754,3.02781,0.803782,-0.229062,5375.56,-2891.1,-23.8754,4.82783,0.501529,0.0731912
104,2951.15,-28.1287,0.830793,2715.37,235.783,-27.0148,-1.11386,0.918359,-0.0875651,5815.64,-2864.49,-29.2637,1.13499,0.597878,0.232915
113,3221.96,-31.7919,0.924375,3000.51,221.45,-33.2889,1.49692,1.04966,-0.125283,6391.58,-3169.62,-36.631,4.83901,0.726483,0.197892
122,3382.73,-35.701,1.11192,3295.86,86.8718,-39.0878,3.38686,1.15313,-0.0412135,6976.53,-3593.81,-44.25,8.54905,0.855279,0.256639
131,3592.1,-41.5613,1.10666,3596.34,-4.23861,-44.0079,2.44665,1.21983,-0.113171,7567.15,-3975.05,-51.8368,10.2756,0.978157,0.128501
140,4229.84,-43.6625,1.09668,3895.86,333.976,-47.6665,4.00395,1.2437,-0.147013,8160,-3930.16,-59.1024,15.4398,1.08985,0.00683252
149,4251.39,-45.0365,1.00578,4186.97,64.4176,-49.7192,4.68271,1.22271,-0.216932,8753.25,-4501.86,-65.7309,20.6943,1.18381,-0.178025
158,4778.71,-49.241,1.07943,4460.28,318.424,-49.8702,0.629245,1.15925,-0.0798233,9343.09,-4564.38,-71.4189,22.1779,1.25604,-0.176612
167,4844.8,-45.9645,0.855441,4709.33,135.469,-47.9256,1.96109,1.06025,-0.204812,9925.23,-5080.43,-75.8298,29.8653,1.30227,-0.446825
176,5120.63,-43.3901,0.96559,4927.03,193.596,-43.7812,0.391099,0.937412,0.0281774,10493.6,-5372.95,-78.6696,35.2795,1.32126,-0.355666
185,5373.97,-30.3906,0.835251,5107.3,266.669,-37.4334,7.04283,0.806933,0.0283177,11042.9,-5668.9,-79.7007,49.3101,1.31435,-0.479101
194,5542.7,-18.1436,0.793541,5244.72,297.983,-28.9833,10.8397,0.688568,0.104973,11568,-6025.32,-78.6645,60.521,1.28088,-0.487336
203,5446.22,-7.21464,0.694054,5334.88,111.339,-18.6329,11.4182,0.604943,0.0891112,12064.9,-6618.63,-75.3803,68.1656,1.22213,-0.52808
212,5636.34,2.53847,0.877642,5373.83,262.507,-6.66976,9.20823,0.579531,0.298111,12527.3,-6890.93,-69.7147,72.2532,1.14656,-0.268914
221,5816.48,17.9047,0.874199,5361.44,455.041,6.5393,11.3654,0.634678,0.239521,12949.4,-7132.88,-61.5553,79.46,1.07119,-0.196989
230,5684.66,26.6053,1.23818,5297.89,386.767,20.5602,6.04508,0.7913,0.446882,13325.2,-7640.59,-50.8518,77.4571,1.01248,0.225704
239,5776.16,46.2991,1.78071,5184.74,591.417,34.9073,11.3918,1.06729,0.713418,13650.4,-7874.26,-37.6055,83.9046,0.983861,0.796851
248,5435.47,50.6637,2.10983,5024.92,410.547,49.0577,1.60608,1.47609,0.633748,13921.7,-8486.24,-21.8548,72.5185,0.994294,1.11554
257,5228,71.5358,3.13386,4822.7,405.295,62.4789,9.05688,2.02523,1.10863,14137.1,-8909.1,-3.68153,75.2173,1.05041,2.08345
266,5090.29,86.4306,3.86066,4583.28,507.016,74.6786,11.7519,2.7163,1.14436,14293.7,-9203.42,16.6057,69.8249,1.18099,2.67967
275,5096.49,106.963,5.31265,4313.72,782.768,85.2264,21.7363,3.54362,1.76903,14389.7,-9293.19,38.6328,68.3299,1.42096,3.89169
284,4546.18,102.707,5.82483,4021.13,525.052,93.7326,8.97398,4.49277,1.33206,14423.2,-9877,62.0656,40.6411,1.79661,4.02822
293,4371.25,117.073,8.21385,3713.63,657.622,99.8826,17.19,5.54066,2.6732,14393.4,-10022.1,86.645,30.4277,2.32554,5.88831
302,3935.72,117.089,9.31107,3399.23,536.488,103.429,13.66,6.65498,2.65609,14299.4,-10363.7,112.178,4.91118,3.01618,6.29489
311,3649.99,119.046,10.9594,3086,563.986,104.246,14.8001,7.80058,3.15884,14142.3,-10492.3,138.375,-19.3289,3.87797,7.08145
320,3411.94,112.762,12.6384,2781.18,630.764,102.313,10.4494,8.94348,3.69497,13925.9,-10513.9,164.596,-51.8334,4.92973,7.70872
329,3173.93,117.149,15.1816,2491.45,682.481,97.7145,19.4345,10.0452,5.1364,13654.1,-10480.2,190.248,-73.0986,6.18674,8.99481
338,2842.13,105.901,16.0657,2222.91,619.22,90.6466,15.2539,11.0639,5.00178,13330.3,-10488.2,214.849,-108.949,7.66112,8.40456
347,2498.24,86.2064,16.2208,1980.88,517.359,81.423,4.78346,11.9576,4.26322,12957,-10458.8,238.037,-151.83,9.36451,6.85628
356,2358.31,79.8487,18.6902,1769.31,588.996,70.4132,9.43548,12.6838,6.00643,12535.9,-10177.6,259.493,-179.644,11.3052,7.38499
365,2186.33,61.0311,18.5056,1591.47,594.857,58.0616,2.96946,13.2149,5.29075,12073.4,-9887.04,278.865,-217.834,13.4697,5.03592
374,2038.68,46.4875,21.0827,1448.75,589.923,44.7996,1.68782,13.5278,7.55491,11577.7,-9539,295.716,-249.229,15.8255,5.25719
383,1891.76,31.557,21.4257,1341.44,550.316,31.1261,0.430886,13.6101,7.81553,11055.9,-9164.18,309.675,-278.118,18.3504,3.07525
392,1787.59,19.7448,22.3593,1268.69,518.895,17.5528,2.19196,13.4581,8.90114,10514.2,-8726.58,320.384,-300.639,21.0308,1.32845
401,1734.58,-0.544681,21.1747,1228.33,506.248,4.61662,-5.16131,13.0837,8.09102,9957.05,-8222.47,327.51,-328.055,23.8688,-2.69412
410,1738.05,-21.8916,21.0336,1217.61,520.442,-7.19706,-14.6945,12.5033,8.53033,9389.68,-7651.62,330.818,-352.71,26.8522,-5.81861
419,1731.61,-35.0666,19.2941,1233.03,498.578,-17.5125,-17.5541,11.7406,7.5535,8819.25,-7087.64,330.389,-365.456,29.9219,-10.6278
428,1770.01,-48.4463,19.1288,1270.73,499.283,-26.0281,-22.4182,10.8276,8.30119,8253.13,-6483.11,326.306,-374.752,33.0173,-13.8885
437,1770.68,-61.9365,19.3346,1325.89,444.792,-32.5291,-29.4074,9.8126,9.52198,7697.7,-5927.02,318.565,-380.501,36.0942,-16.7596
446,1856.79,-62.1436,17.3252,1393.54,463.251,-36.8803,-25.2633,8.75256,8.57262,7159.22,-5302.43,307.083,-369.226,39.1171,-21.7919
455,2045.9,-74.4981,15.4382,1468.1,577.803,-39.0439,-35.4542,7.71286,7.72533,6643.19,-4597.29,291.705,-366.203,42.0588,-26.6206
464,2224.7,-80.0589,14.5813,1544.81,679.893,-39.0505,-41.0084,6.74928,7.83204,6153.83,-3929.13,272.677,-352.736,44.8798,-30.2985
473,2178.24,-75.3658,11.5893,1619.97,558.274,-37.0488,-38.317,5.91184,5.67742,5694.6,-3516.36,250.529,-325.895,47.5332,-35.9439
482,2323.36,-71.9894,11.4556,1689.71,633.645,-33.2687,-38.7208,5.25019,6.20538,5268.71,-2945.35,225.724,-297.714,49.9711,-38.5156
491,2418.7,-71.1199,10.3049,1750.91,667.792,-28.0539,-43.066,4.81404,5.49087,4880.12,-2461.42,198.612,-269.732,52.1461,-41.8412
500,2447.25,-59.624,8.30294,1800.9,646.357,-21.8439,-37.7801,4.64841,3.65453,4533.25,-2086,169.447,-229.071,54.0059,-45.7029
509,2577.77,-47.175,8.22746,1837.52,740.252,-15.12,-32.055,4.7901,3.43736,4231.62,-1653.85,138.487,-185.662,55.5058,-47.2783
518,2558.51,-42.4169,7.35097,1860.17,698.348,-8.28285,-34.1341,5.2567,2.09426,3974.63,-1416.12,106.267,-148.684,56.6454,-49.2944
