ell,Dl_obs,Dl_te_obs,Dl_ee_obs,Dl_lcdm_tt,residual_lcdm_tt,Dl_lcdm_te,residual_lcdm_te,Dl_lcdm_ee,residual_lcdm_ee,Dl_USMFv2_tt,residual_USMFv2_tt,Dl_USMFv2_te,residual_USMFv2_te,Dl_USMFv2_ee,residual_USMFv2_ee
32,1097.01,1.51224,0.0643557,1168.29,-71.2796,2.10034,-0.588104,0.0339875,0.0303682,586.528,510.483,1.12258,0.389657,0.014676,0.0496797
37,1180.26,3.11711,0.0649424,1274.63,-94.366,1.99339,1.12371,0.0560323,0.00891005,648.715,531.549,1.16432,1.95278,0.0244816,0.0404607
42,1426.97,0.820244,0.0699042,1388.03,38.9441,1.58397,-0.763723,0.0860935,-0.0161893,714.554,712.417,1.07608,-0.255833,0.0380556,0.0318486
47,1364.66,1.07013,0.141281,1508.02,-143.358,0.821505,0.248624,0.125072,0.0162083,783.984,580.675,0.841627,0.228502,0.0560172,0.0852634
52,1329.06,1.08312,0.146964,1634.73,-305.668,-0.344799,1.42792,0.173555,-0.026591,856.903,472.158,0.422811,0.660307,0.0787655,0.0681985
57,1607.2,-3.82399,0.193005,1768.06,-160.862,-1.92469,-1.89931,0.231938,-0.0389331,933.195,674.002,-0.181644,-3.64235,0.10679,0.0862147
62,1663.41,-4.29778,0.296409,1909.19,-245.775,-3.9359,-0.361876,0.300214,-0.00380535,1013.8,649.616,-1.00308,-3.2947,0.140316,0.156093
67,1838.4,-2.04066,0.331388,2058.14,-219.734,-6.37946,4.33879,0.378043,-0.0466546,1098.21,740.192,-2.0431,0.00244095,0.179535,0.151853
72,1974.24,-8.54866,0.356963,2214.67,-240.427,-9.24545,0.696791,0.464679,-0.107716,1186.36,787.881,-3.30523,-5.24343,0.224441,0.132522
77,1765.67,-7.23417,0.448396,2380.08,-614.411,-12.519,5.28485,0.559176,-0.11078,1279.55,486.121,-4.8045,-2.42967,0.274984,0.173412
82,2168.04,-9.89267,0.522364,2553.26,-385.218,-16.1525,6.25988,0.660123,-0.137759,1376.33,791.707,-6.52374,-3.36893,0.330871,0.191493
87,2330.99,-12.7208,0.489592,2735.55,-404.56,-20.1156,7.39474,0.765879,-0.276287,1478.09,852.907,-8.47155,-4.24927,0.391761,0.097831
92,2446.65,-19.2047,0.789127,2925.25,-478.598,-24.3407,5.13599,0.874585,-0.0854583,1583.86,862.789,-10.628,-8.57674,0.457174,0.331953
97,2484.46,-19.0476,0.57472,3122.44,-637.986,-28.7736,9.72604,0.984168,-0.409448,1693.91,790.551,-12.9792,-6.06842,0.526473,0.0482474
104,2951.15,-28.1287,0.830793,3410.31,-459.16,-35.2029,7.07425,1.13475,-0.303959,1855.57,1095.59,-16.5729,-11.5558,0.628504,0.202289
113,3221.96,-31.7919,0.924375,3796.12,-574.159,-43.5412,11.7493,1.31443,-0.390058,2074.63,1147.33,-21.6167,-10.1752,0.765108,0.159266
122,3382.73,-35.701,1.11192,4193.27,-810.537,-51.5247,15.8237,1.46661,-0.354696,2303.76,1078.97,-26.9837,-8.71724,0.902747,0.20917
131,3592.1,-41.5613,1.10666,4595.75,-1003.65,-58.6947,17.1335,1.5797,-0.473041,2541.17,1050.93,-32.5102,-9.05107,1.03544,0.0712156
140,4229.84,-43.6625,1.09668,4996.22,-766.381,-64.6064,20.9438,1.64469,-0.548005,2784.42,1445.42,-38.0294,-5.6331,1.15806,-0.0613776
149,4251.39,-45.0365,1.00578,5384.75,-1133.36,-68.8327,23.7961,1.65588,-0.6501,3030.65,1220.74,-43.3474,-1.68914,1.26418,-0.258396
158,4778.71,-49.241,1.07943,5749.46,-970.755,-70.9947,21.7537,1.61186,-0.532431,3275.01,1503.7,-48.2852,-0.955743,1.34983,-0.2704
167,4844.8,-45.9645,0.855441,6082.3,-1237.5,-70.8336,24.8691,1.51587,-0.660425,3514.24,1330.55,-52.6465,6.68196,1.41016,-0.554718
176,5120.63,-43.3901,0.96559,6374.93,-1254.3,-68.1863,24.7963,1.37594,-0.410346,3744.06,1376.56,-56.2826,12.8925,1.44317,-0.47758
185,5373.97,-30.3906,0.835251,6619.91,-1245.94,-62.9918,32.6012,1.20452,-0.369271,3960.94,1413.03,-59.1014,28.7107,1.44917,-0.613915
194,5542.7,-18.1436,0.793541,6810.31,-1267.61,-55.2968,37.1532,1.01737,-0.223831,4161.35,1381.35,-60.9879,42.8443,1.42568,-0.632143
203,5446.22,-7.21464,0.694054,6940.16,-1493.94,-45.2502,38.0356,0.833085,-0.139031,4342.67,1103.55,-61.9048,54.6901,1.37206,-0.678004
212,5636.34,2.53847,0.877642,7004.53,-1368.19,-33.1054,35.6439,0.672434,0.205208,4500.95,1135.39,-61.8291,64.3675,1.29189,-0.414252
221,5816.48,17.9047,0.874199,7003.17,-1186.69,-19.2243,37.129,0.557124,0.317075,4633.33,1183.15,-60.7082,78.6129,1.19298,-0.318779
230,5684.66,26.6053,1.23818,6936.26,-1251.6,-4.03871,30.644,0.507609,0.730573,4737.06,947.593,-58.5474,85.1526,1.08212,0.156064
239,5776.16,46.2991,1.78071,6805.32,-1029.16,11.9679,34.3312,0.541323,1.23939,4810.75,965.403,-55.4033,101.702,0.96311,0.817603
248,5435.47,50.6637,2.10983,6613.26,-1177.79,28.275,22.3887,0.671226,1.43861,4854.38,581.082,-51.3701,102.034,0.83527,1.27456
257,5228,71.5358,3.13386,6364.41,-1136.42,44.3472,27.1885,0.90496,2.2289,4869.03,358.964,-46.5681,118.104,0.694917,2.43895
266,5090.29,86.4306,3.86066,6064.8,-974.512,59.6481,26.7825,1.2485,2.61216,4854.74,235.556,-41.2124,127.643,0.555102,3.30556
275,5096.49,106.963,5.31265,5722.69,-626.206,73.6835,33.2792,1.70263,3.61001,4812.48,284.008,-35.5202,142.483,0.432469,4.88018
284,4546.18,102.707,5.82483,5346.37,-800.189,85.9998,16.7068,2.25944,3.56539,4743.27,-197.085,-29.6683,132.375,0.334999,5.48983
293,4371.25,117.073,8.21385,4945.14,-573.895,96.2187,20.854,2.90229,5.31156,4649.12,-277.873,-23.7586,140.831,0.26198,7.95187
302,3935.72,117.089,9.31107,4528.22,-592.506,104.029,13.0603,3.60539,5.70568,4531.97,-596.258,-17.8262,134.916,0.203543,9.10752
