name,redshift,observable_type,value,error,rs_fiducial_Mpc,pred_lcdm,chi2_contrib_lcdm,pred_USMFv2,chi2_contrib_USMFv2
6dFGS z=0.106,0.106,DV_over_rs,2.976,0.133,,2.9419,0.0657312,1.28781,161.117
SDSS MGS z=0.15,0.15,DV_over_rs,4.48,0.168,,4.10724,4.92299,1.77512,259.226
BOSS DR12 Consensus z=0.38,0.38,DV_over_rs,9.1758,0.1453,,9.64307,10.3422,3.97299,1282.17
BOSS DR12 Consensus z=0.51,0.51,DV_over_rs,12.3631,0.1341,,12.3629,2.50803e-06,5.01237,3004.71
BOSS DR12 Consensus z=0.61,0.61,DV_over_rs,14.3097,0.1345,,14.2648,0.111515,5.73525,4064.14
WiggleZ z=0.44,0.44,DV_over_rs,11.54,0.56,,10.9341,1.17058,4.46799,159.481
WiggleZ z=0.60,0.6,DV_over_rs,14.94,0.68,,14.0817,1.59303,5.66563,186.016
WiggleZ z=0.73,0.73,DV_over_rs,16.92,0.58,,16.3437,0.987347,6.52901,320.965
eBOSS DR14 Quasar z=1.52,1.52,DV_over_rs,25.94,1.14,,25.8057,0.0138733,10.4195,185.354
eBOSS DR16 Quasar z=1.48 (DM/rs),1.48,DM_over_rs,30.35,0.84,,29.4345,1.1879,11.8045,487.439
eBOSS DR16 Quasar z=1.48 (DH/rs),1.48,DH_over_rs,13.26,0.53,,12.871,0.538655,5.24065,228.942
eBOSS DR16 Lyman-alpha Combined z=2.334 (DM/rs),2.334,DM_over_rs,37.5,1.1,,38.4367,0.7252,15.6504,394.549
eBOSS DR16 Lyman-alpha Combined z=2.334 (DH/rs),2.334,DH_over_rs,8.88,0.19,,8.63748,1.62928,3.89827,687.47
SDSS DR7 LRG z=0.35,0.35,DV_over_rs,8.88,0.17,,8.97409,0.306343,3.71476,923.175
SDSS DR7 LRG z=0.2,0.2,DV_over_rs,5.249,0.168,,5.39043,0.708731,2.29974,308.182
BOSS DR11 LOWZ z=0.32,0.32,DV_over_rs,8.473,0.167,149.28,8.28929,1.21017,3.44886,905.089
BOSS DR11 CMASS z=0.57,0.57,DV_over_rs,13.778,0.134,149.28,13.5232,3.61603,5.45333,3859.44
BOSS DR11 Quasar-Lyα Cross z=2.36 (DM/rs),2.36,DM_over_rs,10.8,0.4,,38.6601,4851.16,15.7514,153.226
BOSS DR11 Quasar-Lyα Cross z=2.36 (DH/rs),2.36,DH_over_rs,9,0.3,,8.5439,2.31141,3.8681,292.627
eBOSS DR14 Quasar-Lyα Cross z=2.35 (DM/rs),2.35,DM_over_rs,36.3,1.8,,38.5745,1.59669,15.7126,130.815
eBOSS DR14 Quasar-Lyα Cross z=2.35 (DH/rs),2.35,DH_over_rs,9.2,0.36,,8.5797,2.9689,3.87965,218.412
eBOSS DR14 Lyα Auto z=2.34 (DM/rs),2.34,DM_over_rs,37.41,1.86,,38.4885,0.336216,15.6738,136.566
eBOSS DR14 Lyα Auto z=2.34 (DH/rs),2.34,DH_over_rs,8.86,0.29,,8.61574,0.709426,3.89126,293.559
eBOSS DR16 ELG z=0.845,0.845,DV_over_rs,18.23,0.58,,18.1444,0.0217674,7.22523,360.003
DES Y1 Angular BAO z=0.81,0.81,DM_over_rs,10.65,0.49,,19.0405,293.21,7.71136,35.9667
