Name,zcmb,mu_obs,e_mu_obs,mu_model_lcdm,residual_lcdm,mu_model_USMFv2,residual_USMFv2
sn1999ac,0.01006,33.076313,0.174566,33.154146,-0.077833351,33.277178,-0.20086517
sn2004s,0.010291,33.121922,0.173593,33.203835,-0.081912481,33.326721,-0.20479855
sn1997do,0.01055,33.243687,0.17309,33.25825,-0.014563135,33.380977,-0.13729052
sn2002dp,0.010888,33.394833,0.169021,33.3273,0.067533045,33.449816,-0.054982676
sn2006bh,0.011184,33.418357,0.166533,33.386046,0.032310902,33.508377,-0.090019915
sn2005al,0.012317,34.043068,0.16145,33.597503,0.4455653,33.719133,0.32393571
sn2001ep,0.013324,33.655632,0.158624,33.769851,-0.11421988,33.890856,-0.23522412
sn1999dq,0.013533,33.4709,0.158393,33.804002,-0.33310187,33.924878,-0.45397752
sn2002ha,0.013652,33.839835,0.157774,33.823214,0.016621021,33.944017,-0.10418153
sn2001bt,0.014151,33.705787,0.157186,33.90201,-0.19622262,34.022503,-0.31671596
sn1997e,0.014256,33.855479,0.1564,33.918239,-0.062760221,34.038667,-0.18318811
sn1992al,0.014411,33.837916,0.156643,33.941983,-0.10406663,34.062316,-0.22439964
sn1999dk,0.01444,33.737233,0.157099,33.946398,-0.2091643,34.066713,-0.32947979
sn2005bo,0.014467,33.887535,0.154784,33.9505,-0.062964836,34.070799,-0.18326407
sn2001fe,0.014575,34.021211,0.155333,33.966832,0.0543791,34.087063,-0.065852543
sn2006n,0.0147,34.085762,0.155008,33.985585,0.10017677,34.105739,-0.019976992
sn2005kc,0.01496,33.980505,0.153548,34.024096,-0.043590636,34.144091,-0.16358539
sn2005el,0.015154,34.106559,0.153758,34.0524,0.054158981,34.172274,-0.065714729
sn2004eo,0.015469,33.821144,0.153515,34.097605,-0.27646163,34.217285,-0.39614171
sn2001en,0.015482,33.99586,0.154168,34.099451,-0.10359081,34.219123,-0.22326276
sn2001cn,0.015487,33.856674,0.153742,34.100161,-0.24348622,34.21983,-0.36315505
sn2001bf,0.015504,33.940834,0.153374,34.102572,-0.16173753,34.22223,-0.28139577
sn2001cz,0.015554,33.994274,0.153417,34.109647,-0.11537282,34.229274,-0.23500002
sn1999aa,0.015573,34.202002,0.153276,34.11233,0.08967224,34.231946,-0.029943227
sn1994s,0.015664,34.062095,0.154751,34.125135,-0.063040271,34.244695,-0.18259991
sn2004ey,0.015678,34.159785,0.151905,34.127099,0.032686009,34.24665,-0.086865095
sn2001v,0.015791,33.855547,0.152742,34.142885,-0.28733813,34.262368,-0.40682092
sn2006td,0.015999,34.303185,0.153171,34.171649,0.13153599,34.291003,0.012182856
sn1996bv,0.016966,34.007209,0.153258,34.300708,-0.29349853,34.419466,-0.41225705
sn2006ax,0.017387,34.395547,0.148936,34.35464,0.040906791,34.47314,-0.077593076
sn1998v,0.01745,34.146628,0.150702,34.3626,-0.21597181,34.481062,-0.33443333
sn2000dk,0.017483,34.199729,0.150122,34.366758,-0.16702904,34.4852,-0.28547059
sn1998ef,0.017672,33.973923,0.150611,34.390424,-0.41650148,34.508749,-0.53482675
sn2007ci,0.018599,34.476068,0.149282,34.502997,-0.026929283,34.620754,-0.14468594
sn1992bo,0.018902,34.68293,0.149087,34.538596,0.14433389,34.656169,0.026761679
sn2002kf,0.019581,34.742169,0.147459,34.616368,0.12580187,34.733523,0.0086462095
sn2006ej,0.02039,34.748902,0.147727,34.705632,0.043269651,34.822293,-0.073391747
sn2005ki,0.020396,34.69654,0.145393,34.706281,-0.0097407177,34.822939,-0.12639845
sn1992bc,0.020792,34.611741,0.14683,34.748699,-0.13695768,34.865115,-0.25337387
sn2003w,0.020997,34.619272,0.145587,34.770346,-0.15107446,34.886638,-0.2673661
sn2002jy,0.021541,35.043998,0.145405,34.826798,0.21719991,34.942758,0.10123934
sn2007bc,0.021706,34.823241,0.146331,34.843642,-0.020400558,34.959501,-0.13625965
sn2006bq,0.021956,34.890393,0.145024,34.868927,0.021466172,34.984635,-0.094241967
sn2008bf,0.022068,34.948236,0.144685,34.880162,0.0680746,34.995801,-0.047564424
sn1995ak,0.022399,34.68654,0.149213,34.913042,-0.22650239,35.028481,-0.34194097
sn2006et,0.022466,34.775523,0.145994,34.919639,-0.14411558,35.035036,-0.2595128
sn2006mp,0.022629,35.162767,0.145184,34.935608,0.22715933,35.050906,0.11186174
sn2006ar,0.02298,35.101878,0.145076,34.969616,0.13226224,35.0847,0.017177803
sn2006cp,0.023321,34.824838,0.144025,35.00217,-0.17733193,35.117048,-0.2922099
sn2000ca,0.02336,34.999952,0.144317,35.005863,-0.0059108194,35.120717,-0.12076483
sn2006ac,0.023471,35.012156,0.143695,35.016341,-0.0041847861,35.131127,-0.11897102
sn2000cn,0.023552,34.97956,0.144309,35.023957,-0.044396966,35.138694,-0.15913415
sn2007f,0.02381,35.204577,0.144315,35.048044,0.15653253,35.162625,0.041951603
sn2007qe,0.023867,35.063685,0.14435,35.053331,0.010353765,35.167877,-0.10419235
sn1993h,0.023909,35.098082,0.145547,35.057218,0.040863181,35.171739,-0.073657387
sn2006sr,0.024159,35.023661,0.14338,35.080223,-0.056561335,35.194593,-0.1709314
sn2005bg,0.024586,35.073339,0.142334,35.118977,-0.045638028,35.233088,-0.15974954
sn2002he,0.024725,35.193717,0.145176,35.131449,0.062268112,35.245475,-0.051758253
