name,redshift,observable_type,value,error,rs_fiducial_Mpc,pred_lcdm,chi2_contrib_lcdm,pred_CPCfRGravityCosmology,chi2_contrib_CPCfRGravityCosmology
6dFGS z=0.106,0.106,DV_over_rs,2.976,0.133,,2.87021,0.632685,3.08665,0.692138
SDSS MGS z=0.15,0.15,DV_over_rs,4.48,0.168,,4.00726,7.91824,4.30963,1.0284
BOSS DR12 Consensus z=0.38,0.38,DV_over_rs,9.1758,0.1453,,9.40954,2.58792,10.1175,42.0077
BOSS DR12 Consensus z=0.51,0.51,DV_over_rs,12.3631,0.1341,,12.0643,4.96521,12.9679,20.3403
BOSS DR12 Consensus z=0.61,0.61,DV_over_rs,14.3097,0.1345,,13.9209,8.35634,14.9591,23.3131
WiggleZ z=0.44,0.44,DV_over_rs,11.54,0.56,,10.6697,2.41549,11.4709,0.0152193
WiggleZ z=0.60,0.6,DV_over_rs,14.94,0.68,,13.7422,3.10279,14.7675,0.0643163
WiggleZ z=0.73,0.73,DV_over_rs,16.92,0.58,,15.9505,2.79419,17.1335,0.135443
eBOSS DR14 Quasar z=1.52,1.52,DV_over_rs,25.94,1.14,,25.1903,0.432429,26.9961,0.858217
eBOSS DR16 Quasar z=1.48 (DM/rs),1.48,DM_over_rs,30.35,0.84,,28.7287,3.72549,30.832,0.32932
eBOSS DR16 Quasar z=1.48 (DH/rs),1.48,DH_over_rs,13.26,0.53,,12.5672,1.70863,13.4335,0.107157
eBOSS DR16 Lyman-alpha Combined z=2.334 (DM/rs),2.334,DM_over_rs,37.5,1.1,,37.519,0.000299078,40.2174,6.10267
eBOSS DR16 Lyman-alpha Combined z=2.334 (DH/rs),2.334,DH_over_rs,8.88,0.19,,8.4346,5.49539,8.99622,0.374126
SDSS DR7 LRG z=0.35,0.35,DV_over_rs,8.88,0.17,,8.75662,0.526713,9.41603,9.94218
SDSS DR7 LRG z=0.2,0.2,DV_over_rs,5.249,0.168,,5.25936,0.00380467,5.65628,5.87728
BOSS DR11 LOWZ z=0.32,0.32,DV_over_rs,8.473,0.167,149.28,8.08828,5.30709,8.69779,1.8119
BOSS DR11 CMASS z=0.57,0.57,DV_over_rs,13.778,0.134,149.28,13.1969,18.8034,14.1829,9.13041
BOSS DR11 Quasar-Lyα Cross z=2.36 (DM/rs),2.36,DM_over_rs,10.8,0.4,,37.7371,4535.06,40.45,5494.52
BOSS DR11 Quasar-Lyα Cross z=2.36 (DH/rs),2.36,DH_over_rs,9,0.3,,8.34324,4.79266,8.89838,0.114748
eBOSS DR14 Quasar-Lyα Cross z=2.35 (DM/rs),2.35,DM_over_rs,36.3,1.8,,37.6535,0.565441,40.3608,5.08966
eBOSS DR14 Quasar-Lyα Cross z=2.35 (DH/rs),2.35,DH_over_rs,9.2,0.36,,8.37819,5.2112,8.93581,0.538564
eBOSS DR14 Lyα Auto z=2.34 (DM/rs),2.34,DM_over_rs,37.41,1.86,,37.5696,0.00735972,40.2713,2.36647
eBOSS DR14 Lyα Auto z=2.34 (DH/rs),2.34,DH_over_rs,8.86,0.29,,8.41337,2.37187,8.97349,0.153142
eBOSS DR16 ELG z=0.845,0.845,DV_over_rs,18.23,0.58,,17.7087,0.807913,19.0148,1.83105
DES Y1 Angular BAO z=0.81,0.81,DM_over_rs,10.65,0.49,,18.5811,261.983,19.9677,361.594
