ell,Dl_obs,Dl_te_obs,Dl_ee_obs,Dl_lcdm_tt,residual_lcdm_tt,Dl_lcdm_te,residual_lcdm_te,Dl_lcdm_ee,residual_lcdm_ee,Dl_CPCfRGravityCosmology,residual_CPCfRGravityCosmology,Dl_CPCfRGravityCosmology_tt,residual_CPCfRGravityCosmology_tt,Dl_CPCfRGravityCosmology_te,residual_CPCfRGravityCosmology_te,Dl_CPCfRGravityCosmology_ee,residual_CPCfRGravityCosmology_ee
32,1097.01,1.51224,0.0643557,1120.57,-23.5589,1.89273,-0.38049,0.0269977,0.037358,,,,,,,,
37,1180.26,3.11711,0.0649424,1214.36,-34.0972,1.82053,1.29657,0.0443773,0.0205651,,,,,,,,
42,1426.97,0.820244,0.0699042,1314.54,112.43,1.49626,-0.676013,0.0679457,0.00195852,,,,,,,,
47,1364.66,1.07013,0.141281,1419.55,-54.8916,0.888861,0.181267,0.0984112,0.0428693,,,,,,,,
52,1329.06,1.08312,0.146964,1529.96,-200.899,-0.0617907,1.14491,0.136192,0.0107722,,,,,,,,
57,1607.2,-3.82399,0.193005,1645.39,-38.1912,-1.33301,-2.49099,0.181512,0.0114927,,,,,,,,
62,1663.41,-4.29778,0.296409,1766.92,-103.507,-2.96519,-1.33259,0.23425,0.0621582,,,,,,,,
67,1838.4,-2.04066,0.331388,1894.22,-55.8126,-4.93725,2.89659,0.294012,0.0373763,,,,,,,,
72,1974.24,-8.54866,0.356963,2027.2,-52.956,-7.23481,-1.31386,0.360188,-0.00322431,,,,,,,,
77,1765.67,-7.23417,0.448396,2167.35,-401.684,-9.85205,2.61788,0.431882,0.016514,,,,,,,,
82,2168.04,-9.89267,0.522364,2314,-145.966,-12.7425,2.84984,0.50781,0.0145539,,,,,,,,
87,2330.99,-12.7208,0.489592,2467.25,-136.255,-15.8638,3.143,0.586593,-0.0970016,,,,,,,,
92,2446.65,-19.2047,0.789127,2625.95,-179.298,-19.1628,-0.0418505,0.666701,0.122425,,,,,,,,
97,2484.46,-19.0476,0.57472,2790.35,-305.89,-22.5889,3.54129,0.74639,-0.17167,,,,,,,,
104,2951.15,-28.1287,0.830793,3030.21,-79.0515,-27.4919,-0.636763,0.853806,-0.0230123,,,,,,,,
113,3221.96,-31.7919,0.924375,3352.72,-130.761,-33.7102,1.9183,0.977593,-0.0532181,,,,,,,,
122,3382.73,-35.701,1.11192,3686.49,-303.761,-39.4454,3.74444,1.07615,0.0357645,,,,,,,,
131,3592.1,-41.5613,1.10666,4025.73,-433.629,-44.2802,2.71892,1.14113,-0.0344773,,,,,,,,
140,4229.84,-43.6625,1.09668,4364,-134.163,-47.82,4.15747,1.16698,-0.0702991,,,,,,,,
149,4251.39,-45.0365,1.00578,4694.78,-443.393,-49.7169,4.68038,1.15193,-0.14615,,,,,,,,
158,4778.71,-49.241,1.07943,5009.64,-230.935,-49.6695,0.428574,1.09859,-0.0191604,,,,,,,,
167,4844.8,-45.9645,0.855441,5301.9,-457.102,-47.4609,1.49641,1.01426,-0.15882,,,,,,,,
176,5120.63,-43.3901,0.96559,5563.86,-443.233,-42.9575,-0.432621,0.911053,0.0545365,,,,,,,,
185,5373.97,-30.3906,0.835251,5788.87,-414.894,-36.1248,5.73418,0.805668,0.0295827,,,,,,,,
194,5542.7,-18.1436,0.793541,5971.06,-428.363,-27.0287,8.88513,0.718612,0.0749288,,,,,,,,
203,5446.22,-7.21464,0.694054,6105.65,-659.432,-15.8358,8.6212,0.673335,0.0207195,,,,,,,,
212,5636.34,2.53847,0.877642,6188.02,-551.679,-2.81118,5.34965,0.695532,0.18211,,,,,,,,
