Name,zcmb,mu_obs,e_mu_obs,mu_model_lcdm,residual_lcdm,mu_model_CPCfRGravityCosmology,residual_CPCfRGravityCosmology
sn1999ac,0.01006,33.076313,0.174566,33.153525,-0.077212043,33.158051,-0.081737508
sn2004s,0.010291,33.121922,0.173593,33.203214,-0.081291397,33.20774,-0.085818138
sn1997do,0.01055,33.243687,0.17309,33.257629,-0.013942295,33.262157,-0.018470426
sn2002dp,0.010888,33.394833,0.169021,33.326679,0.068153559,33.331209,0.063623577
sn2006bh,0.011184,33.418357,0.166533,33.385426,0.032931132,33.389957,0.028399534
sn2005al,0.012317,34.043068,0.16145,33.596884,0.44618445,33.601422,0.44164674
sn2001ep,0.013324,33.655632,0.158624,33.769233,-0.1136017,33.773776,-0.11814484
sn1999dq,0.013533,33.4709,0.158393,33.803384,-0.33248388,33.807928,-0.33702813
sn2002ha,0.013652,33.839835,0.157774,33.822596,0.017238892,33.827141,0.012694008
sn2001bt,0.014151,33.705787,0.157186,33.901392,-0.19560523,33.90594,-0.20015279
sn1997e,0.014256,33.855479,0.1564,33.917622,-0.062142929,33.92217,-0.066691054
sn1992al,0.014411,33.837916,0.156643,33.941366,-0.10344949,33.945915,-0.10799843
sn1999dk,0.01444,33.737233,0.157099,33.94578,-0.20854719,33.95033,-0.21309628
sn2005bo,0.014467,33.887535,0.154784,33.949883,-0.062347744,33.954432,-0.06689698
sn2001fe,0.014575,34.021211,0.155333,33.966215,0.054996087,33.970764,0.050446268
sn2006n,0.0147,34.085762,0.155008,33.984969,0.10079364,33.989519,0.096243147
sn2005kc,0.01496,33.980505,0.153548,34.023479,-0.042974016,34.028031,-0.047525878
sn2005el,0.015154,34.106559,0.153758,34.051783,0.054775413,34.056336,0.050222509
sn2004eo,0.015469,33.821144,0.153515,34.096989,-0.2758455,34.101544,-0.28040007
sn2001en,0.015482,33.99586,0.154168,34.098835,-0.10297469,34.10339,-0.10752933
sn2001cn,0.015487,33.856674,0.153742,34.099545,-0.24287011,34.104099,-0.24742478
sn2001bf,0.015504,33.940834,0.153374,34.101955,-0.16112143,34.10651,-0.16567619
sn2001cz,0.015554,33.994274,0.153417,34.109031,-0.11475677,34.113586,-0.11931179
sn1999aa,0.015573,34.202002,0.153276,34.111714,0.090288271,34.116269,0.085733145
sn1994s,0.015664,34.062095,0.154751,34.124519,-0.062424327,34.129075,-0.066979932
sn2004ey,0.015678,34.159785,0.151905,34.126483,0.03330194,34.131039,0.028746261
sn2001v,0.015791,33.855547,0.152742,34.142269,-0.28672231,34.146825,-0.29127857
sn2006td,0.015999,34.303185,0.153171,34.171034,0.13215161,34.175591,0.12759423
sn1996bv,0.016966,34.007209,0.153258,34.300093,-0.29288383,34.304655,-0.2974463
sn2006ax,0.017387,34.395547,0.148936,34.354026,0.041521087,34.358591,0.036956401
sn1998v,0.01745,34.146628,0.150702,34.361986,-0.21535757,34.366551,-0.21992258
sn2000dk,0.017483,34.199729,0.150122,34.366144,-0.16641484,34.370709,-0.17098002
sn1998ef,0.017672,33.973923,0.150611,34.38981,-0.41588745,34.394376,-0.42045363
sn2007ci,0.018599,34.476068,0.149282,34.502384,-0.026316148,34.506955,-0.030887168
sn1992bo,0.018902,34.68293,0.149087,34.537984,0.14494674,34.542556,0.14037415
sn2002kf,0.019581,34.742169,0.147459,34.615755,0.12641406,34.620332,0.12183794
sn2006ej,0.02039,34.748902,0.147727,34.705021,0.043881072,34.709601,0.039300768
sn2005ki,0.020396,34.69654,0.145393,34.70567,-0.0091293025,34.71025,-0.013709638
sn1992bc,0.020792,34.611741,0.14683,34.748088,-0.13634664,34.75267,-0.14092902
sn2003w,0.020997,34.619272,0.145587,34.769736,-0.15046362,34.774319,-0.15504704
sn2002jy,0.021541,35.043998,0.145405,34.826187,0.21781023,34.830774,0.21322401
sn2007bc,0.021706,34.823241,0.146331,34.843032,-0.019790397,34.847619,-0.024377463
sn2006bq,0.021956,34.890393,0.145024,34.868317,0.022076096,34.872905,0.017487761
sn2008bf,0.022068,34.948236,0.144685,34.879552,0.068684415,34.884141,0.0640955
sn1995ak,0.022399,34.68654,0.149213,34.912433,-0.22589289,34.917023,-0.23048349
sn2006et,0.022466,34.775523,0.145994,34.91903,-0.14350615,34.92362,-0.14809709
sn2006mp,0.022629,35.162767,0.145184,34.934999,0.22776861,34.939591,0.22317683
sn2006ar,0.02298,35.101878,0.145076,34.969007,0.13287118,34.973601,0.12827762
sn2006cp,0.023321,34.824838,0.144025,35.001561,-0.17672331,35.006156,-0.1813186
sn2000ca,0.02336,34.999952,0.144317,35.005254,-0.0053022409,35.00985,-0.0098977318
