name,redshift,observable_type,value,error,rs_fiducial_Mpc,pred_lcdm,chi2_contrib_lcdm,pred_QuantumAttractorUnifiedCosmology,chi2_contrib_QuantumAttractorUnifiedCosmology
6dFGS z=0.106,0.106,DV_over_rs,2.976,0.133,,2.57828,8.94216,7.77071,1299.64
SDSS MGS z=0.15,0.15,DV_over_rs,4.48,0.168,,3.59957,27.4646,10.7258,1382.16
BOSS DR12 Consensus z=0.38,0.38,DV_over_rs,9.1758,0.1453,,8.45087,24.8923,25.1741,12123.2
BOSS DR12 Consensus z=0.51,0.51,DV_over_rs,12.3631,0.1341,,10.8342,129.98,32.4077,22342.8
BOSS DR12 Consensus z=0.61,0.61,DV_over_rs,14.3097,0.1345,,12.5008,180.872,37.5468,29848.2
WiggleZ z=0.44,0.44,DV_over_rs,11.54,0.56,,9.58222,12.2223,28.6015,928.239
WiggleZ z=0.60,0.6,DV_over_rs,14.94,0.68,,12.3404,14.6146,37.0487,1057.08
WiggleZ z=0.73,0.73,DV_over_rs,16.92,0.58,,14.3225,20.057,43.2321,2058.04
eBOSS DR14 Quasar z=1.52,1.52,DV_over_rs,25.94,1.14,,22.6131,8.51658,69.7797,1478.85
eBOSS DR16 Quasar z=1.48 (DM/rs),1.48,DM_over_rs,30.35,0.84,,25.7938,29.4202,78.532,3290.11
eBOSS DR16 Quasar z=1.48 (DH/rs),1.48,DH_over_rs,13.26,0.53,,11.2779,13.9855,35.6671,1787.4
eBOSS DR16 Lyman-alpha Combined z=2.334 (DM/rs),2.334,DM_over_rs,37.5,1.1,,33.6817,12.049,103.661,3617.61
eBOSS DR16 Lyman-alpha Combined z=2.334 (DH/rs),2.334,DH_over_rs,8.88,0.19,,7.56818,47.6697,24.2532,6546.66
SDSS DR7 LRG z=0.35,0.35,DV_over_rs,8.88,0.17,,7.86462,35.6743,23.3928,7287.95
SDSS DR7 LRG z=0.2,0.2,DV_over_rs,5.249,0.168,,4.72411,9.76141,13.9698,2694.59
BOSS DR11 LOWZ z=0.32,0.32,DV_over_rs,8.473,0.167,149.28,7.26451,52.3663,21.5663,6147.05
BOSS DR11 CMASS z=0.57,0.57,DV_over_rs,13.778,0.134,149.28,11.851,206.804,35.5329,26357.4
BOSS DR11 Quasar-Lyα Cross z=2.36 (DM/rs),2.36,DM_over_rs,10.8,0.4,,33.8774,3328.55,104.288,54625.5
BOSS DR11 Quasar-Lyα Cross z=2.36 (DH/rs),2.36,DH_over_rs,9,0.3,,7.48618,25.4627,23.9958,2498.6
eBOSS DR14 Quasar-Lyα Cross z=2.35 (DM/rs),2.35,DM_over_rs,36.3,1.8,,33.8024,1.9253,104.048,1416.6
eBOSS DR14 Quasar-Lyα Cross z=2.35 (DH/rs),2.35,DH_over_rs,9.2,0.36,,7.51755,21.8413,24.0943,1711.73
eBOSS DR14 Lyα Auto z=2.34 (DM/rs),2.34,DM_over_rs,37.41,1.86,,33.7271,3.92067,103.807,1274.28
eBOSS DR14 Lyα Auto z=2.34 (DH/rs),2.34,DH_over_rs,8.86,0.29,,7.54913,20.4326,24.1934,2795.64
eBOSS DR16 ELG z=0.845,0.845,DV_over_rs,18.23,0.58,,15.9003,16.1335,48.1948,2669.12
DES Y1 Angular BAO z=0.81,0.81,DM_over_rs,10.65,0.49,,16.686,151.743,50.0763,6474.1
