ell,Dl_obs,Dl_te_obs,Dl_ee_obs,Dl_lcdm_tt,residual_lcdm_tt,Dl_lcdm_te,residual_lcdm_te,Dl_lcdm_ee,residual_lcdm_ee,Dl_QuantumAttractorUnifiedCosmology_tt,residual_QuantumAttractorUnifiedCosmology_tt,Dl_QuantumAttractorUnifiedCosmology_te,residual_QuantumAttractorUnifiedCosmology_te,Dl_QuantumAttractorUnifiedCosmology_ee,residual_QuantumAttractorUnifiedCosmology_ee
32,1097.01,1.51224,0.0643557,1104,-6.99307,1.91876,-0.406523,0.0274056,0.0369501,1199.69,-102.674,1.73923,-0.226989,0.0261493,0.0382064
37,1180.26,3.11711,0.0649424,1192.88,-12.6125,1.86499,1.25212,0.0450048,0.0199375,1314.87,-134.605,1.62058,1.49653,0.0430778,0.0218646
42,1426.97,0.820244,0.0699042,1287.58,139.393,1.55179,-0.73155,0.0689306,0.000973601,1439.15,-12.1831,1.22121,-0.400969,0.0660751,0.00382905
47,1364.66,1.07013,0.141281,1386.52,-21.8608,0.955605,0.114524,0.0996546,0.041626,1570.31,-205.652,0.520806,0.549323,0.0959245,0.045356
52,1329.06,1.08312,0.146964,1490.47,-161.413,0.0224823,1.06064,0.137788,0.00917614,1708.89,-379.832,-0.530086,1.6132,0.133019,0.0139445
57,1607.2,-3.82399,0.193005,1599.01,8.18588,-1.23248,-2.59152,0.183396,0.00960878,1854.28,-247.087,-1.92353,-1.90046,0.177706,0.0152983
62,1663.41,-4.29778,0.296409,1713.28,-49.8634,-2.83506,-1.46272,0.236384,0.0600249,2007.28,-343.863,-3.69628,-0.601502,0.229969,0.0664394
67,1838.4,-2.04066,0.331388,1832.94,5.46183,-4.77646,2.73579,0.296265,0.0351234,2167.46,-329.053,-5.83583,3.79517,0.289576,0.0418123
72,1974.24,-8.54866,0.356963,1958,16.2386,-7.03331,-1.51535,0.36235,-0.00538639,2334.51,-360.264,-8.32531,-0.22335,0.35597,0.000992921
77,1765.67,-7.23417,0.448396,2089.98,-324.309,-9.59872,2.36456,0.433725,0.0146705,2509.9,-744.233,-11.1575,3.92336,0.428444,0.0199517
82,2168.04,-9.89267,0.522364,2228.11,-60.0752,-12.4284,2.53571,0.509012,0.0133517,2692.89,-524.855,-14.2947,4.40207,0.505876,0.0164879
87,2330.99,-12.7208,0.489592,2372.61,-41.6193,-15.4761,2.75531,0.586754,-0.097162,2883.25,-552.253,-17.697,4.97617,0.587021,-0.0974294
92,2446.65,-19.2047,0.789127,2522.39,-75.7415,-18.6862,-0.518517,0.66539,0.123737,3079.8,-633.15,-21.3111,2.10645,0.670495,0.118631
97,2484.46,-19.0476,0.57472,2677.65,-193.197,-22.0078,2.96025,0.743114,-0.168394,3282.75,-798.288,-25.0864,6.03885,0.754673,-0.179953
104,2951.15,-28.1287,0.830793,2904.39,46.7602,-26.7371,-1.3916,0.846913,-0.0161197,3577.66,-626.506,-30.5386,2.40992,0.870384,-0.039591
113,3221.96,-31.7919,0.924375,3209.57,12.3865,-32.6804,0.88845,0.964492,-0.0401173,3972.68,-750.718,-37.5723,5.78038,1.00852,-0.0841443
122,3382.73,-35.701,1.11192,3525.56,-142.831,-38.0799,2.37897,1.05521,0.0567037,4380.57,-997.837,-44.244,8.54303,1.12545,-0.0135296
131,3592.1,-41.5613,1.10666,3846.6,-254.497,-42.52,0.958786,1.11118,-0.00452413,4795.04,-1202.94,-50.119,8.55779,1.21203,-0.105375
140,4229.84,-43.6625,1.09668,4166.3,63.5392,-45.6107,1.94817,1.1275,-0.0308134,5209.23,-979.396,-54.7805,11.1179,1.26153,-0.164842
149,4251.39,-45.0365,1.00578,4478.27,-226.882,-47.016,1.9795,1.10355,-0.0977675,5616.39,-1365,-57.8468,12.8103,1.26996,-0.264174
158,4778.71,-49.241,1.07943,4774.23,4.47832,-46.4492,-2.79172,1.04325,0.0361822,6007.82,-1229.11,-58.9782,9.7372,1.23745,-0.158018
167,4844.8,-45.9645,0.855441,5047.65,-202.855,-43.7145,-2.25003,0.955508,-0.100067,6376.25,-1531.45,-57.9006,11.9361,1.16827,-0.312832
176,5120.63,-43.3901,0.96559,5291.02,-170.39,-38.7015,-4.68857,0.854163,0.111427,6713.25,-1592.63,-54.4171,11.027,1.07132,-0.10573
185,5373.97,-30.3906,0.835251,5497.86,-123.889,-31.4019,1.01128,0.757752,0.0774987,7011.41,-1637.44,-48.4249,18.0343,0.959859,-0.124608
194,5542.7,-18.1436,0.793541,5662.61,-119.91,-21.9148,3.77122,0.688948,0.104593,7263.97,-1721.27,-39.907,21.7634,0.850373,-0.0568324
203,5446.22,-7.21464,0.694054,5780.76,-334.537,-10.4415,3.22687,0.673411,0.0206427,7465.2,-2018.98,-28.9447,21.73,0.762218,-0.0681642
212,5636.34,2.53847,0.877642,5848.03,-211.687,2.72292,-0.18445,0.738156,0.139486,7609.43,-1973.09,-15.7307,18.2691,0.719102,0.15854
221,5816.48,17.9047,0.874199,5863.66,-47.1755,17.1907,0.71401,0.909857,-0.0356583,7694.22,-1877.74,-0.577642,18.4823,0.749043,0.125156
230,5684.66,26.6053,1.23818,5827.18,-142.519,32.5055,-5.90021,1.21383,0.0243535,7717.41,-2032.75,16.1309,10.4744,0.879099,0.359083
239,5776.16,46.2991,1.78071,5739.49,36.6702,48.1595,-1.86045,1.67236,0.108347,7678.19,-1902.03,33.96,12.3391,1.13331,0.647405
248,5435.47,50.6637,2.10983,5602.86,-167.395,63.6078,-12.9441,2.30329,-0.193453,7577.13,-2141.67,52.4373,-1.77357,1.53123,0.5786
257,5228,71.5358,3.13386,5420.94,-192.945,78.2925,-6.75677,3.11824,0.0156244,7416.27,-2188.27,71.0639,0.471912,2.0873,1.04656
266,5090.29,86.4306,3.86066,5198.49,-108.202,91.6707,-5.24012,4.1204,-0.259741,7199.36,-2109.07,89.2438,-2.81325,2.81571,1.04496
275,5096.49,106.963,5.31265,4942.27,154.217,103.249,3.71354,5.30453,0.00812143,6932.46,-1835.97,106.378,0.584675,3.72613,1.58651
284,4546.18,102.707,5.82483,4659.05,-112.866,112.576,-9.8689,6.65662,-0.831797,6621.64,-2075.46,121.908,-19.201,4.81957,1.00526
293,4371.25,117.073,8.21385,4356.62,14.6296,119.272,-2.1997,8.15402,0.0598312,6274.01,-1902.76,135.349,-18.2763,6.08829,2.12556
302,3935.72,117.089,9.31107,4042.68,-106.966,123.03,-5.94056,9.76482,-0.453757,5896.56,-1960.84,146.286,-29.1962,7.51537,1.79569
