Name,zcmb,mu_obs,e_mu_obs,mu_model_lcdm,residual_lcdm,mu_model_QuantumAttractorUnifiedCosmology,residual_QuantumAttractorUnifiedCosmology
sn1999ac,0.01006,33.076313,0.174566,33.154161,-0.077847728,33.140569,-0.064256212
sn2004s,0.010291,33.121922,0.173593,33.203849,-0.081926802,33.190533,-0.068611007
sn1997do,0.01055,33.243687,0.17309,33.258264,-0.014577395,33.245248,-0.0015613524
sn2002dp,0.010888,33.394833,0.169021,33.327314,0.067518867,33.314695,0.080137593
sn2006bh,0.011184,33.418357,0.166533,33.38606,0.032296795,33.373787,0.044570105
sn2005al,0.012317,34.043068,0.16145,33.597517,0.44555147,33.58654,0.45652839
sn2001ep,0.013324,33.655632,0.158624,33.769865,-0.11423348,33.760024,-0.10439262
sn1999dq,0.013533,33.4709,0.158393,33.804016,-0.33311541,33.794406,-0.32350607
sn2002ha,0.013652,33.839835,0.157774,33.823228,0.016607507,33.81375,0.026085579
sn2001bt,0.014151,33.705787,0.157186,33.902023,-0.19623602,33.893097,-0.1873099
sn1997e,0.014256,33.855479,0.1564,33.918252,-0.062773589,33.909442,-0.053963631
sn1992al,0.014411,33.837916,0.156643,33.941996,-0.10407996,33.933355,-0.095438377
sn1999dk,0.01444,33.737233,0.157099,33.946411,-0.20917763,33.9378,-0.20056714
sn2005bo,0.014467,33.887535,0.154784,33.950513,-0.062978155,33.941931,-0.05439651
sn2001fe,0.014575,34.021211,0.155333,33.966845,0.054365808,33.958382,0.062828205
sn2006n,0.0147,34.085762,0.155008,33.985599,0.10016351,33.977274,0.10848869
sn2005kc,0.01496,33.980505,0.153548,34.024109,-0.043603836,34.016064,-0.035558499
sn2005el,0.015154,34.106559,0.153758,34.052413,0.054145828,34.044579,0.061979463
sn2004eo,0.015469,33.821144,0.153515,34.097618,-0.27647471,34.090122,-0.26897886
sn2001en,0.015482,33.99586,0.154168,34.099464,-0.10360388,34.091982,-0.096122132
sn2001cn,0.015487,33.856674,0.153742,34.100174,-0.2434993,34.092697,-0.23602296
sn2001bf,0.015504,33.940834,0.153374,34.102585,-0.1617506,34.095127,-0.15429266
sn2001cz,0.015554,33.994274,0.153417,34.10966,-0.11538587,34.102256,-0.10798179
sn1999aa,0.015573,34.202002,0.153276,34.112343,0.089659188,34.104959,0.097042893
sn1994s,0.015664,34.062095,0.154751,34.125148,-0.063053301,34.117862,-0.055766503
sn2004ey,0.015678,34.159785,0.151905,34.127112,0.032672982,34.11984,0.039944971
sn2001v,0.015791,33.855547,0.152742,34.142898,-0.28735113,34.135744,-0.28019771
sn2006td,0.015999,34.303185,0.153171,34.171662,0.13152304,34.164732,0.13845298
sn1996bv,0.016966,34.007209,0.153258,34.30072,-0.29351125,34.294807,-0.28759753
sn2006ax,0.017387,34.395547,0.148936,34.354653,0.040894175,34.349176,0.04637123
sn1998v,0.01745,34.146628,0.150702,34.362613,-0.21598441,34.3572,-0.2105719
sn2000dk,0.017483,34.199729,0.150122,34.366771,-0.16704164,34.361392,-0.16166276
sn1998ef,0.017672,33.973923,0.150611,34.390437,-0.41651402,34.385252,-0.41132997
sn2007ci,0.018599,34.476068,0.149282,34.50301,-0.026941608,34.498769,-0.022701102
sn1992bo,0.018902,34.68293,0.149087,34.538609,0.14432164,34.534671,0.14825915
sn2002kf,0.019581,34.742169,0.147459,34.61638,0.12578978,34.613119,0.12905022
sn2006ej,0.02039,34.748902,0.147727,34.705644,0.043257757,34.703176,0.045725573
sn2005ki,0.020396,34.69654,0.145393,34.706293,-0.0097526105,34.703831,-0.0072906325
sn1992bc,0.020792,34.611741,0.14683,34.748711,-0.13696948,34.746632,-0.13489042
sn2003w,0.020997,34.619272,0.145587,34.770358,-0.15108621,34.768476,-0.14920361
sn2002jy,0.021541,35.043998,0.145405,34.826809,0.21718829,34.825445,0.21855269
sn2007bc,0.021706,34.823241,0.146331,34.843653,-0.020412136,34.842446,-0.019205095
sn2006bq,0.021956,34.890393,0.145024,34.868938,0.021454654,34.867965,0.022427663
sn2008bf,0.022068,34.948236,0.144685,34.880173,0.068063109,34.879306,0.068929853
