ell,Dl_obs,Dl_te_obs,Dl_ee_obs,Dl_lcdm_tt,residual_lcdm_tt,Dl_lcdm_te,residual_lcdm_te,Dl_lcdm_ee,residual_lcdm_ee,Dl_USMFv4_tt,residual_USMFv4_tt,Dl_USMFv4_te,residual_USMFv4_te,Dl_USMFv4_ee,residual_USMFv4_ee
32,1097.01,1.51224,0.0643557,1112.11,-15.0981,1.90495,-0.392715,0.0271909,0.0371648,1274.08,-177.07,1.47283,0.0394067,0.0195764,0.0447793
37,1180.26,3.11711,0.0649424,1203.42,-23.1591,1.84412,1.27298,0.0446373,0.0203051,1406.21,-225.943,1.37935,1.73775,0.0322346,0.0327078
42,1426.97,0.820244,0.0699042,1300.86,126.114,1.52594,-0.705696,0.0684048,0.00149936,1546.45,-119.483,1.05594,-0.235695,0.0494916,0.0204126
47,1364.66,1.07013,0.141281,1402.77,-38.1113,0.924275,0.145854,0.098976,0.0423046,1692.26,-327.6,0.49737,0.572759,0.0718875,0.069393
52,1329.06,1.08312,0.146964,1509.92,-180.862,-0.0181379,1.10126,0.136918,0.0100457,1843.35,-514.288,-0.350081,1.4332,0.0997063,0.0472577
57,1607.2,-3.82399,0.193005,1621.85,-14.6581,-1.28086,-2.54314,0.182358,0.0106461,1998.24,-391.045,-1.46342,-2.36057,0.13353,0.0594746
62,1663.41,-4.29778,0.296409,1739.72,-76.3032,-2.8968,-1.40098,0.235209,0.0611999,2157.61,-494.197,-2.8808,-1.41698,0.173188,0.123221
67,1838.4,-2.04066,0.331388,1863.15,-24.7487,-4.85368,2.81302,0.295026,0.0363623,2320.63,-482.23,-4.59018,2.54952,0.218723,0.112665
72,1974.24,-8.54866,0.356963,1992.13,-17.8883,-7.12965,-1.41902,0.361137,-0.00417392,2486.73,-512.491,-6.58822,-1.96044,0.269718,0.0872454
77,1765.67,-7.23417,0.448396,2128.15,-362.48,-9.72006,2.48589,0.432665,0.0157305,2657.53,-891.858,-8.87072,1.63655,0.325739,0.122657
82,2168.04,-9.89267,0.522364,2270.49,-102.455,-12.5809,2.68823,0.508282,0.0140815,2831.12,-663.081,-11.3946,1.50193,0.385993,0.136371
87,2330.99,-12.7208,0.489592,2419.32,-88.3302,-15.666,2.94513,0.586562,-0.0969698,3007.52,-676.531,-14.1375,1.41667,0.449693,0.0398984
92,2446.65,-19.2047,0.789127,2573.52,-126.871,-18.9203,-0.284358,0.665956,0.12317,3187.11,-740.459,-17.0652,-2.1395,0.51587,0.273257
97,2484.46,-19.0476,0.57472,2733.31,-248.848,-22.2947,3.24715,0.744699,-0.169979,3369.44,-884.985,-20.1364,1.08883,0.583349,-0.00862913
104,2951.15,-28.1287,0.830793,2966.53,-15.3784,-27.1128,-1.01593,0.850383,-0.0195891,3630.27,-679.112,-24.5993,-3.52936,0.677525,0.153268
113,3221.96,-31.7919,0.924375,3280.29,-58.3236,-33.1974,1.40541,0.9712,-0.0468253,3974.69,-752.725,-30.4113,-1.38063,0.792899,0.131475
122,3382.73,-35.701,1.11192,3605.06,-222.335,-38.7698,3.06887,1.06601,0.0459096,4327.09,-944.358,-35.9949,0.293936,0.8948,0.217117
131,3592.1,-41.5613,1.10666,3935.11,-343.007,-43.4143,1.85303,1.12666,-0.0200071,4683.82,-1091.72,-41.0016,-0.559692,0.976197,0.130461
140,4229.84,-43.6625,1.09668,4264,-34.1604,-46.7388,3.07626,1.14792,-0.0512348,5041.08,-811.244,-45.092,1.42944,1.03193,0.0647537
149,4251.39,-45.0365,1.00578,4585.28,-333.886,-48.401,3.3645,1.12854,-0.122755,5396.6,-1145.21,-47.9379,2.90135,1.05822,-0.0524398
