ell,Dl_obs,Dl_te_obs,Dl_ee_obs,Dl_lcdm_tt,residual_lcdm_tt,Dl_lcdm_te,residual_lcdm_te,Dl_lcdm_ee,residual_lcdm_ee,Dl_QRSF_tt,residual_QRSF_tt,Dl_QRSF_te,residual_QRSF_te,Dl_QRSF_ee,residual_QRSF_ee
32,1097.01,1.51224,0.0643557,1090.42,6.59191,1.93982,-0.42758,0.0273571,0.0369986,1094.4,2.61124,1.92718,-0.414941,0.0269441,0.0374117
37,1180.26,3.11711,0.0649424,1176.09,4.174,1.90059,1.21651,0.0449644,0.019978,1181.5,-1.23207,1.88896,1.22815,0.0442814,0.020661
42,1426.97,0.820244,0.0699042,1267.07,159.902,1.60664,-0.786397,0.0688267,0.00107752,1274.1,152.87,1.59585,-0.775609,0.0678428,0.00206136
47,1364.66,1.07013,0.141281,1361.94,2.7218,1.02627,0.0438588,0.0994805,0.0418001,1370.73,-6.06896,1.02351,0.0466184,0.0981137,0.0431668
52,1329.06,1.08312,0.146964,1461.43,-132.365,0.12481,0.958308,0.137507,0.00945743,1472.14,-143.074,0.123304,0.959814,0.135715,0.0112488
57,1607.2,-3.82399,0.193005,1565.21,41.9895,-1.10267,-2.72132,0.182954,0.0100503,1577.95,29.2452,-1.09702,-2.72697,0.180711,0.0122936
62,1663.41,-4.29778,0.296409,1674.44,-11.0217,-2.66941,-1.62837,0.235734,0.0606746,1689.31,-25.9003,-2.65835,-1.63943,0.233032,0.0633765
67,1838.4,-2.04066,0.331388,1788.8,49.6071,-4.56916,2.52849,0.295325,0.0360636,1805.91,32.4899,-4.55473,2.51407,0.292205,0.0391826
72,1974.24,-8.54866,0.356963,1908.3,65.9452,-6.78134,-1.76732,0.361036,-0.00407228,1927.75,46.4918,-6.76399,-1.78468,0.357564,-0.000601047
77,1765.67,-7.23417,0.448396,2034.55,-268.878,-9.29375,2.05959,0.431938,0.016458,2056.39,-290.719,-9.27899,2.04482,0.428229,0.0201671
82,2168.04,-9.89267,0.522364,2166.78,1.26256,-12.0622,2.16952,0.506624,0.0157391,2191.04,-23.0047,-12.0572,2.16448,0.502841,0.0195228
87,2330.99,-12.7208,0.489592,2305.16,25.838,-15.0453,2.32443,0.583617,-0.0940252,2331.94,-0.940875,-15.0542,2.3334,0.57998,-0.0903878
92,2446.65,-19.2047,0.789127,2448.66,-2.00638,-18.1889,-1.01574,0.661355,0.127771,2478.04,-31.3907,-18.216,-0.988677,0.658127,0.130999
97,2484.46,-19.0476,0.57472,2597.53,-113.075,-21.4387,2.39109,0.738036,-0.163316,2629.57,-145.109,-21.4924,2.44487,0.735501,-0.160781
104,2951.15,-28.1287,0.830793,2815.19,135.963,-26.0586,-2.07008,0.840133,-0.00933937,2851.02,100.129,-26.1667,-1.962,0.839087,-0.00829376
113,3221.96,-31.7919,0.924375,3108.55,113.415,-31.8495,0.0575582,0.955116,-0.0307411,3149.46,72.505,-32.0605,0.268582,0.956964,-0.0325899
122,3382.73,-35.701,1.11192,3412.65,-29.9173,-37.0871,1.38614,1.04287,0.069048,3458.89,-76.1636,-37.4423,1.74138,1.04869,0.0632281
131,3592.1,-41.5613,1.10666,3721.85,-129.751,-41.3598,-0.201466,1.0957,0.0109553,3773.72,-181.622,-41.9024,0.341191,1.10633,0.000328024
140,4229.84,-43.6625,1.09668,4029.9,199.935,-44.2827,0.620137,1.10898,-0.0122967,4087.72,142.121,-45.0561,1.39351,1.12488,-0.028197
149,4251.39,-45.0365,1.00578,4330.59,-79.2023,-45.5281,0.491538,1.0825,-0.0767205,4394.71,-143.318,-46.5709,1.53435,1.10345,-0.0976693
158,4778.71,-49.241,1.07943,4615.82,162.885,-44.8179,-4.42303,1.02062,0.0588048,4686.63,92.0799,-46.1626,-3.07836,1.04561,0.0338174
167,4844.8,-45.9645,0.855441,4879.21,-34.4188,-41.9647,-3.99978,0.932789,-0.0773475,4957.07,-112.276,-43.6325,-2.33199,0.959802,-0.104361
176,5120.63,-43.3901,0.96559,5113.37,7.25267,-36.8664,-6.52368,0.833376,0.132213,5198.6,-77.9732,-38.8658,-4.52432,0.859326,0.106264
185,5373.97,-30.3906,0.835251,5311.97,62.0022,-29.5231,-0.867478,0.741506,0.0937452,5404.82,-30.8472,-31.8478,1.45719,0.762146,0.0731049
194,5542.7,-18.1436,0.793541,5469.58,73.1191,-20.0439,1.9003,0.680507,0.113033,5570.2,-27.4996,-22.6677,4.52409,0.690213,0.103328
