Name,zcmb,mu_obs,e_mu_obs,mu_model_lcdm,residual_lcdm,mu_model_QRSF,residual_QRSF
sn1999ac,0.01006,33.076313,0.174566,33.207565,-0.1312517,33.325705,-0.24939203
sn2004s,0.010291,33.121922,0.173593,33.257246,-0.13532411,33.375399,-0.25347665
sn1997do,0.01055,33.243687,0.17309,33.311654,-0.067967444,33.42982,-0.18613329
sn2002dp,0.010888,33.394833,0.169021,33.380694,0.014138506,33.498878,-0.10404513
sn2006bh,0.011184,33.418357,0.166533,33.439432,-0.021075097,33.557631,-0.1392743
sn2005al,0.012317,34.043068,0.16145,33.650857,0.39221173,33.769115,0.27395325
sn2001ep,0.013324,33.655632,0.158624,33.823176,-0.16754447,33.941488,-0.28585616
sn1999dq,0.013533,33.4709,0.158393,33.857321,-0.38642049,33.975643,-0.50474315
sn2002ha,0.013652,33.839835,0.157774,33.876529,-0.036694208,33.994858,-0.15502311
sn2001bt,0.014151,33.705787,0.157186,33.95531,-0.24952349,34.073666,-0.36787887
sn1997e,0.014256,33.855479,0.1564,33.971537,-0.11605805,34.089898,-0.23441904
sn1992al,0.014411,33.837916,0.156643,33.995276,-0.15736005,34.113646,-0.27572918
sn1999dk,0.01444,33.737233,0.157099,33.99969,-0.26245691,34.118061,-0.38082754
sn2005bo,0.014467,33.887535,0.154784,34.003792,-0.11625668,34.122164,-0.23462872
sn2001fe,0.014575,34.021211,0.155333,34.02012,0.0010903972,34.138498,-0.11728745
sn2006n,0.0147,34.085762,0.155008,34.038871,0.046891691,34.157255,-0.071492851
sn2005kc,0.01496,33.980505,0.153548,34.077373,-0.096868319,34.195772,-0.21526654
sn2005el,0.015154,34.106559,0.153758,34.105672,0.0008869333,34.224081,-0.11752173
sn2004eo,0.015469,33.821144,0.153515,34.150868,-0.32972466,34.269294,-0.44815004
sn2001en,0.015482,33.99586,0.154168,34.152714,-0.15685346,34.27114,-0.27527954
sn2001cn,0.015487,33.856674,0.153742,34.153423,-0.29674873,34.27185,-0.41517508
sn2001bf,0.015504,33.940834,0.153374,34.155834,-0.21499954,34.274261,-0.33342681
sn2001cz,0.015554,33.994274,0.153417,34.162908,-0.16863338,34.281338,-0.28706333
sn1999aa,0.015573,34.202002,0.153276,34.16559,0.03641222,34.284021,-0.082018739
sn1994s,0.015664,34.062095,0.154751,34.178393,-0.11629769,34.296829,-0.23473348
sn2004ey,0.015678,34.159785,0.151905,34.180356,-0.020571012,34.298792,-0.13900754
sn2001v,0.015791,33.855547,0.152742,34.196139,-0.34059197,34.314581,-0.4590344
sn2006td,0.015999,34.303185,0.153171,34.224897,0.0782882,34.343351,-0.040165465
sn1996bv,0.016966,34.007209,0.153258,34.353928,-0.34671856,34.472433,-0.4652239
sn2006ax,0.017387,34.395547,0.148936,34.407848,-0.012301155,34.526376,-0.13082906
sn1998v,0.01745,34.146628,0.150702,34.415806,-0.26917796,34.534338,-0.38770922
sn2000dk,0.017483,34.199729,0.150122,34.419964,-0.22023426,34.538497,-0.33876726
sn1998ef,0.017672,33.973923,0.150611,34.443624,-0.46970126,34.562167,-0.58824443
sn2007ci,0.018599,34.476068,0.149282,34.55617,-0.080102436,34.674764,-0.1986955
sn1992bo,0.018902,34.68293,0.149087,34.591761,0.091169383,34.71037,-0.02743991
sn2002kf,0.019581,34.742169,0.147459,34.669513,0.072656911,34.788159,-0.045989166
sn2006ej,0.02039,34.748902,0.147727,34.758754,-0.0098520768,34.877444,-0.12854198
sn2005ki,0.020396,34.69654,0.145393,34.759402,-0.062862273,34.878093,-0.1815525
sn1992bc,0.020792,34.611741,0.14683,34.801809,-0.19006787,34.920521,-0.30877959
sn2003w,0.020997,34.619272,0.145587,34.823451,-0.20417878,34.942174,-0.3229016
sn2002jy,0.021541,35.043998,0.145405,34.879886,0.16411118,34.998639,0.045358791
sn2007bc,0.021706,34.823241,0.146331,34.896726,-0.073484502,35.015487,-0.19224598
sn2006bq,0.021956,34.890393,0.145024,34.922004,-0.031610653,35.040779,-0.15038565
sn2008bf,0.022068,34.948236,0.144685,34.933235,0.015001037,35.052016,-0.10378016
sn1995ak,0.022399,34.68654,0.149213,34.966106,-0.27956649,35.084905,-0.39836569
sn2006et,0.022466,34.775523,0.145994,34.972701,-0.19717773,35.091504,-0.31598065
sn2006mp,0.022629,35.162767,0.145184,34.988666,0.17410189,35.107477,0.055290005
sn2006ar,0.02298,35.101878,0.145076,35.022663,0.079214871,35.141494,-0.039616216
sn2006cp,0.023321,34.824838,0.144025,35.055207,-0.23036954,35.174057,-0.34921926
sn2000ca,0.02336,34.999952,0.144317,35.058899,-0.058947293,35.177751,-0.17779918
sn2006ac,0.023471,35.012156,0.143695,35.069374,-0.057218053,35.188232,-0.17607607
sn2000cn,0.023552,34.97956,0.144309,35.076988,-0.097427912,35.19585,-0.21629037
sn2007f,0.02381,35.204577,0.144315,35.101068,0.10350898,35.219944,-0.015367619
sn2007qe,0.023867,35.063685,0.14435,35.106353,-0.042668136,35.225232,-0.16154789
sn1993h,0.023909,35.098082,0.145547,35.110239,-0.01215751,35.229121,-0.13103958
sn2006sr,0.024159,35.023661,0.14338,35.133236,-0.1095749,35.252132,-0.22847062
sn2005bg,0.024586,35.073339,0.142334,35.171978,-0.098639336,35.290897,-0.21755856
sn2002he,0.024725,35.193717,0.145176,35.184446,0.0092708437,35.303373,-0.10965614
sn2002bf,0.024746,34.819134,0.147523,35.186324,-0.36718963,35.305252,-0.48611778
sn1994m,0.024951,34.970533,0.145319,35.204573,-0.23404035,35.323513,-0.35297976
sn1992ag,0.025198,34.99283,0.148276,35.226367,-0.23353621,35.34532,-0.3524893
sn2007cq,0.025468,34.943635,0.143429,35.249951,-0.30631685,35.368919,-0.42528476
sn2005ms,0.026567,35.377692,0.142099,35.343479,0.034212802,35.462508,-0.084816091
sn1999gp,0.026677,35.353986,0.142999,35.352631,0.0013554069,35.471666,-0.11767956
sn2005na,0.026881,35.274075,0.141195,35.369505,-0.09542947,35.488551,-0.21447577
sn2007co,0.027064,35.208077,0.141685,35.384535,-0.17645784,35.503592,-0.29551433
sn2004gs,0.027499,35.554208,0.140928,35.419867,0.13434077,35.538948,0.01526007
sn1992p,0.027637,35.512376,0.144083,35.430962,0.081414428,35.55005,-0.037673889
sn1998ab,0.027688,34.989967,0.143171,35.435048,-0.44508121,35.554139,-0.56417237
sn2002de,0.027748,35.482228,0.141846,35.439846,0.04238248,35.55894,-0.07671207
sn2003u,0.028561,35.339311,0.14269,35.503875,-0.16456384,35.623015,-0.28370373
sn2005eq,0.029086,35.610269,0.141059,35.544279,0.065989601,35.663448,-0.053179724
sn2006qo,0.029526,35.436744,0.142005,35.577595,-0.14085174,35.696789,-0.26004573
sn1990o,0.030325,35.497775,0.143169,35.636871,-0.13909623,35.75611,-0.25833507
sn2001ba,0.030381,35.669209,0.142175,35.640967,0.028241649,35.760209,-0.091000369
sn2003ch,0.030416,35.690108,0.140939,35.643524,0.046584076,35.762768,-0.072659927
sn1997dg,0.030482,35.947597,0.1417,35.648338,0.29925974,35.767585,0.18001201
sn1996c,0.030721,35.590467,0.142617,35.665684,-0.075217829,35.784946,-0.19447894
sn2006bt,0.031484,35.80412,0.140272,35.72019,0.08392965,35.839495,-0.035374574
sn2006az,0.031485,35.68697,0.140346,35.720261,-0.033291269,35.839565,-0.15259555
sn2007bd,0.031638,35.584368,0.14121,35.731035,-0.14666676,35.850348,-0.26597963
sn1999cc,0.031764,35.633256,0.140686,35.739869,-0.106613,35.859189,-0.22593306
sn2004as,0.032538,35.8802,0.14043,35.793397,0.086802848,35.912761,-0.032560993
sn2004l,0.033173,35.745515,0.143111,35.83639,-0.090875031,35.95579,-0.21027497
sn2006s,0.033255,35.96312,0.139885,35.841884,0.12123597,35.961288,0.0018313889
sn2006gr,0.033614,35.91306,0.139809,35.865778,0.047281969,35.985203,-0.07214305
sn2005iq,0.034074,36.012203,0.138969,35.896034,0.11616921,36.015485,-0.0032820049
sn2005eu,0.034781,35.901769,0.141596,35.941766,-0.039997396,36.061258,-0.15948895
sn1996bl,0.034854,35.742786,0.141007,35.946436,-0.20365048,36.065932,-0.32314622
sn2003iv,0.034971,36.008294,0.140126,35.953902,0.054392275,36.073404,-0.065110155
sn1992bg,0.035218,35.883836,0.14465,35.969582,-0.085746343,36.089099,-0.20526289
sn2002hd,0.035755,35.691602,0.142258,36.003305,-0.31170272,36.122852,-0.43125005
SDSS17784,0.03652,36.08076,0.115396,36.050503,0.030256689,36.170094,-0.089334534
sn2000cf,0.036934,36.125246,0.140956,36.075645,0.049601219,36.19526,-0.070013811
sn2006nz,0.03695,36.067055,0.114021,36.076611,-0.0095561581,36.196227,-0.12917212
sn2006mo,0.036969,36.135765,0.141722,36.077758,0.058007165,36.197375,-0.061609897
sn2001eh,0.037075,36.029637,0.139296,36.084145,-0.054507828,36.203768,-0.17413102
sn2002hu,0.038086,36.047263,0.138952,36.144185,-0.096922293,36.263867,-0.2166038
sn1999aw,0.039083,36.261874,0.139901,36.201893,0.059981439,36.321632,-0.059757747
sn2003fa,0.039219,36.157637,0.138984,36.209653,-0.05201624,36.3294,-0.17176338
sn2001az,0.040259,36.35703,0.142119,36.268146,0.088883725,36.387954,-0.030923859
sn2005lz,0.040689,36.276362,0.139014,36.291902,-0.015539703,36.411735,-0.13537235
sn1992bh,0.041657,36.527303,0.141016,36.3445,0.18280298,36.464389,0.062913833
sn1992bl,0.0424,36.296029,0.142756,36.384071,-0.088042374,36.504004,-0.20797508
SDSS10805,0.04413,36.27164,0.11486,36.47366,-0.2020199,36.593694,-0.32205436
SDSS14279,0.04428,36.292702,0.113705,36.481266,-0.18856442,36.60131,-0.3086077
sn2005hc,0.04492,36.564561,0.111373,36.513442,0.051118969,36.633523,-0.068962144
sn2004gu,0.046856,36.447889,0.137271,36.608133,-0.16024392,36.728329,-0.28043989
sn1995ac,0.048984,36.350468,0.139079,36.707936,-0.35746774,36.828259,-0.4777908
sn1993ag,0.049325,36.589362,0.140167,36.723537,-0.13417531,36.843881,-0.25451881
sn1990af,0.049519,36.643828,0.139446,36.732367,-0.088539288,36.852722,-0.20889441
sn1993o,0.053126,36.846507,0.139575,36.890707,-0.044200068,37.01128,-0.16477293
sn1998dx,0.05386,36.749621,0.140685,36.921652,-0.17203145,37.04227,-0.29264898
sn1999ao,0.054931,37.041519,0.143919,36.966083,0.075436382,37.086765,-0.045246409
SDSS19968,0.05499,36.903421,0.112893,36.968506,-0.065084957,37.089192,-0.18577137
SDSS6558,0.05634,37.006419,0.112867,37.023278,-0.016859439,37.144047,-0.13762848
SDSS14318,0.05654,36.864026,0.122398,37.031285,-0.16725834,37.152066,-0.28803964
SDSS17745,0.05874,37.218674,0.114585,37.117599,0.10107519,37.238516,-0.01984158
sn2006ob,0.059289,37.049891,0.111086,37.138652,-0.088761953,37.259603,-0.20971265
sn2006oa,0.060959,37.14167,0.11093,37.20156,-0.05989037,37.322615,-0.1809447
SDSS3901,0.062818,37.129647,0.112357,37.269667,-0.14002027,37.390837,-0.26119055
sn2007ae,0.062961,37.139126,0.140212,37.274825,-0.13569922,37.396004,-0.25687849
sn1992bs,0.063345,37.416847,0.141293,37.288622,0.12822579,37.409825,0.0070224878
SDSS10028,0.064229,37.197295,0.112975,37.320079,-0.12278404,37.441338,-0.2440428
sn2006an,0.065193,37.374426,0.139912,37.353913,0.02051256,37.475233,-0.10080684
SDSS6057,0.06651,37.294806,0.112612,37.399369,-0.10456299,37.520771,-0.22596552
sn2006al,0.069122,37.617081,0.145157,37.487021,0.13006017,37.60859,0.0084918268
sn2006on,0.069751,37.294725,0.111409,37.507654,-0.21292959,37.629263,-0.33453803
sn1993b,0.070153,37.383197,0.146379,37.520748,-0.13755128,37.642382,-0.25918541
SDSS17240,0.07153,37.392019,0.157968,37.565061,-0.17304165,37.686783,-0.29476394
SDSS17880,0.07195,37.342194,0.112772,37.578414,-0.23621975,37.700163,-0.35796902
sn1992ae,0.074579,37.484462,0.141947,37.660344,-0.17588168,37.782262,-0.29780048
sn2005ir,0.07487,37.600639,0.110074,37.669242,-0.068602909,37.791179,-0.19054057
SDSS19155,0.07592,37.770136,0.112389,37.701077,0.069059021,37.823083,-0.052946731
sn1999bp,0.078317,37.726108,0.138307,37.772203,-0.046095526,37.894366,-0.16825756
SDSS17186,0.07849,38.035737,0.113854,37.777256,0.25848036,37.89943,0.13630702
sn1992bp,0.07884,37.541851,0.138584,37.787446,-0.24559504,37.909642,-0.36779131
SDSS12779,0.07891,37.822083,0.117766,37.789479,0.032603993,37.91168,-0.089596851
SDSS12898,0.07997,37.842822,0.112109,37.820053,0.022768466,37.942324,-0.09950191
sn2005ag,0.080103,37.667141,0.136253,37.823862,-0.15672133,37.946141,-0.27900047
SDSS12950,0.08133,37.935407,0.111814,37.85872,0.07668708,37.98108,-0.045672829
SDSS12781,0.08304,38.065672,0.115125,37.906472,0.1592005,38.028945,0.036727568
SDSS722,0.08522,37.970228,0.128423,37.96601,0.0042183651,38.088627,-0.11839942
SDSS3592,0.08528,37.928381,0.111932,37.967628,-0.039246676,38.090249,-0.16186848
SDSS21502,0.08784,37.989534,0.112907,38.035676,-0.046142253,38.158469,-0.16893525
SDSS1241,0.08889,37.936103,0.11251,38.063043,-0.12694017,38.185906,-0.24980375
SDSS19899,0.09007,38.021375,0.111899,38.093434,-0.072058621,38.216377,-0.19500172
SDSS17258,0.0901,37.828996,0.124187,38.094202,-0.2652053,38.217147,-0.38815043
SDSS774,0.09243,38.160297,0.122156,38.153099,0.007198085,38.276202,-0.11590483
SDSS18241,0.09391,38.333255,0.11374,38.189783,0.14347212,38.312987,0.020268519
SDSS2102,0.09401,38.212454,0.112725,38.192242,0.020212004,38.315452,-0.10299842
SDSS16185,0.09582,38.280928,0.112716,38.236323,0.044604922,38.359658,-0.078729229
SDSS13038,0.10264,38.528458,0.113322,38.39563,0.13282801,38.519435,0.0090226117
SDSS10434,0.10289,38.47728,0.114221,38.401277,0.076003124,38.5251,-0.047819715
SDSS13135,0.10337,38.400372,0.111598,38.412084,-0.011712441,38.53594,-0.13556877
SDSS20064,0.10391,38.25769,0.112416,38.424185,-0.16649502,38.548079,-0.29038907
SDSS14816,0.10589,38.259627,0.112285,38.468055,-0.20842827,38.592088,-0.33246105
SDSS18697,0.10602,38.388928,0.111682,38.470908,-0.081980332,38.59495,-0.20602226
SDSS20625,0.10667,38.529439,0.112607,38.485124,0.044314171,38.609212,-0.079773431
SDSS18375,0.10725,38.205555,0.111743,38.497741,-0.29218593,38.621869,-0.4163144
SDSS21034,0.10751,38.544067,0.112402,38.503376,0.040691461,38.627523,-0.083455323
SDSS7147,0.10924,38.548224,0.112096,38.540545,0.0076789455,38.664814,-0.11659009
SDSS18650,0.11271,38.715163,0.112009,38.613456,0.10170698,38.737971,-0.022808764
SDSS11067,0.11304,38.632945,0.112246,38.620279,0.012665893,38.744818,-0.11187343
SDSS18612,0.11368,38.434426,0.111953,38.633459,-0.19903286,38.758044,-0.32361791
SDSS16641,0.11389,38.794576,0.113093,38.637768,0.15680743,38.762368,0.032207324
SDSS16619,0.11402,38.462485,0.11346,38.640432,-0.17794698,38.765042,-0.30255639
SDSS5395,0.11635,38.729957,0.111949,38.687701,0.042255344,38.812478,-0.082521333
SDSS8719,0.11651,38.672468,0.113022,38.690914,-0.018446651,38.815703,-0.14323488
SDSS2561,0.11741,38.700061,0.112518,38.708912,-0.0088505463,38.833765,-0.13370366
SDSS19953,0.11767,38.741727,0.111671,38.714087,0.027640645,38.838959,-0.097231208
SDSS16259,0.11771,38.640093,0.113079,38.714882,-0.074789409,38.839757,-0.19966416
SDSS1371,0.11771,38.527971,0.11196,38.714882,-0.18691049,38.839757,-0.31178524
SDSS14871,0.11845,38.812895,0.111824,38.729548,0.083347693,38.854476,-0.041580553
SDSS18298,0.11863,38.416553,0.127194,38.733102,-0.31654885,38.858043,-0.44149012
SDSS13894,0.11966,38.95985,0.113363,38.753343,0.20650611,38.878359,0.0814902
SDSS5549,0.11967,38.717946,0.111976,38.753539,-0.035592958,38.878556,-0.16060959
SDSS13044,0.11967,38.837411,0.112171,38.753539,0.083871905,38.878556,-0.041144729
SDSS12860,0.12044,38.780122,0.113463,38.768563,0.011558823,38.893636,-0.11351371
SDSS19543,0.12164,38.946145,0.112462,38.791799,0.15434598,38.916959,0.029186143
SDSS18835,0.12262,38.707357,0.11183,38.810616,-0.10325914,38.935847,-0.22849048
SDSS16021,0.12276,38.737216,0.112478,38.813292,-0.076075805,38.938534,-0.20131737
SDSS21669,0.12281,38.662602,0.129766,38.814247,-0.15164529,38.939493,-0.2768905
SDSS2916,0.12303,38.721556,0.119632,38.818446,-0.096890083,38.943707,-0.22215137
SDSS6406,0.12376,38.686488,0.111795,38.832328,-0.14583958,38.957642,-0.27115426
SDSS20470,0.1244,38.959303,0.113068,38.844435,0.11486793,38.969796,-0.010493646
06D2fb,0.125298,38.812432,0.085713,38.861324,-0.048891897,38.986752,-0.17431938
SDSS13005,0.12593,38.931494,0.157613,38.873143,0.058350411,38.998617,-0.067123513
SDSS2992,0.12608,38.626104,0.113495,38.87594,-0.24983632,39.001425,-0.37532128
SDSS744,0.12649,38.834716,0.118731,38.883569,-0.048853111,39.009084,-0.17436825
SDSS18855,0.12715,38.872201,0.111895,38.895801,-0.023600557,39.021365,-0.14916436
SDSS16069,0.12739,38.792596,0.113191,38.900235,-0.10763907,39.025816,-0.23322056
SDSS18809,0.12837,38.870821,0.112485,38.918257,-0.047435616,39.043911,-0.17308952
SDSS22075,0.12893,38.840284,0.113756,38.928497,-0.088213473,39.054193,-0.21390881
SDSS1032,0.12903,38.873791,0.115931,38.930322,-0.056530893,39.056025,-0.18223362
SDSS5751,0.12953,38.807645,0.112137,38.939423,-0.13177865,39.065163,-0.25751842
SDSS18415,0.12961,38.956012,0.113841,38.940877,0.015135643,39.066622,-0.11061008
SDSS20084,0.12961,39.141727,0.113865,38.940877,0.20085002,39.066622,0.075104295
SDSS17280,0.13045,39.199031,0.147057,38.956085,0.24294591,39.081893,0.11713785
SDSS14108,0.13243,39.234972,0.112393,38.991573,0.24339934,39.117528,0.11744386
