ell,Dl_obs,Dl_te_obs,Dl_ee_obs,Dl_lcdm_tt,residual_lcdm_tt,Dl_lcdm_te,residual_lcdm_te,Dl_lcdm_ee,residual_lcdm_ee,Dl_QRSFv2_tt,residual_QRSFv2_tt,Dl_QRSFv2_te,residual_QRSFv2_te,Dl_QRSFv2_ee,residual_QRSFv2_ee
32,1097.01,1.51224,0.0643557,1048.98,48.0293,1.998,-0.485763,0.0259468,0.0384089,1747.92,-650.904,0.931339,0.580898,0.0183057,0.04605
37,1180.26,3.11711,0.0649424,1126.49,53.7741,2.00771,1.1094,0.042734,0.0222084,1993.71,-813.447,0.590938,2.52617,0.0300627,0.0348797
42,1426.97,0.820244,0.0699042,1207.93,219.042,1.79655,-0.976309,0.0654738,0.00443037,2254.76,-827.788,-0.00129966,0.821544,0.0461482,0.023756
47,1364.66,1.07013,0.141281,1292.31,72.3501,1.3038,-0.233672,0.0948539,0.0464267,2526.09,-1161.43,-0.885066,1.95519,0.0671749,0.0741057
52,1329.06,1.08312,0.146964,1380.34,-51.2806,0.529236,0.553882,0.131228,0.0157364,2806.96,-1477.9,-2.09857,3.18169,0.0935749,0.0533891
57,1607.2,-3.82399,0.193005,1471.88,135.321,-0.558961,-3.26503,0.174819,0.0181857,3095.02,-1487.83,-3.63687,-0.187125,0.125815,0.0671896
62,1663.41,-4.29778,0.296409,1568.11,95.2997,-1.97608,-2.3217,0.225581,0.0708277,3390.58,-1727.17,-5.53708,1.2393,0.164084,0.132324
67,1838.4,-2.04066,0.331388,1668.87,169.537,-3.70088,1.66022,0.283033,0.0483547,3692.65,-1854.25,-7.79382,5.75316,0.208481,0.122907
72,1974.24,-8.54866,0.356963,1774.04,200.201,-5.73344,-2.81523,0.346567,0.0103959,4000.18,-2025.94,-10.3996,1.85096,0.258923,0.0980404
77,1765.67,-7.23417,0.448396,1885.41,-119.742,-8.05848,0.824314,0.415306,0.0330897,4314.79,-2549.12,-13.3612,6.127,0.315221,0.133174
82,2168.04,-9.89267,0.522364,2002.27,165.773,-10.6314,0.738739,0.487945,0.0344189,4634.31,-2466.28,-16.6407,6.74802,0.37688,0.145484
87,2330.99,-12.7208,0.489592,2124.87,206.123,-13.4202,0.699416,0.56313,-0.0735383,4957.87,-2626.88,-20.2201,7.49928,0.443427,0.0461646
92,2446.65,-19.2047,0.789127,2252.3,194.349,-16.3746,-2.83011,0.639379,0.149748,5286.45,-2839.8,-24.0705,4.86581,0.514199,0.274928
97,2484.46,-19.0476,0.57472,2384.84,99.6163,-19.4447,0.397085,0.714983,-0.140262,5618.96,-3134.51,-28.1539,9.10628,0.588343,-0.013623
104,2951.15,-28.1287,0.830793,2579.38,371.77,-23.8404,-4.2883,0.816398,0.0143955,6091.95,-3140.8,-34.1903,6.06157,0.6958,0.134993
113,3221.96,-31.7919,0.924375,2843.04,378.923,-29.4131,-2.37887,0.932194,-0.00781919,6712.46,-3490.5,-42.3065,10.5146,0.83599,0.0883845
122,3382.73,-35.701,1.11192,3118.02,264.705,-34.5381,-1.16282,1.02282,0.0890924,7343.95,-3961.22,-50.5156,14.8147,0.97202,0.139897
131,3592.1,-41.5613,1.10666,3399.28,192.822,-38.8264,-2.73484,1.08048,0.0261743,7980.9,-4388.8,-58.4558,16.8946,1.09649,0.0101684
140,4229.84,-43.6625,1.09668,3681.16,548.68,-41.9132,-1.74931,1.1002,-0.00352147,8617.94,-4388.1,-65.7651,22.1026,1.2031,-0.106413
149,4251.39,-45.0365,1.00578,3958.18,293.206,-43.4863,-1.55021,1.08092,-0.075141,9252.35,-5000.96,-72.0702,27.0337,1.28497,-0.279192
158,4778.71,-49.241,1.07943,4222.97,555.743,-43.2792,-5.96172,1.02595,0.0534826,9879.46,-5100.75,-77.0164,27.7755,1.33818,-0.258747
167,4844.8,-45.9645,0.855441,4469.57,375.223,-41.0992,-4.86533,0.9432,-0.0877594,10493.4,-5648.65,-80.2334,34.2689,1.35972,-0.504283
176,5120.63,-43.3901,0.96559,4690.98,429.65,-36.833,-6.55707,0.845384,0.120205,11086.5,-5965.85,-81.3993,38.0092,1.35014,-0.384553
185,5373.97,-30.3906,0.835251,4881.18,492.796,-30.4652,0.0746052,0.749767,0.0854838,11651.6,-6277.67,-80.2581,49.8675,1.31301,-0.477761
194,5542.7,-18.1436,0.793541,5034.98,507.718,-22.0759,3.93235,0.67735,0.116191,12182.6,-6639.86,-76.5586,58.415,1.2513,-0.457757
203,5446.22,-7.21464,0.694054,5148.26,297.962,-11.8451,4.63043,0.652058,0.0419966,12673.8,-7227.59,-70.1325,62.9178,1.17021,-0.47616
212,5636.34,2.53847,0.877642,5216.84,419.497,-0.0378164,2.57628,0.699522,0.178121,13118.5,-7482.16,-60.8903,63.4287,1.08287,-0.205224
221,5816.48,17.9047,0.874199,5239.69,576.787,13.0012,4.90344,0.845586,0.0286131,13510.6,-7694.09,-48.8111,66.7158,1.01215,-0.137954
230,5684.66,26.6053,1.23818,5216.03,468.63,26.8602,-0.254904,1.11478,0.123402,13844,-8159.39,-33.9406,60.5459,0.980485,0.257697
239,5776.16,46.2991,1.78071,5146.43,629.726,41.0755,5.22356,1.52862,0.252097,14114.3,-8338.14,-16.376,62.6751,1.00725,0.773459
248,5435.47,50.6637,2.10983,5032.86,402.604,55.1466,-4.48291,2.10413,0.00570518,14318.1,-8882.62,3.74833,46.9154,1.10737,1.00246
257,5228,71.5358,3.13386,4878.61,349.387,68.5589,2.97686,2.8524,0.281465,14453.4,-9225.4,26.2513,45.2844,1.29312,1.84075
266,5090.29,86.4306,3.86066,4687.77,402.526,80.8036,5.627,3.77778,0.0828832,14518.3,-9428.04,50.697,35.7336,1.59632,2.26435
275,5096.49,106.963,5.31265,4466.26,630.231,91.4174,15.5453,4.87702,0.435628,14512.5,-9416.02,76.5706,30.3921,2.05375,3.2589
284,4546.18,102.707,5.82483,4220.03,326.155,99.9779,2.72874,6.13814,-0.313315,14435.5,-9889.35,103.397,-0.690565,2.69354,3.13129
293,4371.25,117.073,8.21385,3956.05,415.202,106.137,10.9352,7.54048,0.673377,14288.1,-9916.81,130.777,-13.7044,3.53511,4.67875
302,3935.72,117.089,9.31107,3681.18,254.533,109.616,7.47315,9.05413,0.256931,14070.6,-10134.9,158.377,-41.2874,4.58869,4.72237
311,3649.99,119.046,10.9594,3402.71,247.273,110.247,8.79953,10.6431,0.316343,13785.9,-10135.9,185.788,-66.7421,5.86233,5.09709
320,3411.94,112.762,12.6384,3127.83,284.111,107.951,4.81097,12.2655,0.372914,13440.2,-10028.2,212.301,-99.5389,7.36659,5.27186
329,3173.93,117.149,15.1816,2863.28,310.65,102.756,14.3933,13.8743,1.30722,13039.5,-9865.57,237.259,-120.11,9.10769,6.07386
338,2842.13,105.901,16.0657,2615.22,226.917,94.7959,11.1046,15.4191,0.646562,12589.6,-9747.43,260.114,-154.214,11.0887,4.97701
347,2498.24,86.2064,16.2208,2389,109.238,84.3264,1.88004,16.8491,-0.628294,12095.2,-9596.93,280.441,-194.234,13.3121,2.90869
356,2358.31,79.8487,18.6902,2188.7,169.606,71.6618,8.18688,18.1127,0.577495,11560.2,-9201.91,297.863,-218.015,15.7768,2.91338
365,2186.33,61.0311,18.5056,2018.23,168.1,57.2446,3.78649,19.1675,-0.661879,10993.1,-8806.75,312.06,-251.029,18.4554,0.0502366
374,2038.68,46.4875,21.0827,1879.98,158.701,41.5384,4.94904,19.9719,1.11079,10403.6,-8364.9,322.681,-276.194,21.2985,-0.215827
383,1891.76,31.557,21.4257,1775.23,116.524,25.075,6.48201,20.495,0.930697,9800.47,-7908.71,329.444,-297.887,24.2672,-2.84152
392,1787.59,19.7448,22.3593,1704.17,83.4233,8.39888,11.3459,20.7144,1.64493,9191.39,-7403.8,332.078,-312.333,27.3309,-4.97165
