Name,zcmb,mu_obs,e_mu_obs,mu_model_lcdm,residual_lcdm,mu_model_QRSFv2,residual_QRSFv2
sn1999ac,0.01006,33.076313,0.174566,33.459745,-0.38343153,34.868747,-1.792434
sn2004s,0.010291,33.121922,0.173593,33.509382,-0.38745983,34.918206,-1.7962842
sn1997do,0.01055,33.243687,0.17309,33.563742,-0.32005513,34.972372,-1.7286856
sn2002dp,0.010888,33.394833,0.169021,33.632718,-0.23788506,35.04109,-1.6462569
sn2006bh,0.011184,33.418357,0.166533,33.691399,-0.27304263,35.099545,-1.6811885
sn2005al,0.012317,34.043068,0.16145,33.902611,0.14045696,35.3099,-1.266832
sn2001ep,0.013324,33.655632,0.158624,34.074741,-0.41910917,35.481266,-1.8256339
sn1999dq,0.013533,33.4709,0.158393,34.108846,-0.63794606,35.515214,-2.0443137
sn2002ha,0.013652,33.839835,0.157774,34.128033,-0.28819754,35.534311,-1.6944758
sn2001bt,0.014151,33.705787,0.157186,34.20672,-0.50093266,35.61262,-1.9068331
sn1997e,0.014256,33.855479,0.1564,34.222926,-0.36744728,35.628746,-1.7732677
sn1992al,0.014411,33.837916,0.156643,34.246637,-0.40872037,35.652341,-1.8144249
sn1999dk,0.01444,33.737233,0.157099,34.251045,-0.51381189,35.656728,-1.919495
sn2005bo,0.014467,33.887535,0.154784,34.255142,-0.36760672,35.660805,-1.7732699
sn2001fe,0.014575,34.021211,0.155333,34.27145,-0.25023903,35.67703,-1.6558197
sn2006n,0.0147,34.085762,0.155008,34.290176,-0.20441399,35.695662,-1.6098995
sn2005kc,0.01496,33.980505,0.153548,34.328631,-0.34812552,35.733922,-1.7534167
sn2005el,0.015154,34.106559,0.153758,34.356892,-0.25033333,35.762035,-1.6554766
sn2004eo,0.015469,33.821144,0.153515,34.402029,-0.58088583,35.806936,-1.9857925
sn2001en,0.015482,33.99586,0.154168,34.403872,-0.40801215,35.808769,-1.8129089
sn2001cn,0.015487,33.856674,0.153742,34.404581,-0.54790646,35.809474,-1.9527994
sn2001bf,0.015504,33.940834,0.153374,34.406988,-0.46615404,35.811868,-1.871034
sn2001cz,0.015554,33.994274,0.153417,34.414053,-0.41977841,35.818895,-1.8246205
sn1999aa,0.015573,34.202002,0.153276,34.416732,-0.21472922,35.821559,-1.6195569
sn1994s,0.015664,34.062095,0.154751,34.429517,-0.36742208,35.834277,-1.7721816
sn2004ey,0.015678,34.159785,0.151905,34.431478,-0.2716928,35.836227,-1.6764419
sn2001v,0.015791,33.855547,0.152742,34.44724,-0.5916929,35.851905,-1.9963585
sn2006td,0.015999,34.303185,0.153171,34.475959,-0.17277311,35.880466,-1.5772803
sn1996bv,0.016966,34.007209,0.153258,34.604807,-0.59759805,36.008588,-2.0013786
sn2006ax,0.017387,34.395547,0.148936,34.658649,-0.26310145,36.062113,-1.666566
sn1998v,0.01745,34.146628,0.150702,34.666595,-0.51996652,36.070013,-1.9233842
sn2000dk,0.017483,34.199729,0.150122,34.670746,-0.4710167,36.074139,-1.87441
sn1998ef,0.017672,33.973923,0.150611,34.694371,-0.72044808,36.097622,-2.1236992
sn2007ci,0.018599,34.476068,0.149282,34.806743,-0.3306749,36.209299,-1.7332313
sn1992bo,0.018902,34.68293,0.149087,34.842277,-0.15934648,36.244608,-1.5616775
sn2002kf,0.019581,34.742169,0.147459,34.9199,-0.17773098,36.321723,-1.579553
sn2006ej,0.02039,34.748902,0.147727,35.00899,-0.26008796,36.410208,-1.6613061
sn2005ki,0.020396,34.69654,0.145393,35.009637,-0.31309702,36.410851,-1.7143106
sn1992bc,0.020792,34.611741,0.14683,35.051969,-0.44022826,36.452888,-1.8411468
sn2003w,0.020997,34.619272,0.145587,35.073573,-0.45430081,36.474339,-1.8550671
sn2002jy,0.021541,35.043998,0.145405,35.129906,-0.085908814,36.530268,-1.4862706
sn2007bc,0.021706,34.823241,0.146331,35.146715,-0.3234732,36.546952,-1.723711
sn2006bq,0.021956,34.890393,0.145024,35.171946,-0.28155279,36.571999,-1.6816061
sn2008bf,0.022068,34.948236,0.144685,35.183156,-0.23491976,36.583125,-1.6348887
sn1995ak,0.022399,34.68654,0.149213,35.215965,-0.52942542,36.615689,-1.9291494
sn2006et,0.022466,34.775523,0.145994,35.222547,-0.44702388,36.622221,-1.8466973
sn2006mp,0.022629,35.162767,0.145184,35.238481,-0.075713492,36.638033,-1.4752652
sn2006ar,0.02298,35.101878,0.145076,35.272413,-0.17053465,36.671704,-1.5698259
sn2006cp,0.023321,34.824838,0.144025,35.304893,-0.48005523,36.703932,-1.8790943
sn2000ca,0.02336,34.999952,0.144317,35.308577,-0.30862557,36.707587,-1.7076353
sn2006ac,0.023471,35.012156,0.143695,35.319031,-0.30687537,36.717958,-1.7058023
sn2000cn,0.023552,34.97956,0.144309,35.32663,-0.34707005,36.725497,-1.7459371
sn2007f,0.02381,35.204577,0.144315,35.350661,-0.14608481,36.749337,-1.5447609
sn2007qe,0.023867,35.063685,0.14435,35.355936,-0.29225115,36.754569,-1.6908847
sn1993h,0.023909,35.098082,0.145547,35.359814,-0.26173262,36.758417,-1.660335
sn2006sr,0.024159,35.023661,0.14338,35.382765,-0.35910342,36.781183,-1.7575219
sn2005bg,0.024586,35.073339,0.142334,35.421426,-0.34808776,36.819529,-1.7461903
sn2002he,0.024725,35.193717,0.145176,35.433868,-0.24015119,36.831867,-1.6381497
sn2002bf,0.024746,34.819134,0.147523,35.435742,-0.6166077,36.833725,-2.0145906
sn1994m,0.024951,34.970533,0.145319,35.453953,-0.48342009,36.851785,-1.8812519
sn1992ag,0.025198,34.99283,0.148276,35.4757,-0.48286946,36.873349,-1.8805182
sn2007cq,0.025468,34.943635,0.143429,35.499234,-0.55559978,36.896685,-1.9530503
sn2005ms,0.026567,35.377692,0.142099,35.592556,-0.21486367,36.989194,-1.6115021
sn1999gp,0.026677,35.353986,0.142999,35.601687,-0.24770053,36.998244,-1.6442582
sn2005na,0.026881,35.274075,0.141195,35.618522,-0.34444716,37.01493,-1.7408546
sn2007co,0.027064,35.208077,0.141685,35.633518,-0.42544114,37.029791,-1.8217135
sn2004gs,0.027499,35.554208,0.140928,35.668769,-0.11456097,37.064721,-1.5105132
sn1992p,0.027637,35.512376,0.144083,35.679838,-0.16746168,37.07569,-1.5633133
sn1998ab,0.027688,34.989967,0.143171,35.683915,-0.69394774,37.079729,-2.0897618
sn2002de,0.027748,35.482228,0.141846,35.688701,-0.20647268,37.08447,-1.6022421
sn2003u,0.028561,35.339311,0.14269,35.752578,-0.41326674,37.14775,-1.8084394
sn2005eq,0.029086,35.610269,0.141059,35.792883,-0.18261475,37.18767,-1.5774015
sn2006qo,0.029526,35.436744,0.142005,35.826117,-0.38937365,37.220582,-1.7838379
sn1990o,0.030325,35.497775,0.143169,35.885243,-0.38746861,37.279123,-1.7813483
sn2001ba,0.030381,35.669209,0.142175,35.889329,-0.22012013,37.283168,-1.6139585
sn2003ch,0.030416,35.690108,0.140939,35.891879,-0.2017711,37.285692,-1.5955837
sn1997dg,0.030482,35.947597,0.1417,35.89668,0.050916983,37.290444,-1.3428471
sn1996c,0.030721,35.590467,0.142617,35.913983,-0.32351608,37.307573,-1.7171064
sn2006bt,0.031484,35.80412,0.140272,35.968345,-0.16422551,37.361378,-1.5572576
sn2006az,0.031485,35.68697,0.140346,35.968416,-0.28144625,37.361447,-1.6744776
sn2007bd,0.031638,35.584368,0.14121,35.979162,-0.39479326,37.372082,-1.7877136
sn1999cc,0.031764,35.633256,0.140686,35.987972,-0.35471572,37.380799,-1.7475434
sn2004as,0.032538,35.8802,0.14043,36.041355,-0.16115511,37.433619,-1.5534191
sn2004l,0.033173,35.745515,0.143111,36.084229,-0.33871399,37.47603,-1.730515
sn2006s,0.033255,35.96312,0.139885,36.089707,-0.12658771,37.481449,-1.5183293
sn2006gr,0.033614,35.91306,0.139809,36.113535,-0.20047447,37.505015,-1.5919548
sn2005iq,0.034074,36.012203,0.138969,36.143704,-0.13150117,37.53485,-1.5226473
sn2005eu,0.034781,35.901769,0.141596,36.189305,-0.28753559,37.579938,-1.6781688
sn1996bl,0.034854,35.742786,0.141007,36.193961,-0.45117496,37.584541,-1.841755
sn2003iv,0.034971,36.008294,0.140126,36.201404,-0.19311033,37.591899,-1.5836056
sn1992bg,0.035218,35.883836,0.14465,36.217039,-0.33320281,37.607355,-1.7235192
sn2002hd,0.035755,35.691602,0.142258,36.250661,-0.5590587,37.640588,-1.9489858
SDSS17784,0.03652,36.08076,0.115396,36.297716,-0.21695636,37.68709,-1.6063305
sn2000cf,0.036934,36.125246,0.140956,36.322781,-0.19753448,37.711856,-1.5866096
sn2006nz,0.03695,36.067055,0.114021,36.323744,-0.25668884,37.712807,-1.6457523
sn2006mo,0.036969,36.135765,0.141722,36.324887,-0.18912194,37.713937,-1.5781716
sn2001eh,0.037075,36.029637,0.139296,36.331254,-0.30161704,37.720227,-1.6905898
sn2002hu,0.038086,36.047263,0.138952,36.391106,-0.34384264,37.779349,-1.7320863
sn1999aw,0.039083,36.261874,0.139901,36.448627,-0.18675281,37.836154,-1.5742792
sn2003fa,0.039219,36.157637,0.138984,36.456362,-0.29872491,37.84379,-1.6861528
sn2001az,0.040259,36.35703,0.142119,36.51466,-0.15763075,37.901341,-1.5443116
sn2005lz,0.040689,36.276362,0.139014,36.538336,-0.2619739,37.924709,-1.6483463
sn1992bh,0.041657,36.527303,0.141016,36.590753,-0.063450641,37.976432,-1.4491299
sn1992bl,0.0424,36.296029,0.142756,36.630186,-0.33415724,38.015333,-1.7193047
SDSS10805,0.04413,36.27164,0.11486,36.719452,-0.4478121,38.103365,-1.8317253
SDSS14279,0.04428,36.292702,0.113705,36.727031,-0.43432876,38.110837,-1.8181355
sn2005hc,0.04492,36.564561,0.111373,36.759087,-0.19452598,38.142438,-1.577877
sn2004gu,0.046856,36.447889,0.137271,36.853417,-0.40552813,38.235394,-1.7875049
sn1995ac,0.048984,36.350468,0.139079,36.952824,-0.60235568,38.333296,-1.9828278
sn1993ag,0.049325,36.589362,0.140167,36.968362,-0.37899979,38.348594,-1.7592314
sn1990af,0.049519,36.643828,0.139446,36.977155,-0.3333277,38.35725,-1.7134227
sn1993o,0.053126,36.846507,0.139575,37.134825,-0.28831775,38.512387,-1.6658795
sn1998dx,0.05386,36.749621,0.140685,37.165633,-0.4160126,38.542681,-1.7930605
sn1999ao,0.054931,37.041519,0.143919,37.209865,-0.16834587,38.586165,-1.5446462
SDSS19968,0.05499,36.903421,0.112893,37.212277,-0.3088562,38.588536,-1.6851152
SDSS6558,0.05634,37.006419,0.112867,37.266798,-0.26037999,38.642117,-1.6356986
SDSS14318,0.05654,36.864026,0.122398,37.274768,-0.41074179,38.649948,-1.7859214
SDSS17745,0.05874,37.218674,0.114585,37.360674,-0.14200006,38.734327,-1.5156532
sn2006ob,0.059289,37.049891,0.111086,37.381626,-0.33173546,38.754899,-1.705009
sn2006oa,0.060959,37.14167,0.11093,37.444224,-0.30255424,38.816344,-1.6746744
SDSS3901,0.062818,37.129647,0.112357,37.511987,-0.38233979,38.882827,-1.7531807
sn2007ae,0.062961,37.139126,0.140212,37.517118,-0.37799217,38.887861,-1.7487346
sn1992bs,0.063345,37.416847,0.141293,37.530844,-0.11399608,38.901322,-1.4844749
SDSS10028,0.064229,37.197295,0.112975,37.562138,-0.36484226,38.93201,-1.734715
sn2006an,0.065193,37.374426,0.139912,37.595793,-0.22136725,38.965006,-1.5905801
SDSS6057,0.06651,37.294806,0.112612,37.641005,-0.3461992,39.009318,-1.7145127
sn2006al,0.069122,37.617081,0.145157,37.728175,-0.11109327,39.094711,-1.4776297
sn2006on,0.069751,37.294725,0.111409,37.748692,-0.45396692,39.114802,-1.820077
sn1993b,0.070153,37.383197,0.146379,37.761711,-0.37851434,39.127549,-1.744352
SDSS17240,0.07153,37.392019,0.157968,37.80577,-0.41375056,39.170676,-1.778657
SDSS17880,0.07195,37.342194,0.112772,37.819046,-0.47685114,39.183668,-1.8414739
sn1992ae,0.074579,37.484462,0.141947,37.90049,-0.41602822,39.263343,-1.7788811
sn2005ir,0.07487,37.600639,0.110074,37.909335,-0.30869574,39.271992,-1.6713531
SDSS19155,0.07592,37.770136,0.112389,37.940976,-0.17084042,39.30293,-1.5327941
sn1999bp,0.078317,37.726108,0.138307,38.011661,-0.28555352,39.372013,-1.6459052
SDSS17186,0.07849,38.035737,0.113854,38.016683,0.019054179,39.376919,-1.3411823
sn1992bp,0.07884,37.541851,0.138584,38.026808,-0.48495679,39.386811,-1.8449599
SDSS12779,0.07891,37.822083,0.117766,38.028828,-0.20674489,39.388785,-1.5667015
SDSS12898,0.07997,37.842822,0.112109,38.059207,-0.21638545,39.418459,-1.575637
sn2005ag,0.080103,37.667141,0.136253,38.062992,-0.39585074,39.422155,-1.7550138
SDSS12950,0.08133,37.935407,0.111814,38.097623,-0.16221676,39.455972,-1.5205656
SDSS12781,0.08304,38.065672,0.115125,38.145062,-0.079389161,39.502279,-1.4366066
SDSS722,0.08522,37.970228,0.128423,38.204199,-0.23397107,39.559979,-1.5897514
SDSS3592,0.08528,37.928381,0.111932,38.205806,-0.27742506,39.561547,-1.6331658
SDSS21502,0.08784,37.989534,0.112907,38.273385,-0.28385117,39.627446,-1.6379122
SDSS1241,0.08889,37.936103,0.11251,38.300559,-0.36445659,39.653934,-1.7178308
SDSS19899,0.09007,38.021375,0.111899,38.330734,-0.30935895,39.683339,-1.6619634
SDSS17258,0.0901,37.828996,0.124187,38.331497,-0.50250011,39.684081,-1.855085
SDSS774,0.09243,38.160297,0.122156,38.389967,-0.22967024,39.741037,-1.5807399
SDSS18241,0.09391,38.333255,0.11374,38.426381,-0.093125608,39.776492,-1.4432366
SDSS2102,0.09401,38.212454,0.112725,38.428821,-0.21636743,39.778867,-1.5664138
SDSS16185,0.09582,38.280928,0.112716,38.472572,-0.19164374,39.82145,-1.5405213
SDSS13038,0.10264,38.528458,0.113322,38.630634,-0.10217682,39.975145,-1.446687
SDSS10434,0.10289,38.47728,0.114221,38.636236,-0.15895617,39.980588,-1.5033073
SDSS13135,0.10337,38.400372,0.111598,38.646956,-0.24658434,39.991002,-1.5906304
SDSS20064,0.10391,38.25769,0.112416,38.658959,-0.40126865,40.002662,-1.7449718
SDSS14816,0.10589,38.259627,0.112285,38.702468,-0.44284173,40.044917,-1.7852908
SDSS18697,0.10602,38.388928,0.111682,38.705298,-0.31637013,40.047664,-1.6587369
SDSS20625,0.10667,38.529439,0.112607,38.719396,-0.18995753,40.061353,-1.531914
SDSS18375,0.10725,38.205555,0.111743,38.731907,-0.52635218,40.073497,-1.8679425
SDSS21034,0.10751,38.544067,0.112402,38.737495,-0.19342757,40.078921,-1.5348541
SDSS7147,0.10924,38.548224,0.112096,38.77435,-0.22612589,40.114688,-1.5664638
SDSS18650,0.11271,38.715163,0.112009,38.846631,-0.13146841,40.184796,-1.4696337
SDSS11067,0.11304,38.632945,0.112246,38.853395,-0.22044968,40.191354,-1.5584091
