Name,zcmb,mu_obs,e_mu_obs,mu_model_lcdm,residual_lcdm,mu_model_LambdaCDM,residual_LambdaCDM
sn1999ac,0.01006,33.076313,0.174566,33.051873,0.024440085,33.076108,0.00020486718
sn2004s,0.010291,33.121922,0.173593,33.101587,0.020335372,33.125818,-0.0038956144
sn1997do,0.01055,33.243687,0.17309,33.15603,0.087656858,33.180256,0.06343048
sn2002dp,0.010888,33.394833,0.169021,33.225117,0.16971584,33.249337,0.14549562
sn2006bh,0.011184,33.418357,0.166533,33.283896,0.13446119,33.30811,0.11024634
sn2005al,0.012317,34.043068,0.16145,33.495476,0.54759211,33.519671,0.52339769
sn2001ep,0.013324,33.655632,0.158624,33.667935,-0.012303453,33.692111,-0.036479613
sn1999dq,0.013533,33.4709,0.158393,33.702108,-0.23120816,33.726281,-0.25538056
sn2002ha,0.013652,33.839835,0.157774,33.721333,0.11850181,33.745504,0.094331545
sn2001bt,0.014151,33.705787,0.157186,33.800183,-0.094396543,33.824345,-0.11855775
sn1997e,0.014256,33.855479,0.1564,33.816424,0.039054272,33.840584,0.014894979
sn1992al,0.014411,33.837916,0.156643,33.840185,-0.0022689376,33.864342,-0.026425451
sn1999dk,0.01444,33.737233,0.157099,33.844603,-0.10736971,33.868759,-0.13152571
sn2005bo,0.014467,33.887535,0.154784,33.848708,0.038826879,33.872864,0.014671355
sn2001fe,0.014575,34.021211,0.155333,33.865052,0.15615884,33.889205,0.1320053
sn2006n,0.0147,34.085762,0.155008,33.88382,0.20194271,33.907971,0.17779145
sn2005kc,0.01496,33.980505,0.153548,33.922358,0.058147121,33.946505,0.034000527
sn2005el,0.015154,34.106559,0.153758,33.950684,0.15587527,33.974827,0.13173223
sn2004eo,0.015469,33.821144,0.153515,33.995923,-0.17477971,34.020061,-0.19891706
sn2001en,0.015482,33.99586,0.154168,33.997771,-0.0019103253,34.021908,-0.026047441
sn2001cn,0.015487,33.856674,0.153742,33.998481,-0.14180629,34.022618,-0.16594332
sn2001bf,0.015504,33.940834,0.153374,34.000893,-0.060059483,34.02503,-0.084196196
sn2001cz,0.015554,33.994274,0.153417,34.007975,-0.013700275,34.03211,-0.037836076
sn1999aa,0.015573,34.202002,0.153276,34.01066,0.1913427,34.034795,0.16720724
sn1994s,0.015664,34.062095,0.154751,34.023475,0.038620272,34.047609,0.014486457
sn2004ey,0.015678,34.159785,0.151905,34.02544,0.13434504,34.049573,0.11021147
sn2001v,0.015791,33.855547,0.152742,34.041238,-0.18569123,34.065369,-0.20982279
sn2006td,0.015999,34.303185,0.153171,34.070026,0.23315985,34.094153,0.20903211
sn1996bv,0.016966,34.007209,0.153258,34.19919,-0.19198044,34.2233,-0.21609068
sn2006ax,0.017387,34.395547,0.148936,34.253168,0.14237879,34.277271,0.11827619
sn1998v,0.01745,34.146628,0.150702,34.261135,-0.11450664,34.285236,-0.13860811
