Name,zcmb,mu_obs,e_mu_obs,mu_model_lcdm,residual_lcdm,mu_model_USMFv2,residual_USMFv2
sn1999ac,0.01006,33.076313,0.174566,33.277624,-0.20131068,32.417437,0.65887609
sn2004s,0.010291,33.121922,0.173593,33.327305,-0.20538255,32.46698,0.65494271
sn1997do,0.01055,33.243687,0.17309,33.381712,-0.13802531,32.521236,0.72245074
sn2002dp,0.010888,33.394833,0.169021,33.450752,-0.055918579,32.590074,0.80475859
sn2006bh,0.011184,33.418357,0.166533,33.509488,-0.091131503,32.648635,0.76972135
sn2005al,0.012317,34.043068,0.16145,33.720911,0.3221579,32.859391,1.183677
sn2001ep,0.013324,33.655632,0.158624,33.893228,-0.237596,33.031114,0.62451714
sn1999dq,0.013533,33.4709,0.158393,33.927372,-0.45647154,33.065136,0.40576374
sn2002ha,0.013652,33.839835,0.157774,33.94658,-0.10674499,33.084276,0.75555973
sn2001bt,0.014151,33.705787,0.157186,34.02536,-0.31957313,33.162762,0.5430253
sn1997e,0.014256,33.855479,0.1564,34.041586,-0.18610745,33.178926,0.67655315
sn1992al,0.014411,33.837916,0.156643,34.065325,-0.2274091,33.202575,0.63534162
sn1999dk,0.01444,33.737233,0.157099,34.069739,-0.33250589,33.206972,0.53026147
sn2005bo,0.014467,33.887535,0.154784,34.073841,-0.18630561,33.211058,0.67647719
sn2001fe,0.014575,34.021211,0.155333,34.090169,-0.068958278,33.227322,0.79388872
sn2006n,0.0147,34.085762,0.155008,34.108919,-0.023156697,33.245998,0.83976427
sn2005kc,0.01496,33.980505,0.153548,34.147421,-0.16691612,33.284349,0.69615587
sn2005el,0.015154,34.106559,0.153758,34.175719,-0.069160419,33.312532,0.79402653
sn2004eo,0.015469,33.821144,0.153515,34.220915,-0.3997713,33.357544,0.46359955
sn2001en,0.015482,33.99586,0.154168,34.22276,-0.22690007,33.359382,0.6364785
sn2001cn,0.015487,33.856674,0.153742,34.22347,-0.36679532,33.360088,0.49658621
sn2001bf,0.015504,33.940834,0.153374,34.22588,-0.2850461,33.362489,0.57834549
sn2001cz,0.015554,33.994274,0.153417,34.232954,-0.23867982,33.369533,0.62474124
sn1999aa,0.015573,34.202002,0.153276,34.235636,-0.033634176,33.372204,0.82979803
sn1994s,0.015664,34.062095,0.154751,34.248439,-0.18634388,33.384954,0.67714135
sn2004ey,0.015678,34.159785,0.151905,34.250402,-0.090617171,33.386909,0.77287617
sn2001v,0.015791,33.855547,0.152742,34.266185,-0.41063787,33.402626,0.45292034
sn2006td,0.015999,34.303185,0.153171,34.294943,0.0082427742,33.431261,0.87192412
sn1996bv,0.016966,34.007209,0.153258,34.423971,-0.41676178,33.559725,0.44748421
sn2006ax,0.017387,34.395547,0.148936,34.477891,-0.082343415,33.613399,0.78214819
sn1998v,0.01745,34.146628,0.150702,34.485848,-0.33922008,33.62132,0.52530793
sn2000dk,0.017483,34.199729,0.150122,34.490006,-0.29027631,33.625459,0.57427067
sn1998ef,0.017672,33.973923,0.150611,34.513665,-0.53974287,33.649008,0.32491451
sn2007ci,0.018599,34.476068,0.149282,34.62621,-0.15014193,33.761013,0.71505532
sn1992bo,0.018902,34.68293,0.149087,34.6618,0.021130573,33.796427,0.88650294
sn2002kf,0.019581,34.742169,0.147459,34.73955,0.0026196538,33.873782,0.86838747
sn2006ej,0.02039,34.748902,0.147727,34.828789,-0.07988749,33.962552,0.78634951
sn2005ki,0.020396,34.69654,0.145393,34.829438,-0.13289767,33.963197,0.73334282
sn1992bc,0.020792,34.611741,0.14683,34.871844,-0.26010237,34.005374,0.60636739
sn2003w,0.020997,34.619272,0.145587,34.893485,-0.27421282,34.026897,0.59237516
sn2002jy,0.021541,35.043998,0.145405,34.949919,0.094078385,34.083017,0.96098061
sn2007bc,0.021706,34.823241,0.146331,34.966758,-0.14351691,34.09976,0.72348161
sn2006bq,0.021956,34.890393,0.145024,34.992036,-0.1016425,34.124894,0.76549929
sn2008bf,0.022068,34.948236,0.144685,35.003267,-0.055030551,34.136059,0.81217684
sn1995ak,0.022399,34.68654,0.149213,35.036137,-0.34959733,34.168739,0.51780029
sn2006et,0.022466,34.775523,0.145994,35.042732,-0.26720841,34.175295,0.60022847
sn2006mp,0.022629,35.162767,0.145184,35.058696,0.10407158,34.191164,0.971603
sn2006ar,0.02298,35.101878,0.145076,35.092693,0.0091853626,34.224959,0.87691906
sn2006cp,0.023321,34.824838,0.144025,35.125236,-0.30039827,34.257306,0.56753136
sn2000ca,0.02336,34.999952,0.144317,35.128928,-0.12897594,34.260975,0.73897643
sn2006ac,0.023471,35.012156,0.143695,35.139403,-0.12724644,34.271386,0.74077024
sn2000cn,0.023552,34.97956,0.144309,35.147016,-0.16745612,34.278953,0.70060711
sn2007f,0.02381,35.204577,0.144315,35.171095,0.033481366,34.302884,0.90169286
sn2007qe,0.023867,35.063685,0.14435,35.17638,-0.11269562,34.308136,0.75554891
sn1993h,0.023909,35.098082,0.145547,35.180266,-0.0821849,34.311998,0.78608387
sn2006sr,0.024159,35.023661,0.14338,35.203263,-0.17960172,34.334851,0.68880986
sn2005bg,0.024586,35.073339,0.142334,35.242004,-0.16866519,34.373347,0.69999172
sn2002he,0.024725,35.193717,0.145176,35.254472,-0.060754687,34.385734,0.80798301
sn2002bf,0.024746,34.819134,0.147523,35.256349,-0.43721511,34.3876,0.43153471
sn1994m,0.024951,34.970533,0.145319,35.274598,-0.30406536,34.405731,0.56480178
sn1992ag,0.025198,34.99283,0.148276,35.296391,-0.30356066,34.427382,0.56544867
sn2007cq,0.025468,34.943635,0.143429,35.319975,-0.37634069,34.450812,0.49282256
sn2005ms,0.026567,35.377692,0.142099,35.4135,-0.035808529,34.543707,0.83398528
sn1999gp,0.026677,35.353986,0.142999,35.422652,-0.068665675,34.552795,0.80119079
sn2005na,0.026881,35.274075,0.141195,35.439525,-0.16545009,34.569552,0.70452304
sn2007co,0.027064,35.208077,0.141685,35.454555,-0.24647803,34.584477,0.62359993
sn2004gs,0.027499,35.554208,0.140928,35.489886,0.064321567,34.61956,0.93464809
sn1992p,0.027637,35.512376,0.144083,35.500981,0.011395533,34.630576,0.88180015
sn1998ab,0.027688,34.989967,0.143171,35.505067,-0.51509999,34.634633,0.3553338
sn2002de,0.027748,35.482228,0.141846,35.509864,-0.027636161,34.639396,0.84283226
sn2003u,0.028561,35.339311,0.14269,35.573892,-0.23458063,34.70296,0.63635109
sn2005eq,0.029086,35.610269,0.141059,35.614295,-0.0040259904,34.743063,0.86720525
sn2006qo,0.029526,35.436744,0.142005,35.64761,-0.21086633,34.776128,0.66061528
sn1990o,0.030325,35.497775,0.143169,35.706884,-0.209109,34.834948,0.66282626
sn2001ba,0.030381,35.669209,0.142175,35.71098,-0.041770991,34.839013,0.83019639
sn2003ch,0.030416,35.690108,0.140939,35.713537,-0.023428484,34.841549,0.84855891
sn1997dg,0.030482,35.947597,0.1417,35.71835,0.22924733,34.846325,1.1012723
sn1996c,0.030721,35.590467,0.142617,35.735696,-0.1452297,34.863536,0.7269302
sn2006bt,0.031484,35.80412,0.140272,35.7902,0.013919523,34.917607,0.8865126
sn2006az,0.031485,35.68697,0.140346,35.790271,-0.10330139,34.917677,0.76929224
sn2007bd,0.031638,35.584368,0.14121,35.801045,-0.21667654,34.928365,0.65600328
sn1999cc,0.031764,35.633256,0.140686,35.809879,-0.17662249,34.937127,0.69612923
sn2004as,0.032538,35.8802,0.14043,35.863405,0.016795121,34.990216,0.88998429
sn2004l,0.033173,35.745515,0.143111,35.906397,-0.16088131,35.032848,0.71266703
sn2006s,0.033255,35.96312,0.139885,35.91189,0.051229876,35.038295,0.92482433
sn2006gr,0.033614,35.91306,0.139809,35.935784,-0.022723305,35.061986,0.85107388
sn2005iq,0.034074,36.012203,0.138969,35.966038,0.046164987,35.091982,0.92022147
sn2005eu,0.034781,35.901769,0.141596,36.011769,-0.11000001,35.137315,0.76445437
sn1996bl,0.034854,35.742786,0.141007,36.016439,-0.27365293,35.141943,0.60084272
sn2003iv,0.034971,36.008294,0.140126,36.023904,-0.015609908,35.149342,0.85895153
sn1992bg,0.035218,35.883836,0.14465,36.039584,-0.15574796,35.164884,0.7189522
sn2002hd,0.035755,35.691602,0.142258,36.073305,-0.38170312,35.198303,0.49329898
SDSS17784,0.03652,36.08076,0.115396,36.120502,-0.039741967,35.245071,0.83568911
sn2000cf,0.036934,36.125246,0.140956,36.145643,-0.020396495,35.26998,0.85526649
sn2006nz,0.03695,36.067055,0.114021,36.146609,-0.079553835,35.270937,0.79611819
sn2006mo,0.036969,36.135765,0.141722,36.147755,-0.011990468,35.272073,0.86369228
sn2001eh,0.037075,36.029637,0.139296,36.154142,-0.12450522,35.2784,0.75123713
sn2002hu,0.038086,36.047263,0.138952,36.21418,-0.16691738,35.337873,0.70939041
sn1999aw,0.039083,36.261874,0.139901,36.271886,-0.010011382,35.395022,0.86685261
sn2003fa,0.039219,36.157637,0.138984,36.279645,-0.12200875,35.402705,0.75493161
sn2001az,0.040259,36.35703,0.142119,36.338136,0.018893584,35.460617,0.89641317
sn2005lz,0.040689,36.276362,0.139014,36.361891,-0.085528866,35.484132,0.79222989
sn1992bh,0.041657,36.527303,0.141016,36.414487,0.11281602,35.53619,0.99111207
sn1992bl,0.0424,36.296029,0.142756,36.454056,-0.15802764,35.575348,0.72068065
SDSS10805,0.04413,36.27164,0.11486,36.543641,-0.27200123,35.663976,0.6076637
SDSS14279,0.04428,36.292702,0.113705,36.551247,-0.25854541,35.6715,0.62120202
sn2005hc,0.04492,36.564561,0.111373,36.583421,-0.018860564,35.703321,0.86124001
sn2004gu,0.046856,36.447889,0.137271,36.678108,-0.23021905,35.796943,0.65094628
sn1995ac,0.048984,36.350468,0.139079,36.777906,-0.42743803,35.895575,0.4548929
sn1993ag,0.049325,36.589362,0.140167,36.793507,-0.20414482,35.91099,0.67837237
