Name,zcmb,mu_obs,e_mu_obs,mu_model_lcdm,residual_lcdm,mu_model_Fixed-Size_Filament_Contraction_Model_(USMF)_Version_5,residual_Fixed-Size_Filament_Contraction_Model_(USMF)_Version_5
sn1999ac,0.01006,33.326159,0.174566,33.4027,-0.076541399,33.413529,-0.087370181
sn2004s,0.010291,33.372062,0.173593,33.452391,-0.080329448,33.463182,-0.091120299
sn1997do,0.01055,33.493014,0.17309,33.506806,-0.013792233,33.517555,-0.024540643
sn2002dp,0.010888,33.645204,0.169021,33.575859,0.06934453,33.586552,0.05865137
sn2006bh,0.011184,33.669922,0.166533,33.634607,0.035315186,33.645252,0.024670283
sn2005al,0.012317,34.294158,0.16145,33.846069,0.44808842,33.85653,0.43762714
sn2001ep,0.013324,33.906604,0.158624,34.018424,-0.11181998,34.028724,-0.12211952
sn1999dq,0.013533,33.720058,0.158393,34.052575,-0.33251731,34.062841,-0.34278345
sn2002ha,0.013652,34.091038,0.157774,34.071788,0.019250356,34.082035,0.0090032066
sn2001bt,0.014151,33.956815,0.157186,34.150586,-0.19377092,34.160754,-0.20393864
sn1997e,0.014256,34.107223,0.1564,34.166817,-0.059594087,34.176968,-0.06974514
sn1992al,0.014411,34.087975,0.156643,34.190561,-0.10258583,34.200687,-0.1127123
sn1999dk,0.01444,33.987297,0.157099,34.194975,-0.20767794,34.205097,-0.21779982
sn2005bo,0.014467,34.138903,0.154784,34.199077,-0.06017429,34.209195,-0.070291889
sn2001fe,0.014575,34.270406,0.155333,34.21541,0.05499592,34.225511,0.044895422
sn2006n,0.0147,34.33758,0.155008,34.234166,0.10341468,34.244246,0.093333954
sn2005kc,0.01496,34.231351,0.153548,34.272676,-0.041324686,34.282716,-0.051364348
sn2005el,0.015154,34.357711,0.153758,34.300982,0.05672869,34.310991,0.046719608
sn2004eo,0.015469,34.072352,0.153515,34.346189,-0.27383704,34.356149,-0.28379657
sn2001en,0.015482,34.246778,0.154168,34.348035,-0.10125672,34.357993,-0.11121422
sn2001cn,0.015487,34.107353,0.153742,34.348745,-0.24139196,34.358701,-0.25134867
sn2001bf,0.015504,34.190252,0.153374,34.351156,-0.16090354,34.36111,-0.17085758
sn2001cz,0.015554,34.244148,0.153417,34.358232,-0.11408375,34.368178,-0.12402993
sn1999aa,0.015573,34.45074,0.153276,34.360915,0.089825117,34.370858,0.07988191
sn1994s,0.015664,34.311808,0.154751,34.37372,-0.061912316,34.383649,-0.071841247
sn2004ey,0.015678,34.409554,0.151905,34.375684,0.033870427,34.385611,0.023943691
sn2001v,0.015791,34.104592,0.152742,34.39147,-0.28687792,34.401379,-0.29678695
sn2006td,0.015999,34.554597,0.153171,34.420236,0.13436043,34.430113,0.12448396
sn1996bv,0.016966,34.25655,0.153258,34.5493,-0.29274936,34.559026,-0.30247523
sn2006ax,0.017387,34.645289,0.148936,34.603235,0.042054344,34.612895,0.032393651
sn1998v,0.01745,34.396806,0.150702,34.611195,-0.21438915,34.620846,-0.22404011
sn2000dk,0.017483,34.451815,0.150122,34.615353,-0.16353763,34.624999,-0.17318349
sn1998ef,0.017672,34.225012,0.150611,34.63902,-0.414008,34.648636,-0.4236247
sn2007ci,0.018599,34.728819,0.149282,34.751598,-0.022779113,34.761073,-0.032253465
sn1992bo,0.018902,34.934901,0.149087,34.787198,0.14770294,34.796626,0.13827487
sn2002kf,0.019581,34.993089,0.147459,34.864974,0.12811478,34.874299,0.11878999
sn2006ej,0.02039,34.999875,0.147727,34.954243,0.045632739,34.963445,0.03643023
sn2005ki,0.020396,34.947831,0.145393,34.954892,-0.0070603475,34.964093,-0.016261953
sn1992bc,0.020792,34.860895,0.14683,34.997312,-0.13641621,35.006454,-0.14555828
sn2003w,0.020997,34.869301,0.145587,35.01896,-0.14965878,35.028071,-0.1587701
sn2002jy,0.021541,35.292985,0.145405,35.075414,0.21757123,35.084444,0.20854123
sn2007bc,0.021706,35.074451,0.146331,35.09226,-0.017808659,35.101265,-0.026814077
sn2006bq,0.021956,35.14196,0.145024,35.117545,0.024414862,35.126513,0.015446631
sn2008bf,0.022068,35.197767,0.144685,35.128781,0.068986032,35.137733,0.060034435
sn1995ak,0.022399,34.937705,0.149213,35.161663,-0.22395778,35.170565,-0.23286031
sn2006et,0.022466,35.024709,0.145994,35.16826,-0.14355179,35.177153,-0.15244441
sn2006mp,0.022629,35.41183,0.145184,35.184231,0.22759873,35.193099,0.21873021
sn2006ar,0.02298,35.353004,0.145076,35.218241,0.13476327,35.227057,0.12594652
sn2006cp,0.023321,35.074581,0.144025,35.250796,-0.17621453,35.259562,-0.18498113
sn2000ca,0.02336,35.249377,0.144317,35.254489,-0.0051125779,35.26325,-0.013873453
sn2006ac,0.023471,35.263038,0.143695,35.264968,-0.001929873,35.273713,-0.010674462
sn2000cn,0.023552,35.232154,0.144309,35.272584,-0.040430415,35.281317,-0.04916313
sn2007f,0.02381,35.453902,0.144315,35.296673,0.1572294,35.305368,0.14853445
sn2007qe,0.023867,35.312976,0.14435,35.30196,0.011015889,35.310647,0.0023292715
sn1993h,0.023909,35.350353,0.145547,35.305848,0.044504695,35.314529,0.035824215
sn2006sr,0.024159,35.27495,0.14338,35.328853,-0.053903023,35.337497,-0.062547021
sn2005bg,0.024586,35.322909,0.142334,35.367609,-0.044700131,35.376191,-0.053282003
sn2002he,0.024725,35.445406,0.145176,35.380083,0.065323387,35.388645,0.056761688
sn2002bf,0.024746,35.070075,0.147523,35.381961,-0.31188676,35.39052,-0.32044541
sn1994m,0.024951,35.222116,0.145319,35.400218,-0.17810209,35.408747,-0.18663104
sn1992ag,0.025198,35.242843,0.148276,35.42202,-0.17917626,35.430513,-0.18766949
sn2007cq,0.025468,35.194232,0.143429,35.445613,-0.2513811,35.454067,-0.25983537
sn2005ms,0.026567,35.627234,0.142099,35.539179,0.088054668,35.547476,0.079757996
sn1999gp,0.026677,35.602201,0.142999,35.548334,0.05386701,35.556615,0.045586028
sn2005na,0.026881,35.524407,0.141195,35.565215,-0.040808256,35.573467,-0.049060178
sn2007co,0.027064,35.45832,0.141685,35.580252,-0.12193143,35.588478,-0.13015733
sn2004gs,0.027499,35.806141,0.140928,35.615598,0.19054232,35.623763,0.18237811
sn1992p,0.027637,35.761539,0.144083,35.626697,0.13484133,35.634842,0.12669664
sn1998ab,0.027688,35.240115,0.143171,35.630786,-0.39067071,35.638923,-0.39880819
sn2002de,0.027748,35.731784,0.141846,35.635586,0.096198335,35.643715,0.088069332
sn2003u,0.028561,35.591369,0.14269,35.699642,-0.10827328,35.707657,-0.11628787
