Name,zcmb,mu_obs,e_mu_obs,mu_model_lcdm,residual_lcdm,mu_model_LambdaCDM,residual_LambdaCDM
sn1999ac,0.01006,33.076313,0.174566,33.153959,-0.077646184,33.153959,-0.077646184
sn2004s,0.010291,33.121922,0.173593,33.203644,-0.081721523,33.203644,-0.081721523
sn1997do,0.01055,33.243687,0.17309,33.258051,-0.014364482,33.258051,-0.014364482
sn2002dp,0.010888,33.394833,0.169021,33.327095,0.067738266,33.327095,0.067738266
sn2006bh,0.011184,33.418357,0.166533,33.385835,0.032522126,33.385835,0.032522126
sn2005al,0.012317,34.043068,0.16145,33.597265,0.44580365,33.597265,0.44580365
sn2001ep,0.013324,33.655632,0.158624,33.769592,-0.11395998,33.769592,-0.11395998
sn1999dq,0.013533,33.4709,0.158393,33.803737,-0.33283669,33.803737,-0.33283669
sn2002ha,0.013652,33.839835,0.157774,33.822946,0.016889264,33.822946,0.016889264
sn2001bt,0.014151,33.705787,0.157186,33.901731,-0.19594369,33.901731,-0.19594369
sn1997e,0.014256,33.855479,0.1564,33.917958,-0.062479348,33.917958,-0.062479348
sn1992al,0.014411,33.837916,0.156643,33.941698,-0.10378161,33.941698,-0.10378161
sn1999dk,0.01444,33.737233,0.157099,33.946112,-0.20887834,33.946112,-0.20887834
sn2005bo,0.014467,33.887535,0.154784,33.950213,-0.062677949,33.950213,-0.062677949
sn2001fe,0.014575,34.021211,0.155333,33.966543,0.054667742,33.966543,0.054667742
sn2006n,0.0147,34.085762,0.155008,33.985295,0.10046769,33.985295,0.10046769
sn2005kc,0.01496,33.980505,0.153548,34.023798,-0.043292766,34.023798,-0.043292766
sn2005el,0.015154,34.106559,0.153758,34.052099,0.054460178,34.052099,0.054460178
sn2004eo,0.015469,33.821144,0.153515,34.097297,-0.27615291,34.097297,-0.27615291
sn2001en,0.015482,33.99586,0.154168,34.099142,-0.10328187,34.099142,-0.10328187
sn2001cn,0.015487,33.856674,0.153742,34.099852,-0.2431772,34.099852,-0.2431772
sn2001bf,0.015504,33.940834,0.153374,34.102262,-0.16142822,34.102262,-0.16142822
sn2001cz,0.015554,33.994274,0.153417,34.109337,-0.11506254,34.109337,-0.11506254
sn1999aa,0.015573,34.202002,0.153276,34.112019,0.089982922,34.112019,0.089982922
sn1994s,0.015664,34.062095,0.154751,34.124822,-0.062727356,34.124822,-0.062727356
sn2004ey,0.015678,34.159785,0.151905,34.126786,0.03299931,34.126786,0.03299931
sn2001v,0.015791,33.855547,0.152742,34.142568,-0.2870213,34.142568,-0.2870213
sn2006td,0.015999,34.303185,0.153171,34.171329,0.13185633,34.171329,0.13185633
sn1996bv,0.016966,34.007209,0.153258,34.300365,-0.29315623,34.300365,-0.29315623
sn2006ax,0.017387,34.395547,0.148936,34.354289,0.041258552,34.354289,0.041258552
sn1998v,0.01745,34.146628,0.150702,34.362247,-0.21561837,34.362247,-0.21561837
sn2000dk,0.017483,34.199729,0.150122,34.366404,-0.16667465,34.366404,-0.16667465
