Name,zcmb,mu_obs,e_mu_obs,mu_model_lcdm,residual_lcdm,mu_model_LambdaCDM,residual_LambdaCDM
sn1999ac,0.01006,33.076313,0.174566,33.153885,-0.077572224,33.153885,-0.077572224
sn2004s,0.010291,33.121922,0.173593,33.203565,-0.081643075,33.203565,-0.081643075
sn1997do,0.01055,33.243687,0.17309,33.257968,-0.014281003,33.257968,-0.014281003
sn2002dp,0.010888,33.394833,0.169021,33.327005,0.067828311,33.327005,0.067828311
sn2006bh,0.011184,33.418357,0.166533,33.385739,0.032617922,33.385739,0.032617922
sn2005al,0.012317,34.043068,0.16145,33.597147,0.44592145,33.597147,0.44592145
sn2001ep,0.013324,33.655632,0.158624,33.769454,-0.11382261,33.769454,-0.11382261
sn1999dq,0.013533,33.4709,0.158393,33.803595,-0.33269526,33.803595,-0.33269526
sn2002ha,0.013652,33.839835,0.157774,33.822802,0.017033002,33.822802,0.017033002
sn2001bt,0.014151,33.705787,0.157186,33.901577,-0.19579026,33.901577,-0.19579026
sn1997e,0.014256,33.855479,0.1564,33.917803,-0.062323878,33.917803,-0.062323878
sn1992al,0.014411,33.837916,0.156643,33.94154,-0.10362313,33.94154,-0.10362313
sn1999dk,0.01444,33.737233,0.157099,33.945953,-0.2087193,33.945953,-0.2087193
sn2005bo,0.014467,33.887535,0.154784,33.950053,-0.06251838,33.950053,-0.06251838
sn2001fe,0.014575,34.021211,0.155333,33.966381,0.054829409,33.966381,0.054829409
sn2006n,0.0147,34.085762,0.155008,33.98513,0.10063179,33.98513,0.10063179
sn2005kc,0.01496,33.980505,0.153548,34.023629,-0.043123621,34.023629,-0.043123621
sn2005el,0.015154,34.106559,0.153758,34.051926,0.054633092,34.051926,0.054633092
sn2004eo,0.015469,33.821144,0.153515,34.097117,-0.27597388,34.097117,-0.27597388
sn2001en,0.015482,33.99586,0.154168,34.098963,-0.10310259,34.098963,-0.10310259
sn2001cn,0.015487,33.856674,0.153742,34.099672,-0.24299782,34.099672,-0.24299782
sn2001bf,0.015504,33.940834,0.153374,34.102083,-0.16124851,34.102083,-0.16124851
sn2001cz,0.015554,33.994274,0.153417,34.109156,-0.11488186,34.109156,-0.11488186
sn1999aa,0.015573,34.202002,0.153276,34.111838,0.090163974,34.111838,0.090163974
sn1994s,0.015664,34.062095,0.154751,34.12464,-0.062544536,34.12464,-0.062544536
sn2004ey,0.015678,34.159785,0.151905,34.126602,0.033182401,34.126602,0.033182401
sn2001v,0.015791,33.855547,0.152742,34.142383,-0.28683601,34.142383,-0.28683601
sn2006td,0.015999,34.303185,0.153171,34.17114,0.13204565,34.17114,0.13204565
sn1996bv,0.016966,34.007209,0.153258,34.300157,-0.29294813,34.300157,-0.29294813
sn2006ax,0.017387,34.395547,0.148936,34.354072,0.041474837,34.354072,0.041474837
sn1998v,0.01745,34.146628,0.150702,34.362029,-0.21540086,34.362029,-0.21540086
sn2000dk,0.017483,34.199729,0.150122,34.366186,-0.1664565,34.366186,-0.1664565
sn1998ef,0.017672,33.973923,0.150611,34.389844,-0.4159212,34.389844,-0.4159212
sn2007ci,0.018599,34.476068,0.149282,34.502378,-0.026310265,34.502378,-0.026310265
sn1992bo,0.018902,34.68293,0.149087,34.537964,0.14496648,34.537964,0.14496648
sn2002kf,0.019581,34.742169,0.147459,34.615707,0.12646211,34.615707,0.12646211
sn2006ej,0.02039,34.748902,0.147727,34.704938,0.043963846,34.704938,0.043963846
sn2005ki,0.020396,34.69654,0.145393,34.705586,-0.0090462764,34.705586,-0.0090462764
sn1992bc,0.020792,34.611741,0.14683,34.747988,-0.13624653,34.747988,-0.13624653
sn2003w,0.020997,34.619272,0.145587,34.769626,-0.15035433,34.769626,-0.15035433
sn2002jy,0.021541,35.043998,0.145405,34.826054,0.21794322,34.826054,0.21794322
sn2007bc,0.021706,34.823241,0.146331,34.842892,-0.019651081,34.842892,-0.019651081
sn2006bq,0.021956,34.890393,0.145024,34.868166,0.022227107,34.868166,0.022227107
sn2008bf,0.022068,34.948236,0.144685,34.879397,0.068839491,34.879397,0.068839491
sn1995ak,0.022399,34.68654,0.149213,34.912263,-0.2257229,34.912263,-0.2257229
sn2006et,0.022466,34.775523,0.145994,34.918857,-0.14333377,34.918857,-0.14333377
sn2006mp,0.022629,35.162767,0.145184,34.93482,0.22794757,34.93482,0.22794757
sn2006ar,0.02298,35.101878,0.145076,34.968813,0.13306531,34.968813,0.13306531
sn2006cp,0.023321,34.824838,0.144025,35.001352,-0.17651408,35.001352,-0.17651408
