Name,zcmb,mu_obs,e_mu_obs,mu_model_lcdm,residual_lcdm,mu_model_LambdaCDM,residual_LambdaCDM
2011fe,0.00122,28.9987,1.51645,28.442499,0.55620138,28.442499,0.55620138
2011fe,0.00122,29.0559,1.51747,28.442499,0.61340138,28.442499,0.61340138
2012cg,0.00256,30.7233,0.782372,30.053984,0.66931555,30.053984,0.66931555
2012cg,0.00256,30.7449,0.799068,30.053984,0.69091555,30.053984,0.69091555
2013dy,0.00293,31.5611,0.530838,30.347698,1.2134023,30.347698,1.2134023
2013dy,0.00293,31.499,0.514259,30.347698,1.1513023,30.347698,1.1513023
1994DRichmond,0.00299,30.7757,0.881212,30.391809,0.38389125,30.391809,0.38389125
1981B,0.0035,30.7946,0.614535,30.734585,0.060015065,30.734585,0.060015065
2001el,0.00357,31.5011,0.591006,30.777694,0.72340556,30.777694,0.72340556
2021pit,0.00366,30.9999,0.566505,30.831898,0.16800155,30.831898,0.16800155
2011by,0.00369,31.7933,0.55272,30.849671,0.9436286,30.849671,0.9436286
1998aq,0.00369,31.4967,0.545492,30.849671,0.6470286,30.849671,0.6470286
2005df_ANU,0.00435,31.3779,0.479276,31.208009,0.16989058,31.208009,0.16989058
2005df,0.00435,31.3933,0.476404,31.208009,0.18529058,31.208009,0.18529058
2011B,0.00458,31.6512,0.514401,31.320247,0.33095302,31.320247,0.33095302
1980N,0.0046,31.2476,0.558603,31.32974,-0.082139733,31.32974,-0.082139733
2012fr,0.0046,31.2234,0.410577,31.32974,-0.10633973,31.32974,-0.10633973
1992A,0.0046,31.34,0.562589,31.32974,0.010260267,31.32974,0.010260267
2007on,0.0046,31.7635,0.574442,31.32974,0.43376027,31.32974,0.43376027
2007on,0.0046,31.6525,0.564724,31.32974,0.32276027,31.32974,0.32276027
2012fr,0.0046,31.1331,0.446882,31.32974,-0.19663973,31.32974,-0.19663973
1990N,0.00462,31.6969,0.550993,31.339191,0.35770856,31.339191,0.35770856
2012ht,0.00465,32.033,0.420403,31.353293,0.67970719,31.353293,0.67970719
2012ht,0.00465,31.9309,0.442017,31.353293,0.57760719,31.353293,0.57760719
2017cbv,0.00478,30.4013,0.578445,31.413369,-1.0120689,31.413369,-1.0120689
2017cbv,0.00478,30.5107,0.578546,31.413369,-0.90266892,31.413369,-0.90266892
2013aa,0.00478,30.5528,0.580251,31.413369,-0.86056892,31.413369,-0.86056892
2013aa,0.00478,30.4604,0.594683,31.413369,-0.95296892,31.413369,-0.95296892
2016coj,0.00489,31.9117,0.469628,31.462944,0.4487559,31.462944,0.4487559
SN2016coj,0.00489,31.8985,0.483668,31.462944,0.4355559,31.462944,0.4355559
2007gi,0.00505,31.7403,0.491367,31.533104,0.20719554,31.533104,0.20719554
2015F,0.00515,31.539,0.407028,31.575839,-0.036838539,31.575839,-0.036838539
2015F,0.00515,31.4473,0.448264,31.575839,-0.12853854,31.575839,-0.12853854
1994ae,0.0054,32.1822,0.339643,31.679158,0.50304186,31.679158,0.50304186
2014bv,0.00548,32.4001,0.482567,31.711216,0.68888408,31.711216,0.68888408
2019np,0.0055,32.4608,0.318474,31.719158,0.74164248,31.719158,0.74164248
2019np,0.0055,32.4338,0.32229,31.719158,0.71464248,31.719158,0.71464248
2006dd,0.00551,31.1857,0.452235,31.723118,-0.53741754,31.723118,-0.53741754
1981D,0.00551,30.9079,0.524992,31.723118,-0.81521754,31.723118,-0.81521754
2007le,0.00552,32.0203,0.538159,31.72707,0.29322959,31.72707,0.29322959
2007le,0.00552,32.0754,0.533991,31.72707,0.34832959,31.72707,0.34832959
