Name,zcmb,mu_obs,e_mu_obs,mu_model_lcdm,residual_lcdm,mu_model_LambdaCDM,residual_LambdaCDM
sn1999ac,0.01006,33.326159,0.174566,33.402709,-0.076549871,33.402709,-0.076549871
sn2004s,0.010291,33.372062,0.173593,33.4524,-0.080337904,33.4524,-0.080337904
sn1997do,0.01055,33.493014,0.17309,33.506815,-0.013800671,33.506815,-0.013800671
sn2002dp,0.010888,33.645204,0.169021,33.575867,0.069336116,33.575867,0.069336116
sn2006bh,0.011184,33.669922,0.166533,33.634616,0.035306793,33.634616,0.035306793
sn2005al,0.012317,34.294158,0.16145,33.846077,0.44808011,33.846077,0.44808011
sn2001ep,0.013324,33.906604,0.158624,34.018432,-0.11182822,34.018432,-0.11182822
sn1999dq,0.013533,33.720058,0.158393,34.052583,-0.33252554,34.052583,-0.33252554
sn2002ha,0.013652,34.091038,0.157774,34.071796,0.019242136,34.071796,0.019242136
sn2001bt,0.014151,33.956815,0.157186,34.150594,-0.1937791,34.150594,-0.1937791
sn1997e,0.014256,34.107223,0.1564,34.166825,-0.059602266,34.166825,-0.059602266
sn1992al,0.014411,34.087975,0.156643,34.190569,-0.102594,34.190569,-0.102594
sn1999dk,0.01444,33.987297,0.157099,34.194983,-0.20768611,34.194983,-0.20768611
sn2005bo,0.014467,34.138903,0.154784,34.199086,-0.060182454,34.199086,-0.060182454
sn2001fe,0.014575,34.270406,0.155333,34.215419,0.054987763,34.215419,0.054987763
sn2006n,0.0147,34.33758,0.155008,34.234174,0.10340653,34.234174,0.10340653
sn2005kc,0.01496,34.231351,0.153548,34.272684,-0.041332816,34.272684,-0.041332816
sn2005el,0.015154,34.357711,0.153758,34.30099,0.056720574,34.30099,0.056720574
sn2004eo,0.015469,34.072352,0.153515,34.346197,-0.27384513,34.346197,-0.27384513
sn2001en,0.015482,34.246778,0.154168,34.348043,-0.10126481,34.348043,-0.10126481
sn2001cn,0.015487,34.107353,0.153742,34.348753,-0.24140005,34.348753,-0.24140005
sn2001bf,0.015504,34.190252,0.153374,34.351164,-0.16091164,34.351164,-0.16091164
sn2001cz,0.015554,34.244148,0.153417,34.35824,-0.11409183,34.35824,-0.11409183
sn1999aa,0.015573,34.45074,0.153276,34.360923,0.08981703,34.360923,0.08981703
sn1994s,0.015664,34.311808,0.154751,34.373728,-0.061920397,34.373728,-0.061920397
sn2004ey,0.015678,34.409554,0.151905,34.375692,0.033862347,34.375692,0.033862347
sn2001v,0.015791,34.104592,0.152742,34.391478,-0.28688599,34.391478,-0.28688599
sn2006td,0.015999,34.554597,0.153171,34.420245,0.13435237,34.420245,0.13435237
sn1996bv,0.016966,34.25655,0.153258,34.549308,-0.29275735,34.549308,-0.29275735
sn2006ax,0.017387,34.645289,0.148936,34.603243,0.042046382,34.603243,0.042046382
sn1998v,0.01745,34.396806,0.150702,34.611203,-0.2143971,34.611203,-0.2143971
sn2000dk,0.017483,34.451815,0.150122,34.615361,-0.16354559,34.615361,-0.16354559
sn1998ef,0.017672,34.225012,0.150611,34.639028,-0.41401594,34.639028,-0.41401594
sn2007ci,0.018599,34.728819,0.149282,34.751606,-0.022786991,34.751606,-0.022786991
sn1992bo,0.018902,34.934901,0.149087,34.787206,0.14769508,34.787206,0.14769508
sn2002kf,0.019581,34.993089,0.147459,34.864982,0.12810697,34.864982,0.12810697
sn2006ej,0.02039,34.999875,0.147727,34.95425,0.045624984,34.95425,0.045624984
sn2005ki,0.020396,34.947831,0.145393,34.954899,-0.0070681014,34.954899,-0.0070681014
