Name,zcmb,mu_obs,e_mu_obs,mu_model_lcdm,residual_lcdm,mu_model_USMFv2,residual_USMFv2
sn1999ac,0.01006,33.326159,0.174566,33.401161,-0.075001987,33.527138,-0.20097888
sn2004s,0.010291,33.372062,0.173593,33.450779,-0.078716612,33.576684,-0.20462182
sn1997do,0.01055,33.493014,0.17309,33.505111,-0.012097082,33.630936,-0.13792199
sn2002dp,0.010888,33.645204,0.169021,33.574056,0.071147094,33.699777,-0.054573139
sn2006bh,0.011184,33.669922,0.166533,33.632711,0.037211804,33.758339,-0.088416859
sn2005al,0.012317,34.294158,0.16145,33.843813,0.45034496,33.969092,0.32506592
sn2001ep,0.013324,33.906604,0.158624,34.015848,-0.10924368,34.140817,-0.23421314
sn1999dq,0.013533,33.720058,0.158393,34.049933,-0.32987465,34.174838,-0.45478
sn2002ha,0.013652,34.091038,0.157774,34.069107,0.021930791,34.193976,-0.10293807
sn2001bt,0.014151,33.956815,0.157186,34.147747,-0.19093209,34.272463,-0.31564813
sn1997e,0.014256,34.107223,0.1564,34.163944,-0.056721935,34.288628,-0.18140585
sn1992al,0.014411,34.087975,0.156643,34.18764,-0.099664487,34.312276,-0.22430101
sn1999dk,0.01444,33.987297,0.157099,34.192045,-0.20474739,34.316672,-0.32937505
sn2005bo,0.014467,34.138903,0.154784,34.196138,-0.057235174,34.320758,-0.18185458
sn2001fe,0.014575,34.270406,0.155333,34.212437,0.057969309,34.337023,-0.066617091
sn2006n,0.0147,34.33758,0.155008,34.231152,0.10642774,34.355701,-0.018120483
sn2005kc,0.01496,34.231351,0.153548,34.269581,-0.038229129,34.394049,-0.16269798
sn2005el,0.015154,34.357711,0.153758,34.297825,0.059885801,34.422235,-0.064523879
sn2004eo,0.015469,34.072352,0.153515,34.342932,-0.27057999,34.467246,-0.39489368
sn2001en,0.015482,34.246778,0.154168,34.344774,-0.097995551,34.469084,-0.22230528
sn2001cn,0.015487,34.107353,0.153742,34.345482,-0.2381292,34.46979,-0.36243741
sn2001bf,0.015504,34.190252,0.153374,34.347888,-0.1576354,34.472191,-0.28193842
sn2001cz,0.015554,34.244148,0.153417,34.354948,-0.11079973,34.479236,-0.23508754
sn1999aa,0.015573,34.45074,0.153276,34.357625,0.093115155,34.481907,-0.031166864
sn1994s,0.015664,34.311808,0.154751,34.370401,-0.058593412,34.494656,-0.18284773
sn2004ey,0.015678,34.409554,0.151905,34.372361,0.037193772,34.496611,-0.087056285
sn2001v,0.015791,34.104592,0.152742,34.38811,-0.28351873,34.512326,-0.40773441
sn2006td,0.015999,34.554597,0.153171,34.416811,0.13778559,34.540964,0.013633175
sn1996bv,0.016966,34.25655,0.153258,34.545568,-0.28901754,34.669427,-0.41287649
sn2006ax,0.017387,34.645289,0.148936,34.599369,0.045919631,34.723101,-0.077811873
sn1998v,0.01745,34.396806,0.150702,34.607309,-0.21050389,34.731022,-0.33421634
sn2000dk,0.017483,34.451815,0.150122,34.611457,-0.15964191,34.73516,-0.28334438
sn1998ef,0.017672,34.225012,0.150611,34.635064,-0.41005237,34.758709,-0.5336977
sn2007ci,0.018599,34.728819,0.149282,34.747349,-0.018529698,34.870714,-0.14189535
sn1992bo,0.018902,34.934901,0.149087,34.782853,0.15204836,34.906127,0.028773929
sn2002kf,0.019581,34.993089,0.147459,34.860413,0.1326753,34.983484,0.0096049259
sn2006ej,0.02039,34.999875,0.147727,34.949426,0.050449466,35.072254,-0.072378416
sn2005ki,0.020396,34.947831,0.145393,34.950073,-0.0022417203,35.072899,-0.12506781
sn1992bc,0.020792,34.860895,0.14683,34.992368,-0.1314722,35.115075,-0.25417985
sn2003w,0.020997,34.869301,0.145587,35.013951,-0.14464987,35.136597,-0.26729626
sn2002jy,0.021541,35.292985,0.145405,35.070233,0.22275234,35.192717,0.10026826
sn2007bc,0.021706,35.074451,0.146331,35.087026,-0.012575325,35.209461,-0.13501024
sn2006bq,0.021956,35.14196,0.145024,35.112233,0.029727314,35.234593,-0.092633154
sn2008bf,0.022068,35.197767,0.144685,35.123433,0.074333927,35.24576,-0.047993211
sn1995ak,0.022399,34.937705,0.149213,35.15621,-0.21850514,35.278439,-0.34073386
sn2006et,0.022466,35.024709,0.145994,35.162787,-0.13807796,35.284995,-0.26028677
sn2006mp,0.022629,35.41183,0.145184,35.178706,0.23312414,35.300866,0.11096374
sn2006ar,0.02298,35.353004,0.145076,35.212604,0.14039971,35.33466,0.018343479
