Name,zcmb,mu_obs,e_mu_obs,mu_model_lcdm,residual_lcdm,mu_model_USMFv2,residual_USMFv2
2011fe,0.00122,28.9987,1.51645,28.516645,0.48205462,28.584526,0.41417364
2011fe,0.00122,29.0559,1.51747,28.516645,0.53925462,28.584526,0.47137364
2012cg,0.00256,30.7233,0.782372,30.128231,0.5950695,30.195379,0.52792128
2012cg,0.00256,30.7449,0.799068,30.128231,0.6166695,30.195379,0.54952128
2013dy,0.00293,31.5611,0.530838,30.421971,1.1391288,30.488917,1.0721826
2013dy,0.00293,31.499,0.514259,30.421971,1.0770288,30.488917,1.0100826
1994DRichmond,0.00299,30.7757,0.881212,30.466087,0.30961335,30.533,0.2426998
1981B,0.0035,30.7946,0.614535,30.808901,-0.014300618,30.875536,-0.080936114
2001el,0.00357,31.5011,0.591006,30.852015,0.64908469,30.918613,0.58248734
2021pit,0.00366,30.9999,0.566505,30.906226,0.093674016,30.972774,0.027125686
2011by,0.00369,31.7933,0.55272,30.924001,0.86929884,30.990533,0.80276685
1998aq,0.00369,31.4967,0.545492,30.924001,0.57269884,30.990533,0.50616685
2005df_ANU,0.00435,31.3779,0.479276,31.282388,0.09551194,31.348561,0.029339156
2005df,0.00435,31.3933,0.476404,31.282388,0.11091194,31.348561,0.044739156
2011B,0.00458,31.6512,0.514401,31.394643,0.25655736,31.46069,0.19050963
1980N,0.0046,31.2476,0.558603,31.404137,-0.15653688,31.470174,-0.22257374
2012fr,0.0046,31.2234,0.410577,31.404137,-0.18073688,31.470174,-0.24677374
1992A,0.0046,31.34,0.562589,31.404137,-0.064136882,31.470174,-0.13017374
2007on,0.0046,31.7635,0.574442,31.404137,0.35936312,31.470174,0.29332626
2007on,0.0046,31.6525,0.564724,31.404137,0.24836312,31.470174,0.18232626
2012fr,0.0046,31.1331,0.446882,31.404137,-0.27103688,31.470174,-0.33707374
1990N,0.00462,31.6969,0.550993,31.41359,0.28330993,31.479616,0.21728394
2012ht,0.00465,32.033,0.420403,31.427694,0.60530634,31.493703,0.53929666
2012ht,0.00465,31.9309,0.442017,31.427694,0.50320634,31.493703,0.43719666
2017cbv,0.00478,30.4013,0.578445,31.487779,-1.0864794,31.553718,-1.1524184
2017cbv,0.00478,30.5107,0.578546,31.487779,-0.97707939,31.553718,-1.0430184
2013aa,0.00478,30.5528,0.580251,31.487779,-0.93497939,31.553718,-1.0009184
2013aa,0.00478,30.4604,0.594683,31.487779,-1.0273794,31.553718,-1.0933184
2016coj,0.00489,31.9117,0.469628,31.537363,0.37433727,31.603242,0.30845799
SN2016coj,0.00489,31.8985,0.483668,31.537363,0.36113727,31.603242,0.29525799
2007gi,0.00505,31.7403,0.491367,31.607535,0.13276507,31.673327,0.066972681
2015F,0.00515,31.539,0.407028,31.650276,-0.11127641,31.716015,-0.1770145
2015F,0.00515,31.4473,0.448264,31.650276,-0.20297641,31.716015,-0.2687145
1994ae,0.0054,32.1822,0.339643,31.753615,0.42858548,31.819217,0.36298307
2014bv,0.00548,32.4001,0.482567,31.785678,0.61442177,31.851237,0.54886276
2019np,0.0055,32.4608,0.318474,31.793621,0.66717869,31.859169,0.60163053
2019np,0.0055,32.4338,0.32229,31.793621,0.64017869,31.859169,0.57463053
2006dd,0.00551,31.1857,0.452235,31.797582,-0.61188207,31.863125,-0.6774248
1981D,0.00551,30.9079,0.524992,31.797582,-0.88968207,31.863125,-0.9552248
2007le,0.00552,32.0203,0.538159,31.801536,0.21876432,31.867073,0.15322702
2007le,0.00552,32.0754,0.533991,31.801536,0.27386432,31.867073,0.20832702
2007le,0.00552,32.0843,0.537335,31.801536,0.28276432,31.867073,0.21722702
1998dm,0.00567,32.8333,0.562902,31.859999,0.97330126,31.925455,0.90784531
