Name,zcmb,mu_obs,e_mu_obs,mu_model_lcdm,residual_lcdm,mu_model_USMFv2,residual_USMFv2
2011fe,0.00122,28.9987,1.51645,28.516593,0.48210683,28.584526,0.41417364
2011fe,0.00122,29.0559,1.51747,28.516593,0.53930683,28.584526,0.47137364
2012cg,0.00256,30.7233,0.782372,30.128121,0.5951793,30.195379,0.52792128
2012cg,0.00256,30.7449,0.799068,30.128121,0.6167793,30.195379,0.54952128
2013dy,0.00293,31.5611,0.530838,30.421845,1.1392545,30.488917,1.0721826
2013dy,0.00293,31.499,0.514259,30.421845,1.0771545,30.488917,1.0100826
1994DRichmond,0.00299,30.7757,0.881212,30.465958,0.30974163,30.533,0.2426998
1981B,0.0035,30.7946,0.614535,30.80875,-0.014150423,30.875536,-0.080936114
2001el,0.00357,31.5011,0.591006,30.851862,0.6492379,30.918613,0.58248734
2021pit,0.00366,30.9999,0.566505,30.906069,0.093831086,30.972774,0.027125686
2011by,0.00369,31.7933,0.55272,30.923843,0.8694572,30.990533,0.80276685
1998aq,0.00369,31.4967,0.545492,30.923843,0.5728572,30.990533,0.50616685
2005df_ANU,0.00435,31.3779,0.479276,31.282201,0.095698653,31.348561,0.029339156
2005df,0.00435,31.3933,0.476404,31.282201,0.11109865,31.348561,0.044739156
2011B,0.00458,31.6512,0.514401,31.394446,0.25675395,31.46069,0.19050963
1980N,0.0046,31.2476,0.558603,31.403939,-0.15633943,31.470174,-0.22257374
2012fr,0.0046,31.2234,0.410577,31.403939,-0.18053943,31.470174,-0.24677374
1992A,0.0046,31.34,0.562589,31.403939,-0.06393943,31.470174,-0.13017374
2007on,0.0046,31.7635,0.574442,31.403939,0.35956057,31.470174,0.29332626
2007on,0.0046,31.6525,0.564724,31.403939,0.24856057,31.470174,0.18232626
2012fr,0.0046,31.1331,0.446882,31.403939,-0.27083943,31.470174,-0.33707374
1990N,0.00462,31.6969,0.550993,31.413392,0.28350824,31.479616,0.21728394
2012ht,0.00465,32.033,0.420403,31.427494,0.60550594,31.493703,0.53929666
2012ht,0.00465,31.9309,0.442017,31.427494,0.50340594,31.493703,0.43719666
2017cbv,0.00478,30.4013,0.578445,31.487574,-1.0862742,31.553718,-1.1524184
2017cbv,0.00478,30.5107,0.578546,31.487574,-0.97687421,31.553718,-1.0430184
2013aa,0.00478,30.5528,0.580251,31.487574,-0.93477421,31.553718,-1.0009184
2013aa,0.00478,30.4604,0.594683,31.487574,-1.0271742,31.553718,-1.0933184
2016coj,0.00489,31.9117,0.469628,31.537153,0.37454718,31.603242,0.30845799
SN2016coj,0.00489,31.8985,0.483668,31.537153,0.36134718,31.603242,0.29525799
2007gi,0.00505,31.7403,0.491367,31.607318,0.13298185,31.673327,0.066972681
2015F,0.00515,31.539,0.407028,31.650055,-0.11105534,31.716015,-0.1770145
2015F,0.00515,31.4473,0.448264,31.650055,-0.20275534,31.716015,-0.2687145
1994ae,0.0054,32.1822,0.339643,31.753383,0.42881729,31.819217,0.36298307
2014bv,0.00548,32.4001,0.482567,31.785443,0.61465702,31.851237,0.54886276
2019np,0.0055,32.4608,0.318474,31.793385,0.6674148,31.859169,0.60163053
2019np,0.0055,32.4338,0.32229,31.793385,0.6404148,31.859169,0.57463053
2006dd,0.00551,31.1857,0.452235,31.797346,-0.61164553,31.863125,-0.6774248
1981D,0.00551,30.9079,0.524992,31.797346,-0.88944553,31.863125,-0.9552248
2007le,0.00552,32.0203,0.538159,31.801299,0.21900129,31.867073,0.15322702
2007le,0.00552,32.0754,0.533991,31.801299,0.27410129,31.867073,0.20832702
2007le,0.00552,32.0843,0.537335,31.801299,0.28300129,31.867073,0.21722702
1998dm,0.00567,32.8333,0.562902,31.859755,0.97354467,31.925455,0.90784531
1995al,0.00592,32.3593,0.359446,31.953843,0.40545703,32.019418,0.33988246
2011iv,0.00594,31.2217,0.420706,31.961198,-0.7394982,32.026763,-0.8050628
2018gv,0.00596,31.9404,0.344335,31.968529,-0.028128821,32.034083,-0.093683439
2018gv,0.00596,31.9102,0.350249,31.968529,-0.058328821,32.034083,-0.12388344
2018gv,0.00596,32.0666,0.343707,31.968529,0.098071179,32.034083,0.032516561
2015bp,0.00603,32.4685,0.487055,31.993994,0.47450552,32.059514,0.40898583
1992G,0.00611,32.4405,0.439634,32.02274,0.41775987,32.08822,0.35228009
2007af,0.00635,32.0999,0.322811,32.106781,-0.0068810681,32.172141,-0.072241183
2007af,0.00635,32.0667,0.32593,32.106781,-0.040081068,32.172141,-0.10544118
2007af,0.00635,32.0023,0.36156,32.106781,-0.10448107,32.172141,-0.16984118
2007af,0.00635,32.0337,0.339166,32.106781,-0.073081068,32.172141,-0.13844118
2007sr,0.0066,31.6799,0.375913,32.191026,-0.5111261,32.256262,-0.57636163
2007sr,0.0066,31.6292,0.385756,32.191026,-0.5618261,32.256262,-0.62706163
2003du,0.00664,32.7685,0.292411,32.20421,0.56429016,32.269425,0.49907455
2003du,0.00664,32.7943,0.289134,32.20421,0.59009016,32.269425,0.52487455
2003du,0.00664,32.7423,0.294759,32.20421,0.53809016,32.269425,0.47287455
2002fk,0.00668,32.4423,0.300309,32.217315,0.22498522,32.28251,0.15978954
2002fk,0.00668,32.4642,0.300269,32.217315,0.24688522,32.28251,0.18168954
2018aoz,0.00701,31.7282,0.501431,32.322542,-0.59434232,32.387574,-0.65937369
2005cf,0.00703,32.3327,0.348317,32.32876,0.003939657,32.393782,-0.061081761
2005cf,0.00703,32.3221,0.322655,32.32876,-0.006660343,32.393782,-0.071681761
2005cf,0.00703,32.3193,0.325586,32.32876,-0.009460343,32.393782,-0.074481761
2008Q,0.00722,32.3312,0.373843,32.386969,-0.055768831,32.451896,-0.12069571
2008Q,0.00722,32.2998,0.396652,32.386969,-0.087168831,32.451896,-0.15209571
2017erp,0.00727,32.1729,0.371125,32.402034,-0.2291336,32.466936,-0.29403561
2017erp,0.00727,32.2048,0.34795,32.402034,-0.1972336,32.466936,-0.26213561
2017erp,0.00727,32.1951,0.34053,32.402034,-0.2069336,32.466936,-0.27183561
1991M,0.00758,33.2138,0.462834,32.493195,0.72060461,32.557943,0.65585673
2003kf,0.00769,32.6418,0.362719,32.524654,0.1171459,32.589347,0.052452684
1998dh,0.00769,32.6151,0.317457,32.524654,0.090445896,32.589347,0.025752684
1998dh,0.00769,32.7164,0.317031,32.524654,0.1917459,32.589347,0.12705268
ASASSN-15so,0.00773,32.7527,0.26758,32.535983,0.21671721,32.600656,0.15204387
2013gh,0.00775,32.6922,0.484865,32.541625,0.15057471,32.606289,0.085911308
2013gh,0.00775,32.521,0.465611,32.541625,-0.020625291,32.606289,-0.085288692
1995D,0.0078,32.484,0.342662,32.555668,-0.07166843,32.620307,-0.13630699
2012hr,0.00788,32.7092,0.367554,32.577952,0.13124769,32.642551,0.066648864
2001bg,0.00796,32.6928,0.359218,32.600012,0.092787645,32.664571,0.02822855
2009ig,0.00801,32.6707,0.286975,32.613688,0.057011792,32.678222,-0.0075224774
1997br,0.00801,31.7321,0.531169,32.613688,-0.88158821,32.678222,-0.94612248
2009ig,0.00801,32.7434,0.280148,32.613688,0.12971179,32.678222,0.065177523
2009ig,0.00801,32.3711,0.371926,32.613688,-0.24258821,32.678222,-0.30712248
1996X,0.00812,31.9733,0.415464,32.643479,-0.6701787,32.707958,-0.73465836
PSNJ0717457,0.00812,32.7223,0.383433,32.643479,0.078821301,32.707958,0.01434164
2019ein,0.00837,32.8616,0.327035,32.709719,0.15188125,32.774074,0.08752565
2005am,0.00841,32.335,0.337879,32.720134,-0.38513428,32.78447,-0.44947005
2005am,0.00841,32.3945,0.331296,32.720134,-0.32563428,32.78447,-0.38997005
2005am,0.00841,32.3744,0.338325,32.720134,-0.34573428,32.78447,-0.41007005
