Name,zcmb,mu_obs,e_mu_obs,mu_model_lcdm,residual_lcdm,mu_model_USMFv2,residual_USMFv2
2011fe,0.00122,28.9987,1.51645,28.516595,0.48210491,28.584527,0.41417331
2011fe,0.00122,29.0559,1.51747,28.516595,0.53930491,28.584527,0.47137331
2012cg,0.00256,30.7233,0.782372,30.128123,0.59517739,30.195379,0.52792096
2012cg,0.00256,30.7449,0.799068,30.128123,0.61677739,30.195379,0.54952096
2013dy,0.00293,31.5611,0.530838,30.421847,1.1392526,30.488918,1.0721822
2013dy,0.00293,31.499,0.514259,30.421847,1.0771526,30.488918,1.0100822
1994DRichmond,0.00299,30.7757,0.881212,30.46596,0.30973972,30.533001,0.24269948
1981B,0.0035,30.7946,0.614535,30.808752,-0.014152323,30.875536,-0.080936435
2001el,0.00357,31.5011,0.591006,30.851864,0.649236,30.918613,0.58248702
2021pit,0.00366,30.9999,0.566505,30.906071,0.093829187,30.972775,0.027125365
2011by,0.00369,31.7933,0.55272,30.923845,0.8694553,30.990533,0.80276653
1998aq,0.00369,31.4967,0.545492,30.923845,0.5728553,30.990533,0.50616653
2005df_ANU,0.00435,31.3779,0.479276,31.282203,0.095696761,31.348561,0.029338835
2005df,0.00435,31.3933,0.476404,31.282203,0.11109676,31.348561,0.044738835
2011B,0.00458,31.6512,0.514401,31.394448,0.25675206,31.460691,0.1905093
1980N,0.0046,31.2476,0.558603,31.403941,-0.15634132,31.470174,-0.22257406
2012fr,0.0046,31.2234,0.410577,31.403941,-0.18054132,31.470174,-0.24677406
1992A,0.0046,31.34,0.562589,31.403941,-0.06394132,31.470174,-0.13017406
2007on,0.0046,31.7635,0.574442,31.403941,0.35955868,31.470174,0.29332594
2007on,0.0046,31.6525,0.564724,31.403941,0.24855868,31.470174,0.18232594
2012fr,0.0046,31.1331,0.446882,31.403941,-0.27084132,31.470174,-0.33707406
1990N,0.00462,31.6969,0.550993,31.413394,0.28350635,31.479616,0.21728362
2012ht,0.00465,32.033,0.420403,31.427496,0.60550405,31.493704,0.53929634
2012ht,0.00465,31.9309,0.442017,31.427496,0.50340405,31.493704,0.43719634
2017cbv,0.00478,30.4013,0.578445,31.487576,-1.0862761,31.553719,-1.1524188
2017cbv,0.00478,30.5107,0.578546,31.487576,-0.9768761,31.553719,-1.0430188
2013aa,0.00478,30.5528,0.580251,31.487576,-0.9347761,31.553719,-1.0009188
2013aa,0.00478,30.4604,0.594683,31.487576,-1.0271761,31.553719,-1.0933188
2016coj,0.00489,31.9117,0.469628,31.537155,0.3745453,31.603242,0.30845767
SN2016coj,0.00489,31.8985,0.483668,31.537155,0.3613453,31.603242,0.29525767
2007gi,0.00505,31.7403,0.491367,31.60732,0.13297996,31.673328,0.06697236
2015F,0.00515,31.539,0.407028,31.650057,-0.11105722,31.716015,-0.17701483
2015F,0.00515,31.4473,0.448264,31.650057,-0.20275722,31.716015,-0.26871483
1994ae,0.0054,32.1822,0.339643,31.753385,0.42881541,31.819217,0.36298275
2014bv,0.00548,32.4001,0.482567,31.785445,0.61465514,31.851238,0.54886244
2019np,0.0055,32.4608,0.318474,31.793387,0.66741292,31.85917,0.60163021
2019np,0.0055,32.4338,0.32229,31.793387,0.64041292,31.85917,0.57463021
2006dd,0.00551,31.1857,0.452235,31.797347,-0.61164741,31.863125,-0.67742512
1981D,0.00551,30.9079,0.524992,31.797347,-0.88944741,31.863125,-0.95522512
2007le,0.00552,32.0203,0.538159,31.801301,0.21899941,31.867073,0.15322669
2007le,0.00552,32.0754,0.533991,31.801301,0.27409941,31.867073,0.20832669
2007le,0.00552,32.0843,0.537335,31.801301,0.28299941,31.867073,0.21722669
1998dm,0.00567,32.8333,0.562902,31.859757,0.97354279,31.925455,0.90784499
1995al,0.00592,32.3593,0.359446,31.953845,0.40545516,32.019418,0.33988214
2011iv,0.00594,31.2217,0.420706,31.9612,-0.73950008,32.026763,-0.80506312
2018gv,0.00596,31.9404,0.344335,31.968531,-0.028130698,32.034084,-0.09368376
2018gv,0.00596,31.9102,0.350249,31.968531,-0.058330698,32.034084,-0.12388376
2018gv,0.00596,32.0666,0.343707,31.968531,0.098069302,32.034084,0.03251624
2015bp,0.00603,32.4685,0.487055,31.993996,0.47450364,32.059514,0.4089855
1992G,0.00611,32.4405,0.439634,32.022742,0.417758,32.08822,0.35227977
2007af,0.00635,32.0999,0.322811,32.106783,-0.0068829411,32.172142,-0.072241504
2007af,0.00635,32.0667,0.32593,32.106783,-0.040082941,32.172142,-0.1054415
