Name,zcmb,mu_obs,e_mu_obs,mu_model_lcdm,residual_lcdm,mu_model_USMFv2,residual_USMFv2
sn1999ac,0.01006,33.326159,0.174566,33.402708,-0.076548565,33.541934,-0.21577475
sn2004s,0.010291,33.372062,0.173593,33.452399,-0.080336598,33.59148,-0.21941769
sn1997do,0.01055,33.493014,0.17309,33.506813,-0.013799366,33.645732,-0.15271787
sn2002dp,0.010888,33.645204,0.169021,33.575866,0.069337419,33.714573,-0.069369011
sn2006bh,0.011184,33.669922,0.166533,33.634614,0.035308095,33.773135,-0.10321273
sn2005al,0.012317,34.294158,0.16145,33.846076,0.44808141,33.983887,0.31027005
sn2001ep,0.013324,33.906604,0.158624,34.018431,-0.11182693,34.155613,-0.24900901
sn1999dq,0.013533,33.720058,0.158393,34.052582,-0.33252425,34.189634,-0.46957587
sn2002ha,0.013652,34.091038,0.157774,34.071795,0.019243428,34.208772,-0.11773394
sn2001bt,0.014151,33.956815,0.157186,34.150593,-0.19377781,34.287259,-0.33044401
sn1997e,0.014256,34.107223,0.1564,34.166824,-0.059600975,34.303424,-0.19620173
sn1992al,0.014411,34.087975,0.156643,34.190568,-0.10259271,34.327072,-0.23909688
sn1999dk,0.01444,33.987297,0.157099,34.194982,-0.20768482,34.331468,-0.34417092
sn2005bo,0.014467,34.138903,0.154784,34.199084,-0.060181165,34.335554,-0.19665045
sn2001fe,0.014575,34.270406,0.155333,34.215417,0.054989052,34.351819,-0.081412963
sn2006n,0.0147,34.33758,0.155008,34.234172,0.10340782,34.370497,-0.032916355
sn2005kc,0.01496,34.231351,0.153548,34.272683,-0.041331528,34.408845,-0.17749385
sn2005el,0.015154,34.357711,0.153758,34.300989,0.056721861,34.437031,-0.079319751
sn2004eo,0.015469,34.072352,0.153515,34.346196,-0.27384384,34.482042,-0.40968955
sn2001en,0.015482,34.246778,0.154168,34.348042,-0.10126353,34.48388,-0.23710115
sn2001cn,0.015487,34.107353,0.153742,34.348752,-0.24139877,34.484586,-0.37723328
sn2001bf,0.015504,34.190252,0.153374,34.351163,-0.16091035,34.486986,-0.2967343
sn2001cz,0.015554,34.244148,0.153417,34.358239,-0.11409055,34.494031,-0.24988341
sn1999aa,0.015573,34.45074,0.153276,34.360922,0.089818315,34.496703,-0.045962736
sn1994s,0.015664,34.311808,0.154751,34.373727,-0.061919112,34.509452,-0.1976436
sn2004ey,0.015678,34.409554,0.151905,34.375691,0.033863632,34.511407,-0.10185216
sn2001v,0.015791,34.104592,0.152742,34.391476,-0.28688471,34.527122,-0.42253028
sn2006td,0.015999,34.554597,0.153171,34.420243,0.13435366,34.55576,-0.0011626967
sn1996bv,0.016966,34.25655,0.153258,34.549306,-0.29275607,34.684223,-0.42767237
sn2006ax,0.017387,34.645289,0.148936,34.603241,0.042047661,34.737897,-0.092607744
sn1998v,0.01745,34.396806,0.150702,34.611201,-0.21439583,34.745818,-0.34901221
sn2000dk,0.017483,34.451815,0.150122,34.61536,-0.16354431,34.749956,-0.29814025
