Name,zcmb,mu_obs,e_mu_obs,mu_model_lcdm,residual_lcdm,mu_model_USMFv2,residual_USMFv2
sn1999ac,0.01006,33.326159,0.174566,33.447856,-0.12169737,33.544379,-0.21822035
sn2004s,0.010291,33.372062,0.173593,33.497512,-0.12544974,33.593925,-0.2218633
sn1997do,0.01055,33.493014,0.17309,33.551887,-0.058872523,33.648177,-0.15516347
sn2002dp,0.010888,33.645204,0.169021,33.620887,0.024316444,33.717018,-0.071814618
sn2006bh,0.011184,33.669922,0.166533,33.67959,-0.009667186,33.775581,-0.10565834
sn2005al,0.012317,34.294158,0.16145,33.890877,0.40328101,33.986333,0.30782444
sn2001ep,0.013324,33.906604,0.158624,34.063076,-0.1564719,34.158059,-0.25145462
sn1999dq,0.013533,33.720058,0.158393,34.097195,-0.37713696,34.192079,-0.47202148
sn2002ha,0.013652,34.091038,0.157774,34.116389,-0.025350926,34.211218,-0.12017955
sn2001bt,0.014151,33.956815,0.157186,34.195111,-0.23829517,34.289705,-0.33288961
sn1997e,0.014256,34.107223,0.1564,34.211325,-0.10410212,34.30587,-0.19864733
sn1992al,0.014411,34.087975,0.156643,34.235045,-0.14706994,34.329518,-0.24154249
sn1999dk,0.01444,33.987297,0.157099,34.239455,-0.25215757,34.333914,-0.34661653
sn2005bo,0.014467,34.138903,0.154784,34.243553,-0.10464976,34.337999,-0.19909606
sn2001fe,0.014575,34.270406,0.155333,34.259869,0.010537125,34.354265,-0.08385857
sn2006n,0.0147,34.33758,0.155008,34.278605,0.058975179,34.372942,-0.035361962
sn2005kc,0.01496,34.231351,0.153548,34.317076,-0.085724052,34.411291,-0.17993946
sn2005el,0.015154,34.357711,0.153758,34.345352,0.012359269,34.439476,-0.081765358
sn2004eo,0.015469,34.072352,0.153515,34.39051,-0.31815784,34.484487,-0.41213516
sn2001en,0.015482,34.246778,0.154168,34.392354,-0.14557552,34.486325,-0.23954676
sn2001cn,0.015487,34.107353,0.153742,34.393063,-0.28570998,34.487032,-0.37967889
sn2001bf,0.015504,34.190252,0.153374,34.395471,-0.20521894,34.489432,-0.2991799
sn2001cz,0.015554,34.244148,0.153417,34.402539,-0.15839143,34.496477,-0.25232902
sn1999aa,0.015573,34.45074,0.153276,34.40522,0.045520368,34.499148,-0.048408343
sn1994s,0.015664,34.311808,0.154751,34.418011,-0.10620302,34.511897,-0.20008921
sn2004ey,0.015678,34.409554,0.151905,34.419972,-0.010418117,34.513852,-0.10429776
sn2001v,0.015791,34.104592,0.152742,34.435741,-0.33114902,34.529567,-0.42497588
sn2006td,0.015999,34.554597,0.153171,34.464475,0.090121428,34.558205,-0.0036083038
sn1996bv,0.016966,34.25655,0.153258,34.59339,-0.33683913,34.686668,-0.43011797
sn2006ax,0.017387,34.645289,0.148936,34.64726,-0.0019704654,34.740342,-0.095053351
sn1998v,0.01745,34.396806,0.150702,34.65521,-0.25840423,34.748263,-0.35145781
sn2000dk,0.017483,34.451815,0.150122,34.659363,-0.20754763,34.752401,-0.30058586
sn1998ef,0.017672,34.225012,0.150611,34.683001,-0.45798883,34.775951,-0.55093918
sn2007ci,0.018599,34.728819,0.149282,34.795436,-0.066616926,34.887956,-0.15913682
sn1992bo,0.018902,34.934901,0.149087,34.830989,0.10391187,34.923369,0.01153245
sn2002kf,0.019581,34.993089,0.147459,34.90866,0.084428448,35.000725,-0.007636553
sn2006ej,0.02039,34.999875,0.147727,34.997804,0.0020711899,35.089495,-0.089619895
sn2005ki,0.020396,34.947831,0.145393,34.998452,-0.050620971,35.090141,-0.14230929
sn1992bc,0.020792,34.860895,0.14683,35.040811,-0.17991576,35.132317,-0.27142133
sn2003w,0.020997,34.869301,0.145587,35.062428,-0.19312671,35.153839,-0.28453774
sn2002jy,0.021541,35.292985,0.145405,35.118798,0.17418719,35.209958,0.083026783
sn2007bc,0.021706,35.074451,0.146331,35.135618,-0.061167262,35.226703,-0.15225172
sn2006bq,0.021956,35.14196,0.145024,35.160865,-0.018905193,35.251835,-0.10987463
sn2008bf,0.022068,35.197767,0.144685,35.172084,0.025683247,35.263002,-0.06523469
sn1995ak,0.022399,34.937705,0.149213,35.204915,-0.26720953,35.29568,-0.35797534
