Name,zcmb,mu_obs,e_mu_obs,mu_model_lcdm,residual_lcdm,mu_model_USMFv2,residual_USMFv2
2011fe,0.00122,28.9987,1.51645,28.516593,0.48210694,28.584527,0.41417325
2011fe,0.00122,29.0559,1.51747,28.516593,0.53930694,28.584527,0.47137325
2012cg,0.00256,30.7233,0.782372,30.128121,0.59517941,30.195379,0.5279209
2012cg,0.00256,30.7449,0.799068,30.128121,0.61677941,30.195379,0.5495209
2013dy,0.00293,31.5611,0.530838,30.421845,1.1392547,30.488918,1.0721822
2013dy,0.00293,31.499,0.514259,30.421845,1.0771547,30.488918,1.0100822
1994DRichmond,0.00299,30.7757,0.881212,30.465958,0.30974174,30.533001,0.24269942
1981B,0.0035,30.7946,0.614535,30.80875,-0.014150313,30.875536,-0.080936495
2001el,0.00357,31.5011,0.591006,30.851862,0.64923801,30.918613,0.58248696
2021pit,0.00366,30.9999,0.566505,30.906069,0.093831196,30.972775,0.027125305
2011by,0.00369,31.7933,0.55272,30.923843,0.86945731,30.990534,0.80276647
1998aq,0.00369,31.4967,0.545492,30.923843,0.57285731,30.990534,0.50616647
2005df_ANU,0.00435,31.3779,0.479276,31.282201,0.095698764,31.348561,0.029338774
2005df,0.00435,31.3933,0.476404,31.282201,0.11109876,31.348561,0.044738774
2011B,0.00458,31.6512,0.514401,31.394446,0.25675406,31.460691,0.19050924
1980N,0.0046,31.2476,0.558603,31.403939,-0.15633932,31.470174,-0.22257412
2012fr,0.0046,31.2234,0.410577,31.403939,-0.18053932,31.470174,-0.24677412
1992A,0.0046,31.34,0.562589,31.403939,-0.063939319,31.470174,-0.13017412
2007on,0.0046,31.7635,0.574442,31.403939,0.35956068,31.470174,0.29332588
2007on,0.0046,31.6525,0.564724,31.403939,0.24856068,31.470174,0.18232588
2012fr,0.0046,31.1331,0.446882,31.403939,-0.27083932,31.470174,-0.33707412
1990N,0.00462,31.6969,0.550993,31.413392,0.28350835,31.479616,0.21728356
2012ht,0.00465,32.033,0.420403,31.427494,0.60550605,31.493704,0.53929628
2012ht,0.00465,31.9309,0.442017,31.427494,0.50340605,31.493704,0.43719628
2017cbv,0.00478,30.4013,0.578445,31.487574,-1.0862741,31.553719,-1.1524188
2017cbv,0.00478,30.5107,0.578546,31.487574,-0.9768741,31.553719,-1.0430188
2013aa,0.00478,30.5528,0.580251,31.487574,-0.9347741,31.553719,-1.0009188
2013aa,0.00478,30.4604,0.594683,31.487574,-1.0271741,31.553719,-1.0933188
2016coj,0.00489,31.9117,0.469628,31.537153,0.37454729,31.603242,0.30845761
SN2016coj,0.00489,31.8985,0.483668,31.537153,0.36134729,31.603242,0.29525761
2007gi,0.00505,31.7403,0.491367,31.607318,0.13298196,31.673328,0.0669723
2015F,0.00515,31.539,0.407028,31.650055,-0.11105523,31.716015,-0.17701489
2015F,0.00515,31.4473,0.448264,31.650055,-0.20275523,31.716015,-0.26871489
1994ae,0.0054,32.1822,0.339643,31.753383,0.4288174,31.819217,0.36298269
2014bv,0.00548,32.4001,0.482567,31.785443,0.61465713,31.851238,0.54886238
2019np,0.0055,32.4608,0.318474,31.793385,0.66741491,31.85917,0.60163015
2019np,0.0055,32.4338,0.32229,31.793385,0.64041491,31.85917,0.57463015
2006dd,0.00551,31.1857,0.452235,31.797345,-0.61164542,31.863125,-0.67742518
1981D,0.00551,30.9079,0.524992,31.797345,-0.88944542,31.863125,-0.95522518
2007le,0.00552,32.0203,0.538159,31.801299,0.2190014,31.867073,0.15322663
2007le,0.00552,32.0754,0.533991,31.801299,0.2741014,31.867073,0.20832663
2007le,0.00552,32.0843,0.537335,31.801299,0.2830014,31.867073,0.21722663
1998dm,0.00567,32.8333,0.562902,31.859755,0.97354478,31.925455,0.90784492
1995al,0.00592,32.3593,0.359446,31.953843,0.40545715,32.019418,0.33988208
2011iv,0.00594,31.2217,0.420706,31.961198,-0.73949809,32.026763,-0.80506318
2018gv,0.00596,31.9404,0.344335,31.968529,-0.028128709,32.034084,-0.09368382
2018gv,0.00596,31.9102,0.350249,31.968529,-0.058328709,32.034084,-0.12388382
2018gv,0.00596,32.0666,0.343707,31.968529,0.098071291,32.034084,0.03251618
2015bp,0.00603,32.4685,0.487055,31.993994,0.47450563,32.059515,0.40898544
1992G,0.00611,32.4405,0.439634,32.02274,0.41775999,32.08822,0.35227971
2007af,0.00635,32.0999,0.322811,32.106781,-0.006880955,32.172142,-0.072241564
2007af,0.00635,32.0667,0.32593,32.106781,-0.040080955,32.172142,-0.10544156
2007af,0.00635,32.0023,0.36156,32.106781,-0.10448096,32.172142,-0.16984156
2007af,0.00635,32.0337,0.339166,32.106781,-0.073080955,32.172142,-0.13844156
2007sr,0.0066,31.6799,0.375913,32.191026,-0.51112599,32.256262,-0.57636201
2007sr,0.0066,31.6292,0.385756,32.191026,-0.56182599,32.256262,-0.62706201
2003du,0.00664,32.7685,0.292411,32.20421,0.56429027,32.269426,0.49907417
2003du,0.00664,32.7943,0.289134,32.20421,0.59009027,32.269426,0.52487417
2003du,0.00664,32.7423,0.294759,32.20421,0.53809027,32.269426,0.47287417
2002fk,0.00668,32.4423,0.300309,32.217315,0.22498533,32.282511,0.15978916
2002fk,0.00668,32.4642,0.300269,32.217315,0.24688533,32.282511,0.18168916
