zcmb,mu_obs,e_mu_obs,mb,x1,c,mu_model_lcdm,residual_lcdm,mu_model_lambdacdm,residual_lambdacdm
0.01006,33.3262,0.174566,14.1484,0.202688,0.048593,22.4302,10.896,22.4302,10.896
0.010291,33.3721,0.173593,14.1575,-0.117402,0.022258,22.5292,10.8428,22.5292,10.8428
0.01055,33.493,0.17309,14.4493,0.791332,0.118415,22.6377,10.8553,22.6377,10.8553
0.010888,33.6452,0.169021,14.5572,-0.316464,0.054095,22.7753,10.8699,22.7753,10.8699
0.011184,33.6699,0.166533,14.343,-1.64879,-0.083155,22.8924,10.7775,22.8924,10.7775
0.012317,34.2942,0.16145,14.8758,-1.18055,-0.091481,23.3137,10.9805,23.3137,10.9805
0.013324,33.9066,0.158624,14.8827,-0.925188,0.047286,23.657,10.2496,23.657,10.2496
0.013533,33.7201,0.158393,14.3817,0.869173,0.026883,23.725,9.99506,23.725,9.99506
0.013652,34.091,0.157774,14.6855,-1.29529,-0.092539,23.7633,10.3278,23.7633,10.3278
0.014151,33.9568,0.157186,15.2836,-0.865299,0.163098,23.9202,10.0367,23.9202,10.0367
0.014256,34.1072,0.1564,15.1284,-1.71781,0.026015,23.9525,10.1548,23.9525,10.1548
0.014411,34.088,0.156643,14.476,-0.166851,-0.108162,23.9997,10.0882,23.9997,10.0882
0.01444,33.9873,0.157099,14.8438,-0.014266,0.049854,24.0085,9.97877,24.0085,9.97877
0.014467,34.1389,0.154784,15.6386,-1.16269,0.205443,24.0167,10.1222,24.0167,10.1222
0.014575,34.2704,0.155333,14.6614,0.73797,-0.066355,24.0492,10.2212,24.0492,10.2212
0.0147,34.3376,0.155008,15.0581,-1.89704,-0.079058,24.0865,10.251,24.0865,10.251
0.01496,34.2314,0.153548,15.489,-0.697978,0.148376,24.1632,10.0682,24.1632,10.0682
0.015154,34.3577,0.153758,14.8348,-1.28203,-0.129815,24.2195,10.1382,24.2195,10.1382
0.015469,34.0724,0.153515,15.065,-1.16669,0.041704,24.3095,9.76285,24.3095,9.76285
0.015482,34.2468,0.154168,15.0802,-0.916368,0.001671,24.3132,9.9336,24.3132,9.9336
0.015487,34.1074,0.153742,15.2855,-0.548801,0.129471,24.3146,9.79276,24.3146,9.79276
0.015504,34.1903,0.153374,14.7118,0.549047,-0.032776,24.3194,9.87086,24.3194,9.87086
0.015554,34.2441,0.153417,15.0476,0.167214,0.040909,24.3335,9.91068,24.3335,9.91068
0.015573,34.4507,0.153276,14.7262,1.17865,-0.083725,24.3388,10.1119,24.3388,10.1119
0.015664,34.3118,0.154751,14.7801,0.222279,-0.0647,24.3643,9.94752,24.3643,9.94752
0.015678,34.4096,0.151905,14.6832,0.097384,-0.133126,24.3682,10.0414,24.3682,10.0414
0.015791,34.1046,0.152742,14.5573,0.916702,-0.038383,24.3996,9.70498,24.3996,9.70498
0.015999,34.5546,0.153171,15.7198,-1.32107,0.090393,24.4569,10.0977,24.4569,10.0977
0.016966,34.2566,0.153258,15.3514,0.823253,0.16456,24.7136,9.54293,24.7136,9.54293
0.017387,34.6453,0.148936,14.9985,0.15302,-0.104973,24.8209,9.82439,24.8209,9.82439
0.01745,34.3968,0.150702,15.1221,-0.177036,0.000164,24.8367,9.56007,24.8367,9.56007
0.017483,34.4518,0.150122,15.3644,-2.11275,-0.026834,24.845,9.60681,24.845,9.60681
0.017672,34.225,0.150611,14.8364,-1.17067,-0.081454,24.8921,9.33294,24.8921,9.33294
0.018599,34.7288,0.149282,15.8933,-2.72432,0.026802,25.1159,9.61288,25.1159,9.61288
0.018902,34.9349,0.149087,15.784,-2.01365,-0.042856,25.1867,9.74819,25.1867,9.74819
0.019581,34.9931,0.147459,15.6601,-0.973825,-0.054622,25.3413,9.65177,25.3413,9.65177
